Category,Sentence
Grammar Core (Sentence Structures & Tenses),Io ha vidite un film ier.
Grammar Core (Sentence Structures & Tenses),Deman nos viagiara a Roma.
Grammar Core (Sentence Structures & Tenses),"Si tu studiava plus, tu haberea melior notas."
Grammar Core (Sentence Structures & Tenses),Le libro es legite per le studente.
Grammar Core (Sentence Structures & Tenses),Io non ha comprate pan hodie.
Grammar Core (Sentence Structures & Tenses),Nos parlava con le professor durante duo horas.
Grammar Core (Sentence Structures & Tenses),"Si pluvia, nos restara in casa."
Grammar Core (Sentence Structures & Tenses),Le can habeva jam mangiate quando io arrivava.
Grammar Core (Sentence Structures & Tenses),Illos essera pronte in trenta minutas.
Grammar Core (Sentence Structures & Tenses),Io voleva que tu me adjutava.
Conversational Data (Real-Life Dialogues & Exchanges),Ciao! Como va tu die?
Conversational Data (Real-Life Dialogues & Exchanges),"Bon die, io desira reservar un tabula pro duo personas."
Conversational Data (Real-Life Dialogues & Exchanges),Pote tu adjutar me con iste problema?
Conversational Data (Real-Life Dialogues & Exchanges),Io non crede que il es ver!
Conversational Data (Real-Life Dialogues & Exchanges),Gratias pro tu adjuta!
Conversational Data (Real-Life Dialogues & Exchanges),Nos incontra nos a 18 horas?
Conversational Data (Real-Life Dialogues & Exchanges),Que pensa tu de iste film?
Conversational Data (Real-Life Dialogues & Exchanges),Esque tu vole un caffe o un the?
Conversational Data (Real-Life Dialogues & Exchanges),Io ha habite un die assatis occupate.
Conversational Data (Real-Life Dialogues & Exchanges),Nos vide nos deman!
Code-Switching & Multilingualism,Io habeva un call con mi boss e ille diceva ‘You did great!’
Code-Switching & Multilingualism,Le meeting es confirmate pro le lunedi matin.
Code-Switching & Multilingualism,Esque tu ja pagava le factura pro le service de internet?
Code-Switching & Multilingualism,"Nos es sur un deadline, il non ha tempore pro errores."
Code-Switching & Multilingualism,"Le app es assatis user-friendly, nonne?"
Code-Switching & Multilingualism,Io ha apprendite que ‘trabajo’ significa ‘labor’ in espaniol.
Code-Switching & Multilingualism,Pote tu forwardar me le email urgentemente?
Code-Switching & Multilingualism,Le chef vole que nos focusa plus sur le ROI.
Code-Switching & Multilingualism,Illos me demandava si io poteva traducter le documento en Interlingua.
Code-Switching & Multilingualism,Tu debe includer le CTA in le newsletter.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Le contracto debe esser signate ante le fin del mense.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nos ha un reunion strategica iste vespere.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Le patiente require observation post-operation.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Secundo le regulamento, iste action non es permittite."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Le datos analyticos suggere un augmentation del vendas.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Gratias pro tu participation in iste conferentia.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Le doctor recomenda un dieta equilibrate.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Le juridic documento debe esser traducite con precision.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Un investition in iste sector poterea esser profitable.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Le processo de recerca e disveloppamento es ancora in curso.
"Idioms, Proverbs & Cultural Expressions",Il es inutile pectar sur un porta serrate.
"Idioms, Proverbs & Cultural Expressions","Qui non labora, non mangia."
"Idioms, Proverbs & Cultural Expressions",Un pomo per die mantene le medico foras.
"Idioms, Proverbs & Cultural Expressions",Tote via conduce a Roma.
"Idioms, Proverbs & Cultural Expressions",Le herba es sempre plus verde in le altere latere.
"Idioms, Proverbs & Cultural Expressions",Non pone tote tu ovos in le mesme corbata.
"Idioms, Proverbs & Cultural Expressions","Qui cerca, trova."
"Idioms, Proverbs & Cultural Expressions",Un mano lava le altere.
"Idioms, Proverbs & Cultural Expressions",Melior tarde que jammais.
"Idioms, Proverbs & Cultural Expressions",Un bon initio es medie del obra.
Question-Answer Pairs (FAQ & Contextual Understanding),Qual es le capital de Italia? - Roma.
Question-Answer Pairs (FAQ & Contextual Understanding),Quanto costa iste libro? - Il costa dece euros.
Question-Answer Pairs (FAQ & Contextual Understanding),Que hora es il? - Il es duo horas post meridie.
Question-Answer Pairs (FAQ & Contextual Understanding),Ubi es le station de train? - Il es proxime al centro.
Question-Answer Pairs (FAQ & Contextual Understanding),"Esque tu parlava con ille? - Si, heri vespere."
Question-Answer Pairs (FAQ & Contextual Understanding),Que tu pensa de iste projecto? - Io crede que il es un bon idea.
Question-Answer Pairs (FAQ & Contextual Understanding),"Es iste producto disponibile in altere colores? - Si, nos ha rubie e blau."
Question-Answer Pairs (FAQ & Contextual Understanding),"Como tu te senti hodie? - Io me senti ben, gratias."
Question-Answer Pairs (FAQ & Contextual Understanding),"Esque tu ja ha comendate? - No, ancora no."
Question-Answer Pairs (FAQ & Contextual Understanding),"Tu vole adjuta con isto? - Si, per favor."
Commands & Instructions (Imperative Sentences),"Aperi le fenestra, per favor."
Commands & Instructions (Imperative Sentences),Scribe tu nomine ci.
Commands & Instructions (Imperative Sentences),Attende un momento.
Commands & Instructions (Imperative Sentences),Lava tu manos ante de mangiar.
Commands & Instructions (Imperative Sentences),Veni con me al mercado.
Commands & Instructions (Imperative Sentences),Non tocca illo!
Commands & Instructions (Imperative Sentences),Manda me un message postea.
Commands & Instructions (Imperative Sentences),Fermar le porta ante de sortir.
Commands & Instructions (Imperative Sentences),Lege attentemente iste instructiones.
Commands & Instructions (Imperative Sentences),"Adjuta me con iste sacca, per favor."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Maria viagiara a Paris in julio.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Le Universitate de Oxford es famose pro su recerca.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Le ONU organisa un conferentia in New York.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Io nascite le 5 de martio 1990.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Apple ha lanceate un nove smartphone.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Le Torre Eiffel es un attraction touristic famose.
