Categories,Sentences
1. Grammar Core (Sentence Structures & Tenses),"Ich geh heit frih in die Schuul, awwer morje bleiwen ich daheim."
1. Grammar Core (Sentence Structures & Tenses),Du hoscht geschter de ganze Noomidaach im Gaarde geschafft.
1. Grammar Core (Sentence Structures & Tenses),"Er hot sei Fahrrad geflickt, weil es nimmi richtig gebremst hot."
1. Grammar Core (Sentence Structures & Tenses),Sie werrt noch em Oowend mit de Nochber schwätze.
1. Grammar Core (Sentence Structures & Tenses),"Mir misse die Broote aus em Owe hole, bevor sie verbrenne."
1. Grammar Core (Sentence Structures & Tenses),"Ihr häddet mehr Zeit, wann de Reje net so frieh kumme wär."
1. Grammar Core (Sentence Structures & Tenses),"Die Kinner sinn vum Lehrer gelobt worre, weil sie ruhig gelies hann."
1. Grammar Core (Sentence Structures & Tenses),"Ich han net vergesse, dass mir um drei Uhr beim Dokter sinn."
1. Grammar Core (Sentence Structures & Tenses),"Wann du fleißig übscht, kannscht du bald längere Sätz schreiwe."
1. Grammar Core (Sentence Structures & Tenses),"Es wär besser gewese, wann mir die Froog noch emol erkläärt hätte."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Wie geets der heit? — Ganz gut, awwer ich bin noch e bissche miid."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Hesch du de Kaffee schun gekocht? — Jo, er steht uff em Disch."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Kummst du mit uff de Feira? — Vielleicht, wann ich mei Aarbeit fertig mach."
2. Conversational Data (Real-Life Dialogues & Exchanges),— Was mache mir am Sonndaach? — Mir besuche die Oma un esse Kucha.
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Kannscht du mir helfe? — Klar, ich trag die Kischte bis in die Kiche."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Wo hoscht du de Schlissel geloss? — Ich glaab, er leit im Auto."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Hott dir de Film gefall? — Jo, awwer de Schluss war e bissche traurig."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Soll ich langsam schwätze? — Jo, bitte, ich lern noch Hunsrik."
2. Conversational Data (Real-Life Dialogues & Exchanges),— Wie viel koschtet die Milch? — Drei Reais un noch e paar Centavos.
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Bis morje dann! — Bis morje, kumm gut heim."
3. Code-Switching & Multilingualism,"Heit mache mir churrasco, awwer de Salat is ganz nach Oma ihr Rezept."
3. Code-Switching & Multilingualism,"Ich muss noch no mercado gehe, weil bei uns de Reis alle is."
3. Code-Switching & Multilingualism,"De ônibus is zu spät kumme, darum han ich de Unterricht verpasst."
3. Code-Switching & Multilingualism,"Kannst du mir de arquivo schicke, bevor die Reunião aafängt?"
3. Code-Switching & Multilingualism,"Sie hot gesagt, dass de prazo bis Freitag verlängert worre is."
3. Code-Switching & Multilingualism,"Mir esse cuca mit Kaffee, un danach schwätze mir e bissche Português."
3. Code-Switching & Multilingualism,De professor hot die Hausaufgab uff Hunsrik erklärt un uff Deutsch vergliche.
3. Code-Switching & Multilingualism,"Ich han meu celular daheim geloss, also kann ich dich net anrufe."
3. Code-Switching & Multilingualism,"Beim Fest in Caxias do Sul singe sie Hunsrik, Deutsch un Portugiesisch zamme."
3. Code-Switching & Multilingualism,"De Kunde will e orçamento, awwer er versteht besser, wann mir langsam erkläre."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)","Sehr geehrte Frau Schneider, mir bestätige de Empfang vun Ihrem Dokument."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",De Vertrag muss bis em dreißigste Juni unterschriwwe un registriert sinn.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",De Patient berichtet seit zwei Woche iwwer Druck in de Brust.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Bitte speichere die Datei im sichere Ordner un mach e Backup.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)","Mir empfehle, de Server vor dem Update komplett neu zu starte."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Die Sitzung fängt pünktlich um neun Uhr im Konferenzraum aa.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Nach de Analyse schlage mir e transparente Prozess fir die Beschwerde vor.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)","De Arzt hot verordnet, dass die Medizin zweimal am Daach genumme werd."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)","Die Firma übernimmt kei Haftung fir Schäden, die durch falsche Nutzung entstehe."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)","Ich bitte Sie höflich, die Rechnung bis zum Fälligkeitstermin zu bezahle."
"5. Idioms, Proverbs & Cultural Expressions","Wann de Gaul schun fort is, hilft es wenig, die Scheier zu schließe."
"5. Idioms, Proverbs & Cultural Expressions","Wer langsam un sicher schafft, bringt de Karren aach iwwer de Berg."
"5. Idioms, Proverbs & Cultural Expressions",Me soll net de Daach vor em Oowend lobe.
"5. Idioms, Proverbs & Cultural Expressions",E gutes Wort macht oft mehr warm wie e dicke Jack.
"5. Idioms, Proverbs & Cultural Expressions","Wann zwei sich streite, freut sich manchmal de dritte."
