Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Tsîs ge ra khoeda ǁnā hâ.
Grammar Core (Sentence Structures & Tenses),Nî hâ khoeda tsîs ge ra.
Grammar Core (Sentence Structures & Tenses),ǁGûb ge ǂgôas hâ ǁgae!
Grammar Core (Sentence Structures & Tenses),Tsîs ǁhû hâ ǁgaeb ge ra.
Grammar Core (Sentence Structures & Tenses),Tama tsî hâ ǁnā ǁoab ge!
Grammar Core (Sentence Structures & Tenses),ǁGûb ge ǁōba ǂgoasib ǁnâ hâ.
Grammar Core (Sentence Structures & Tenses),ǁKhanamab ge ǁgae hâ ǂgôas.
Grammar Core (Sentence Structures & Tenses),ǀUi ǁna ǁgôas ge ǁgae hâ?
Grammar Core (Sentence Structures & Tenses),ǀHū ge nē khoeda hâ tsîs.
Grammar Core (Sentence Structures & Tenses),Tsîs ge ra khoeda ǁnā ǁgaeb ge hâ.
Conversational Data (Real-Life Dialogues & Exchanges),A: !Gai tsîs! B: !Gai ge a ra.
Conversational Data (Real-Life Dialogues & Exchanges),A: Nî ǀhū hâ? B: Nî ǂîs ge!
Conversational Data (Real-Life Dialogues & Exchanges),A: Tēb ge sî? B: Tēb ge |nû hâ.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Nî ǁnā ǁgoas? B: Ā, ǁgoas ge ra nē."
Conversational Data (Real-Life Dialogues & Exchanges),A: !Gâi hūb? B: !Gâi ge hū hâ.
Conversational Data (Real-Life Dialogues & Exchanges),A: ǂNūb tsî hū? B: ǂNūb ge a nē hū.
Conversational Data (Real-Life Dialogues & Exchanges),"A: ǀGamagu nē? B: Ā, ǁgôas hū nē."
Conversational Data (Real-Life Dialogues & Exchanges),A: Tsîs ǁhû hâ? B: Tsîs ge !gâi hē.
Conversational Data (Real-Life Dialogues & Exchanges),A: Tama ǁnû hâ? B: ǁNû ge a hē.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Hē ǂgoas? B: Ā, hē ǂgoas hâ."
