Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"Nalobaki na ye lobi, kasi alobaki te."
Grammar Core (Sentence Structures & Tenses),Nakozala na ndako na sima ya mosala.
Grammar Core (Sentence Structures & Tenses),"Soki nazalaki yo, nalingaki kosala ndenge mosusu."
Grammar Core (Sentence Structures & Tenses),Balobaki ete mokanda ewuti na ministre.
Grammar Core (Sentence Structures & Tenses),Ezali kolongwa te mpo na mbula eleki.
Grammar Core (Sentence Structures & Tenses),Ekomi kosala malamu soki ozali na botondi.
Grammar Core (Sentence Structures & Tenses),Moto nyonso asengeli kosala mosala na motema.
Grammar Core (Sentence Structures & Tenses),"Soki balobaki mabe, oyebisa bango na boboto."
Grammar Core (Sentence Structures & Tenses),Bato nyonso bazalaki kobondela mpo na kimia.
Grammar Core (Sentence Structures & Tenses),Likambo wana esengelaki kosalema lobi te.
Conversational Data (Real-Life Dialogues & Exchanges),— Oyo ezali nini? — Ezali lipa na mbisi.
Conversational Data (Real-Life Dialogues & Exchanges),"— Olali malamu? — Eh, nalali kitoko mpenza."
Conversational Data (Real-Life Dialogues & Exchanges),— Okosala nini lelo? — Nakozonga na kelasi.
Conversational Data (Real-Life Dialogues & Exchanges),"— Oyebi sango ya lobi? — Te, sango nini?"
Conversational Data (Real-Life Dialogues & Exchanges),"— Napesi yo mbongo, tika ngai nasomba eloko."
Conversational Data (Real-Life Dialogues & Exchanges),— Tata na yo azali wapi? — Azali na mosala.
Conversational Data (Real-Life Dialogues & Exchanges),— Mwana oyo azali na ndenge nini? — Azali na posa ya kolia.
Conversational Data (Real-Life Dialogues & Exchanges),— Okendeki wapi? — Nakendeki kotala baninga.
Conversational Data (Real-Life Dialogues & Exchanges),"— Oyoki ndenge balobi? — Ee, esali ngai mawa."
Conversational Data (Real-Life Dialogues & Exchanges),"— Soki tozali pene, tokoki kosolola malamu."
Code-Switching & Multilingualism,Nalobaki na mama na ngai na Lingala pe na Français.
Code-Switching & Multilingualism,Ozali ko comprendre ndenge oyo nalobi?
Code-Switching & Multilingualism,"Tokendaki marché, to zui mbisi mpe to payé na dollar."
Code-Switching & Multilingualism,"Ba clients balobaki na anglais, kasi vendeur azongisaki na Lingala."
Code-Switching & Multilingualism,"Soki ozangi cash, okoki ko paya na M-Pesa."
Code-Switching & Multilingualism,"Nalobaki: 'Na respect yo', azongisaki: 'Merci mingi!'"
Code-Switching & Multilingualism,Tokoki kozala na réunion bilingue mpo na kozwa boyokani.
Code-Switching & Multilingualism,Ba jeunes ya Kin bazali kolobaka mix ya Lingala na anglais.
Code-Switching & Multilingualism,Oyo ezali code ya génération ya lelo.
Code-Switching & Multilingualism,"Na WhatsApp, tozali kosala mix ya Swahili, Lingala mpe français."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tokanaki ete contrat esengeli kosilikwa na mokolo ya zomi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dokteri alobaki ete moto asengeli kolanda régime.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Directeur asengeli kopesa rapport lobi na tongo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ba juristes bamonaki ete likambo wana ezali complexe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Biso tozali na réunion officielle mpo na kolakisa ndenge ya mosala.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Moninga na ngai azali ingénieur na société moko ya Kinshasa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Na bureau, tosengeli koloba na ndenge ya politès."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ba documents nyonso esengeli kosalema avant midi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tokobongisa malamu ndenge ya koloba na ba clients.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ba médecins balobaki ete lisalisi ekoki kozonga soki azali na motema makasi.
"Idioms, Proverbs & Cultural Expressions","Moto akolanda nzela te, akobungisa nzoto."
"Idioms, Proverbs & Cultural Expressions",Nsoso oyo ekufaki ezali kolakisa nde ntango eleki.
"Idioms, Proverbs & Cultural Expressions","Soki omoni ndambo, kobanga te, ezalaki kolanda yo."
"Idioms, Proverbs & Cultural Expressions",Likambo ezali lokola mayi: ekoki kolowa ndenge nyonso.
"Idioms, Proverbs & Cultural Expressions","Moto oyo alingaka motema, azwaka mpe bolingo."
"Idioms, Proverbs & Cultural Expressions",Loboko moko te esengeli kosala nyonso.
"Idioms, Proverbs & Cultural Expressions",Likambo ya lelo ekoki kozala lisano ya lobi.
"Idioms, Proverbs & Cultural Expressions","Ngai nalembi koloba, nzete ya se ezali koloba."
"Idioms, Proverbs & Cultural Expressions",Bato ya kokanisa mabe bakufaka na motema.
"Idioms, Proverbs & Cultural Expressions","Soki okangaki monoko, okobika na kimia."
Question-Answer Pairs (FAQ & Contextual Understanding),Nani azali mokonzi ya RDC?
Question-Answer Pairs (FAQ & Contextual Understanding),Elenge moko akoki kosala entreprise na ye moko?
Question-Answer Pairs (FAQ & Contextual Understanding),Lelo ezali mokolo nini?
Question-Answer Pairs (FAQ & Contextual Understanding),Nini ezali lisanga ya ba journalistes?
Question-Answer Pairs (FAQ & Contextual Understanding),Ndenge nini okoki koyekola Lingala malamu?
Question-Answer Pairs (FAQ & Contextual Understanding),Mboka nini ezali pene na Congo-Brazzaville?
Question-Answer Pairs (FAQ & Contextual Understanding),Nani alingaka koloba na lingomba oyo?
Question-Answer Pairs (FAQ & Contextual Understanding),Ba ndakisa nini ezali ya bolingo ya solo?
Question-Answer Pairs (FAQ & Contextual Understanding),Nini esengeli kosalema soki moto asili mbongo?
Question-Answer Pairs (FAQ & Contextual Understanding),Ndenge nini tokoki kobatela bilanga na biso?
Commands & Instructions (Imperative Sentences),Fungola ekuke.
Commands & Instructions (Imperative Sentences),"Kende, sala mosala na yo!"
Commands & Instructions (Imperative Sentences),Bimisa biloko nyonso ya mesa.
Commands & Instructions (Imperative Sentences),Kanga lininisa na suka ya libanda.
Commands & Instructions (Imperative Sentences),Loba polele mpo bato bayoka yo.
Commands & Instructions (Imperative Sentences),Zwa mokanda mpe tinda yango sik’oyo.
