Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Kaji mangan nasiq pang bale sanopóka lalo ka sawah.
Grammar Core (Sentence Structures & Tenses),Ulen to barenti boat karena udan mataq lalo.
Grammar Core (Sentence Structures & Tenses),Ali ya lalo ka pasar Sékéteng nawat ano.
Grammar Core (Sentence Structures & Tenses),"Lamun sia datang pagaq, tu barenang kopi ke lawar."
Grammar Core (Sentence Structures & Tenses),Nasiq nan ra pangan ling dengan ode pang bale.
Grammar Core (Sentence Structures & Tenses),Kaji nóngka nginum kopi panas to siup.
Grammar Core (Sentence Structures & Tenses),Tau nan sedang basalaong basa Samawa ke guru.
Grammar Core (Sentence Structures & Tenses),Ulen ka beli empa pang pasar apuan ano.
Grammar Core (Sentence Structures & Tenses),"Lamun udan kuat, anak-anak no lalo ka sekolah."
Grammar Core (Sentence Structures & Tenses),Pintu bale ba buka ling Ina sanopóka tamu datang.
Conversational Data (Real-Life Dialogues & Exchanges),"Salam, me luk rungan sia to ano?"
Conversational Data (Real-Life Dialogues & Exchanges),"Balóng si, kaji baru mulang kalis kantor desa."
Conversational Data (Real-Life Dialogues & Exchanges),Sai singen dengan ade duduk pang berugaq nan?
Conversational Data (Real-Life Dialogues & Exchanges),"Singen nya Lina, nya datang kalis Labuhan Sumbawa."
Conversational Data (Real-Life Dialogues & Exchanges),"Kau ka mangan, atawa masih nunggu ema mulang?"
Conversational Data (Real-Life Dialogues & Exchanges),"Kaji ka mangan sedikit, tapi masih kepingin aiq panas."
Conversational Data (Real-Life Dialogues & Exchanges),"Lamun kau sempat, mari tu lalo nonton barapan kebo."
Conversational Data (Real-Life Dialogues & Exchanges),"Baik, tapi kaji harus ngantar adiq ka rumah nenek."
Conversational Data (Real-Life Dialogues & Exchanges),"Tabé, pangme jalan lalo ka Pantai Saliper Ate?"
Conversational Data (Real-Life Dialogues & Exchanges),"Kalis ninta kau lurus, lalu belok kanan pang simpang masjid."
Code-Switching & Multilingualism,Kaji upload foto lawas Samawa ka grup keluarga tadi malam.
Code-Switching & Multilingualism,"Ulen meeting online pang kantor, tapi tetap basalaong Samawa ke batur."
Code-Switching & Multilingualism,"Anak nan bilang deadline tugasnya besok, lalu nya minta tulung ka kakak."
Code-Switching & Multilingualism,Kau save dulu nomor dókter ninta supaya gampang nelpon.
Code-Switching & Multilingualism,"Di café baru pang Sumbawa Besar, kami pesan kopi ke pisang goreng."
Code-Switching & Multilingualism,"Nya check-in pang hotel, lalu nanya harga kamar make basa Samawa."
Code-Switching & Multilingualism,Kaji kirim file proposal lewat email sanopóka rapat dimulai.
Code-Switching & Multilingualism,Batur ku update status tentang Festival Moyo pang media sosial.
Code-Switching & Multilingualism,"Ibu pesan ojek online, tapi supirnya nanya alamat make basa Indonesia."
Code-Switching & Multilingualism,"Guru nan explain aturan kelas, lalu ngulang dalam basa Samawa supaya jelas."
