Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Wa’ká:ron ne onkwawén:na tsi ní:ioht ne wakatshennón:ni.
Grammar Core (Sentence Structures & Tenses),Enwá:ton ne yonkwatá:ti tsi niió:re tsi nón:we.
Grammar Core (Sentence Structures & Tenses),Katká:thos ne owí:ra tsi teió:ia’ks ne ó:nen.
Grammar Core (Sentence Structures & Tenses),Yah tewakatahkwe’ní:io tsi ní:ioht ne kahyatónhsera.
Grammar Core (Sentence Structures & Tenses),"Tóka’ niwa’á:wen, enkatenikonhró:ri ne rakeni."
Grammar Core (Sentence Structures & Tenses),Wa’akatenikonhró:ri ne tsi niió:re iah teionkwá:ton.
Grammar Core (Sentence Structures & Tenses),Enkhyatonhserá:ton ne kahyatónhsera tsi nén:we.
Grammar Core (Sentence Structures & Tenses),Teionkwataterihwahserá:ko ne tsi niiónkwarihoten.
Grammar Core (Sentence Structures & Tenses),Iah thó niá:wen’ne ne kaien’kéha tsi ionkwakaronhió:ten.
Grammar Core (Sentence Structures & Tenses),Akwe:kon onkwá:ton ne tsi iakorihonnién:ni ne ka’shatsténhsera.
Conversational Data (Real-Life Dialogues & Exchanges),"She:kon, sáwen’kó:wa; skennen’kó:wa ken?"
Conversational Data (Real-Life Dialogues & Exchanges),"Skennen’kó:wa, nia:wen; í:se ken skennen’kó:wa?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ó:nen ki’ wáhi, tekaterihwahserá:ko ne kahiatónhsera."
Conversational Data (Real-Life Dialogues & Exchanges),Tóhsa í:se sahtén:ti; enkatatenikonhró:ri tsi nén:we.
Conversational Data (Real-Life Dialogues & Exchanges),"Nia:wen ko:wa, tho niió:re ne sewakwé:kon."
Conversational Data (Real-Life Dialogues & Exchanges),É:so tánon’ ken nonkwá:ti ne ionkwarihó:ten?
Conversational Data (Real-Life Dialogues & Exchanges),Á:se ken wahi iah tehsatonhontsó:ni ne tsi ní:ioht?
Conversational Data (Real-Life Dialogues & Exchanges),"Tho nón:we enhsatá:ti, tsi ionkwakwé:ni ne wakata’karí:te."
Conversational Data (Real-Life Dialogues & Exchanges),Enkonnón:ni ne kahneká:ron; í:se enhskà:ton ken?
Conversational Data (Real-Life Dialogues & Exchanges),"Ó:nen, tsi ní:kon nikarihwí:io, tánon’ enhskatén:ti."
Code-Switching & Multilingualism,"She:kon, today ionkwatá:ti ne Kanien’kéha class."
Code-Switching & Multilingualism,"Ó:nen ki’ wáhi, I will send ne kahyatónhsera."
Code-Switching & Multilingualism,"Nia:wen, that feedback thíkarihwí:io tsi niió:re."
Code-Switching & Multilingualism,Please sá:ton ne file tsi nón:we kahyatónhsera.
Code-Switching & Multilingualism,Tomorrow enhskatén:ti ne meeting Kahnawà:ke.
Code-Switching & Multilingualism,Yah tewakatahkwe’ní:io tsi I forgot ne password.
Code-Switching & Multilingualism,Can you tsi nén:we sahyatonhserá:ton ne response?
Code-Switching & Multilingualism,"Ne schedule iah thó niá:wen’ne, so enkaterihwahserá:ko."
Code-Switching & Multilingualism,Ó:nen I checked ne database tánon’ thíkarihwí:io.
Code-Switching & Multilingualism,Let’s save ne model output tsi nón:we project folder.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Enwá:ton ne ionkwarihó:ten tsi niió:re ne ratirihonnienní:rats.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Karihwanó:ron ne tsi enhsatahsawen ne kahyatónhsera.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yah thó niá:wen’ne tsi enhsaterihwahserá:ko ne personal data.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Enskarihó:ten ne tsi niió:re ne iakohsennón:ni ionterennaientáhkwa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Tsi nén:we enhsatsterí:sen ne report, tóhsa sá:ton ne rawenniióhstha."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ratiwennahní:rats ne organization enhatiyerón:ni ne policy.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Onkwatá:karite ne medical form tánon’ kahiatónhsera.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Tsi ní:ioht ne technical issue, enhsatatenikonhró:ri tsi nón:we."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Karihwanó:ron ne consent tsi enhsá:ton ne data.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Enkaterihwahserá:ko ne contract tánon’ enhakwatihsnié:nen.
"Idioms, Proverbs & Cultural Expressions","Kanónhsa tsi tká:ras ne ronnón:ni, thó niiohtónhake ne onkwa’nikón:ra."
"Idioms, Proverbs & Cultural Expressions","Yah teionkwá:ton tsi sha’tekón ne karí:wes, tóhsa taionkwahserón:ni."
"Idioms, Proverbs & Cultural Expressions",Nia:wen’kó:wa tsi ionkwaterihwaienstáhkhwa ne onkwa’nikón:ra.
