Category,Sentence
Grammar Core,Ayer fui al supermercado y compré muchas frutas.
Grammar Core,Mañana estudiaré para el examen de matemáticas.
Grammar Core,"Si tuviera más tiempo, viajaría por todo Chile."
Grammar Core,El proyecto fue finalizado por los estudiantes en la mañana.
Grammar Core,No quiero salir porque está lloviendo mucho.
Grammar Core,Ellos han estado trabajando en este proyecto por semanas.
Grammar Core,"Cuando llegues a casa, llámame por favor."
Grammar Core,No sabía que habías venido a la fiesta anoche.
Grammar Core,Este libro será leído por muchas personas.
Grammar Core,Nos gustaría que pudieras venir a la reunión mañana.
Conversational Data,"Hola, ¿cómo has estado? Hace tiempo que no te veía."
Conversational Data,"Oye, ¿quieres ir a tomar un café más tarde?"
Conversational Data,"Disculpa, ¿sabes dónde queda la estación de metro más cercana?"
Conversational Data,"No lo sé, pero podemos buscar en Google Maps."
Conversational Data,¡Qué sorpresa verte aquí! ¿Vienes seguido a este lugar?
Conversational Data,"Creo que la película empieza a las 7, pero podemos revisar la cartelera."
Conversational Data,"Mamá, ¿puedo salir con mis amigos esta noche?"
Conversational Data,"Señor, ¿me podría indicar cómo llegar a la oficina de correos?"
Conversational Data,¿En serio te compraste ese auto? ¡Está increíble!
Conversational Data,"Hola, necesito ayuda con una devolución. ¿Me podrías asistir?"
Code-Switching & Multilingualism,Voy al mall a comprar unas zapatillas nuevas.
Code-Switching & Multilingualism,El delivery llegó súper rápido hoy.
Code-Switching & Multilingualism,"Sorry, no puedo ir a la reunión, tengo un compromiso."
Code-Switching & Multilingualism,Ella trabaja en una startup en el centro de Santiago.
Code-Switching & Multilingualism,Necesito hacer un payment antes de que cierre el banco.
Code-Switching & Multilingualism,El weekend pasado fuimos a la playa con los amigos.
Code-Switching & Multilingualism,"Me encanta tu outfit, se ve increíble."
Code-Switching & Multilingualism,"Estoy viendo una serie en Netflix, está buenísima."
Code-Switching & Multilingualism,Voy a hacer un call con el equipo de desarrollo.
Code-Switching & Multilingualism,La app que descargué tiene muchos features interesantes.
Formal & Professional Speech,"Estimado cliente, su solicitud ha sido procesada exitosamente."
Formal & Professional Speech,"Por favor, complete el formulario con su información personal."
Formal & Professional Speech,Le informamos que su cuenta ha sido activada correctamente.
Formal & Professional Speech,Agradecemos su paciencia mientras resolvemos su consulta.
Formal & Professional Speech,"Según los términos del contrato, debe realizar el pago en 30 días."
Formal & Professional Speech,El doctor lo atenderá en la sala 3 en breves momentos.
Formal & Professional Speech,"Para acceder al sistema, ingrese su usuario y contraseña."
Formal & Professional Speech,Nos complace informarle que ha sido seleccionado para la entrevista.
Formal & Professional Speech,"Por favor, diríjase a la recepción para obtener más información."
Formal & Professional Speech,Agradecemos su colaboración en la mejora de nuestros servicios.
"Idioms, Proverbs & Cultural Expressions",Más vale pájaro en mano que cien volando.
"Idioms, Proverbs & Cultural Expressions",No por mucho madrugar amanece más temprano.
"Idioms, Proverbs & Cultural Expressions",A caballo regalado no se le miran los dientes.
