Categories,Sentences
Grammar Core,Abdi keur maca buku di perpustakaan ayeuna.
Grammar Core,Manéhna geus indit ka Bandung kamari peuting.
Grammar Core,Urang bakal papanggih deui isukan di kantor.
Grammar Core,"Lamun anjeun datang leuwih tiheula, antosan di dieu."
Grammar Core,Abdi henteu satuju kana kaputusan éta.
Grammar Core,Imah éta keur direnovasi ku tukang ayeuna.
Grammar Core,Maranehna biasa ulin bal tiap Minggu isuk.
Grammar Core,Kuring geus kungsi ningali pilem éta dua kali.
Grammar Core,"Lamun hujan turun, urang bakal cicing di imah."
Grammar Core,Pagawean éta kudu geus réngsé saméméh peuting.
Conversational Data,A: Kamana anjeun kamari? B: Abdi ka pasar meuli sayur.
Conversational Data,"A: Dupi anjeun parantos tuang? B: Tacan, abdi acan lapar."
Conversational Data,"A: Hayu urang ngopi. B: Muhun, di mana?"
Conversational Data,"A: Kumaha damang? B: Alhamdulillah, damang."
Conversational Data,"A: Anjeun sibuk ayeuna? B: Teu pati, aya waktos saeutik."
Conversational Data,A: Iraha urang patepung deui? B: Meureun minggu hareup.
Conversational Data,A: Sabaraha hargana ieu? B: Sapuluh rébu rupiah.
Conversational Data,"A: Anjeun resep pilem éta? B: Muhun, caritana pikaresepeun."
Conversational Data,A: Kumaha perjalanan anjeun? B: Lumayan lancar.
Conversational Data,A: Anjeun bade kamana ayeuna? B: Bade ka kantor.
Code-Switching & Multilingualism,Abdi keur meeting jeung tim ayeuna.
Code-Switching & Multilingualism,Urang kudu follow up kana proyek ieu.
Code-Switching & Multilingualism,Manéhna geus submit laporan ka manager.
Code-Switching & Multilingualism,Hayu urang check deui data saméméh dikirim.
Code-Switching & Multilingualism,Abdi teu bisa attend acara éta peuting ieu.
Code-Switching & Multilingualism,Urang schedule rapat pikeun minggu hareup.
Code-Switching & Multilingualism,Kuring geus download file anu diperlukeun.
Code-Switching & Multilingualism,Mangga update status tugas anjeun ayeuna.
Code-Switching & Multilingualism,Manéhna keur present di kantor pusat.
Code-Switching & Multilingualism,Urang kudu improve kualitas layanan.
Formal & Professional Speech,Kami nyuhunkeun hapunten atas kasalahan anu kajantenan.
Formal & Professional Speech,Mangga lengkepan formulir ieu kalayan leres.
Formal & Professional Speech,Rapat bakal dilaksanakeun dina waktos anu parantos ditangtukeun.
Formal & Professional Speech,Data ieu kedah dijaga karahasiaanna.
Formal & Professional Speech,Kami ngahaturkeun nuhun kana perhatian anjeun.
Formal & Professional Speech,Laporan ieu parantos diverifikasi ku tim ahli.
Formal & Professional Speech,Mangga sumping langkung awal kanggo registrasi.
Formal & Professional Speech,Dokumén ieu kedah ditandatanganan ku pimpinan.
Formal & Professional Speech,Kami siap ngabantosan anjeun iraha waé.
Formal & Professional Speech,Punten patuhi sadaya aturan anu berlaku.
"Idioms, Proverbs & Cultural Expressions",Ulah kawas kacang poho kana kulitna.
"Idioms, Proverbs & Cultural Expressions","Hirup kudu silih asah, silih asih, silih asuh."
"Idioms, Proverbs & Cultural Expressions",Tong gedé hulu batan awak.
"Idioms, Proverbs & Cultural Expressions",Aya gula aya semut.
"Idioms, Proverbs & Cultural Expressions",Leutik-leutik cabe rawit.
"Idioms, Proverbs & Cultural Expressions",Henteu meunang gede rasa.
"Idioms, Proverbs & Cultural Expressions",Tong sok hayang jadi beunghar sacara instan.
"Idioms, Proverbs & Cultural Expressions",Hirup kudu sabar jeung ikhlas.
"Idioms, Proverbs & Cultural Expressions","Lamun teu usaha, moal aya hasil."
"Idioms, Proverbs & Cultural Expressions","Sing hade lampah, hade balukarna."
Question-Answer Pairs,Naon tujuan anjeun diajar basa Sunda? Pikeun ningkatkeun kamampuan komunikasi.
Question-Answer Pairs,Dimana anjeun cicing ayeuna? Di Bandung.
Question-Answer Pairs,Sabaraha umur anjeun? Dua puluh lima taun.
Question-Answer Pairs,Naon kadaharan karesep anjeun? Nasi liwet.
Question-Answer Pairs,Iraha anjeun mimiti damel? Taun kamari.
Question-Answer Pairs,Kunaon anjeun milih jurusan éta? Kusabab resep.
Question-Answer Pairs,Saha nami guru anjeun? Bu Siti.
Question-Answer Pairs,Kumaha cara diajar anu efektif? Ku latihan rutin.
Question-Answer Pairs,Naon hobi anjeun? Maca buku.
Question-Answer Pairs,Sabaraha lami anjeun diajar basa Sunda? Sakitar dua taun.
Commands & Instructions,Mangga tutup panto éta ayeuna.
Commands & Instructions,Tolong kirim laporan ieu ayeuna ogé.
Commands & Instructions,Cobian baca deui kalimat éta.
Commands & Instructions,Ulah hilap mawa buku isukan.
Commands & Instructions,Mangga diantos di ruang tunggu.
Commands & Instructions,Tolong beberes meja anjeun.
Commands & Instructions,Cobian jawab patarosan ieu.
Commands & Instructions,Mangga hurungkeun komputer ayeuna.
Commands & Instructions,Ulah nyarios teuing tarik di dieu.
Commands & Instructions,Tolong catet sadaya inpormasi anu penting.
Named Entity Recognition,Ridwan Kamil kantos janten wali kota Bandung.
