Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ani maadá kaxxa.
Grammar Core (Sentence Structures & Tenses),Ati maadá kaxxah.
Grammar Core (Sentence Structures & Tenses),Inni maadá kaxxam.
Grammar Core (Sentence Structures & Tenses),Nih maadá kaxxan.
Grammar Core (Sentence Structures & Tenses),Ani maadá kaxxam yaabak.
Grammar Core (Sentence Structures & Tenses),Ati maadá kaxxak wala.
Grammar Core (Sentence Structures & Tenses),Inni maadá kaxxam barittah.
Grammar Core (Sentence Structures & Tenses),Ani maadá kaxxam iyyan.
Grammar Core (Sentence Structures & Tenses),Ati maadá kaxxak aysuk.
Grammar Core (Sentence Structures & Tenses),Inni maadá kaxxam baxiish.
Conversational Data (Real-Life Dialogues & Exchanges),Kida kaah iyyan?
Conversational Data (Real-Life Dialogues & Exchanges),Keeh ma caddo?
Conversational Data (Real-Life Dialogues & Exchanges),Numu kaah tekkeh?
Conversational Data (Real-Life Dialogues & Exchanges),"Eedo, caxah abba!"
Conversational Data (Real-Life Dialogues & Exchanges),Gidey kee maay?
Conversational Data (Real-Life Dialogues & Exchanges),Abba le mari caddo.
Conversational Data (Real-Life Dialogues & Exchanges),Haddal keenih caddo way.
Conversational Data (Real-Life Dialogues & Exchanges),Anuk reebak?
Conversational Data (Real-Life Dialogues & Exchanges),"Kibra, beytah!"
Conversational Data (Real-Life Dialogues & Exchanges),"Alaa, suga akah?"
Code-Switching & Multilingualism,Ani meeting-tah yowke.
Code-Switching & Multilingualism,Ati doctor keeha gabteh.
Code-Switching & Multilingualism,Inni file upload garteh.
Code-Switching & Multilingualism,Report English-ih maki.
Code-Switching & Multilingualism,Kaah Zoom call yowke?
Code-Switching & Multilingualism,Agenda update garteh.
Code-Switching & Multilingualism,Laptop kee battery faten.
Code-Switching & Multilingualism,Presentationti Frenchih akah barteh.
Code-Switching & Multilingualism,Teacher homework eyyan.
Code-Switching & Multilingualism,Kaah email forward garteh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Korporaysonni sugteh yakkeenih garteh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Doktorih gabah daggay.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Qaanunih foori maaxam.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Teknikki meeting-tih yowke.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Firma kee kontraktih sugteh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Maqaala researchih gideh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Iskaabih dokumenti maki.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tibbih akak daggah.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mashruucih qorsih faxxim.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hayyoolah qadoh xayyis.
"Idioms, Proverbs & Cultural Expressions",Libi baxsaanih dagah sugte.
"Idioms, Proverbs & Cultural Expressions",Gaddo maqqa caddo.
"Idioms, Proverbs & Cultural Expressions",Aduunih dagah aysuk.
"Idioms, Proverbs & Cultural Expressions",Dugguq sinni gideh abba.
"Idioms, Proverbs & Cultural Expressions",Kalli garbih xayyo.
"Idioms, Proverbs & Cultural Expressions",Kaasih xayyoh xayyo.
"Idioms, Proverbs & Cultural Expressions",Qada marih dagah barteh.
"Idioms, Proverbs & Cultural Expressions",Afanih gideh sinni maaxam.
"Idioms, Proverbs & Cultural Expressions",Maaxayta caddo akah.
"Idioms, Proverbs & Cultural Expressions",Xayyo xayyo eddeh abba.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Maqaan kee ma? A: Maqaan koo Aydah.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Kaah yowka? A: Ani Semerah yowke.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Ati caddo maki? A: Eey, ani daggay."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Numu kee? A: Inni abbobeh.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ma kah daggah? A: Tibbih daggah.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Qaalih daggah? A: Firma kee daggah.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Eedo kee yaabak? A: Talo kee yaabak.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Maabir kee daggah? A: Mashruuc kee daggah.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Kado kee daggah? A: Qada kee daggah.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Caddo kee daggah? A: Maaxayta kee daggah.
Commands & Instructions (Imperative Sentences),Maadá kaxxah!
Commands & Instructions (Imperative Sentences),Qadoh faxxim!
Commands & Instructions (Imperative Sentences),Caddoh bar!
Commands & Instructions (Imperative Sentences),Afanih daggah!
Commands & Instructions (Imperative Sentences),Kitabih akah!
Commands & Instructions (Imperative Sentences),Beytah daggah!
Commands & Instructions (Imperative Sentences),Haddal kee xayyo!
Commands & Instructions (Imperative Sentences),Mashruuc kee sug!
Commands & Instructions (Imperative Sentences),Libi kee xayyo!
Commands & Instructions (Imperative Sentences),Caddo kee maax!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ali Semerah yowke.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Fatuma Addis Ababah daggah.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mohamed January 12 yowke.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Layla UNICEF kee daggah.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ahmed Microsoft kee daggah.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Semera University barteh.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aisha Afar Bank kee daggah.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Hassan Franceh yowke.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nora Dubayyih daggah.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Jemal 2023ih mashruucih daggah.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ani beytih addah daggay.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ati caddo maaxak wala.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Inni maadá kaxxam barteh.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nih mashruucih dagah faxxim.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ani qadoh daggah baxxam.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ati xayyo kee daggah eynem.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Inni daggah wala.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ani maaxayta kee daggah way.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ati haddal kee daggah daggay.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Inni ani kee daggah caddo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ani maadá kaxxam barteh.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Maadá ani kaxxam barteh.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ani barteh maadá kaxxam.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ani kaxxam maadá barteh.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Barteh ani maadá kaxxam.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kaxxam ani maadá barteh.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ani maadá barteh kaxxam.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Barteh maadá ani kaxxam.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kaxxam barteh ani maadá.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Maadá barteh ani kaxxam.
