Categories,Sentences
Grammar Core,म्हूं काल बजार गयो हतो।
Grammar Core,वो रोज सवेरै उठे है।
Grammar Core,आम्हे आवता काल जयपुर जासूं।
Grammar Core,"अगर तू पढ़े, तो पास होजासे।"
Grammar Core,म्हें किताब नीं खरीदी।
Grammar Core,घर म्हां काम करायो जासे।
Grammar Core,बाळक रोटी खाय रह्यो है।
Grammar Core,वो चिट्ठी लिखी चुकी है।
Grammar Core,तूं कदीं इधर आयो हतो?
Grammar Core,हम सब मिलकै काम करांला।
Conversational Data,"कांई हाल चाल है, भाया?"
Conversational Data,म्हारो दिन घणो व्यस्त रह्यो।
Conversational Data,तूं आज स्कूल क्यूं नीं गयो?
Conversational Data,"चाय पीणै चालो, बात करां।"
Conversational Data,म्हने लागे है के वो आज आवेगो।
Conversational Data,थांरो फोन क्यूं बंद रह्यो?
Conversational Data,चलो सांझ नै घूमण जांला।
Conversational Data,म्हें थाने काल याद कर्यो हतो।
Conversational Data,इत्ती देर क्यूं लगाई?
Conversational Data,"ठीक है, फेर काल मिलांला।"
Code-Switching & Multilingualism,म्हूं आज office जावूं हूं।
Code-Switching & Multilingualism,तूं meeting मां लेट क्यूं आयो?
Code-Switching & Multilingualism,Project रो deadline नजदीक है।
Code-Switching & Multilingualism,म्हने report email कर दी।
Code-Switching & Multilingualism,Client नै proper जवाब दो।
Code-Switching & Multilingualism,आज team साथ brainstorming करांला।
Code-Switching & Multilingualism,Conference मां presentation देवूं है।
Code-Switching & Multilingualism,System update करवाणो जरूरी है।
Code-Switching & Multilingualism,Data backup कर लियो है?
Code-Switching & Multilingualism,Training session घणी useful रही।
Formal & Professional Speech,कृपया आवेदन पत्र समय पर जमा करावो।
Formal & Professional Speech,रोगी नै नियमित दवा लेणी जरूरी है।
Formal & Professional Speech,कानूनी प्रक्रिया अनुसार कार्यवाही कराई जासे।
Formal & Professional Speech,बैठक मां प्रस्ताव सर्वसम्मति सूं पास थयो।
Formal & Professional Speech,आर्थिक रिपोर्ट काल प्रस्तुत करजो।
Formal & Professional Speech,तकनीकी समस्या रो समाधान चालू है।
Formal & Professional Speech,कंपनी नै नई नीति घोषित करी है।
