Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Me go market yestaday buy fish for mama.
Grammar Core (Sentence Structures & Tenses),He been work long time before him rest.
Grammar Core (Sentence Structures & Tenses),She go come tomorrow if rain no fall.
Grammar Core (Sentence Structures & Tenses),Them no fit enter house because key lost.
Grammar Core (Sentence Structures & Tenses),We go done finish cook by evening time.
Grammar Core (Sentence Structures & Tenses),Me never see such big thing before.
Grammar Core (Sentence Structures & Tenses),"If you tell am truth, him go help you."
Grammar Core (Sentence Structures & Tenses),That food been cooked by my uncle.
Grammar Core (Sentence Structures & Tenses),Me like dance when music sweet well.
Grammar Core (Sentence Structures & Tenses),No man go know if you no talk am.
Conversational Data (Real-Life Dialogues & Exchanges),"A: How you dey? B: I dey fine, and you?"
Conversational Data (Real-Life Dialogues & Exchanges),A: You chop? B: I don chop small small.
Conversational Data (Real-Life Dialogues & Exchanges),A: Where you de go? B: I go town buy cloth.
Conversational Data (Real-Life Dialogues & Exchanges),"A: You sabi dat woman? B: Yes, she na my cousin."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Make we waka together. B: Ok, me ready."
Conversational Data (Real-Life Dialogues & Exchanges),"A: You hear di tori? B: Ah, I hear am well."
Conversational Data (Real-Life Dialogues & Exchanges),A: Why you late? B: Traffic hold me tight today.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Long time no see! B: True talk, e don tay."
Conversational Data (Real-Life Dialogues & Exchanges),"A: You wan drink tea? B: No, I prefer coffee dis time."
Conversational Data (Real-Life Dialogues & Exchanges),"A: I go call you later. B: Ok, me go wait."
Code-Switching & Multilingualism,"Me go shop buy baozi later, e sweet die!"
Code-Switching & Multilingualism,"Ni kan, dis market plenty people today."
Code-Switching & Multilingualism,Laoshi talk say we fit come class late small.
Code-Switching & Multilingualism,Wetin happen for Zhongshan Road yestaday?
Code-Switching & Multilingualism,"Me sabi small Mandarin, wo ye hui shuo yidian."
Code-Switching & Multilingualism,"Boss talk finish, wo jiu zuo wo de gongzuo."
Code-Switching & Multilingualism,"She wan travel Beijing next month, abi?"
Code-Switching & Multilingualism,"Na real wah, zhe ge dongxi tai gui le."
Code-Switching & Multilingualism,Him say 'xiexie' after me help am.
Code-Switching & Multilingualism,You get friend wey de work Shanghai ma?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Our company go host meeting for Shanghai Convention Center.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Client request report make we send before Friday.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Doctor advise make patient rest for two weeks.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Lawyer say contract need correction before sign.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Teacher tell student read chapter five for homework.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Engineer plan upgrade system next month.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hospital management announce new safety policy.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Business partner go arrive by 10am sharp.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Official meeting begin exactly 9 o’clock.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Supervisor go review staff performance today.
"Idioms, Proverbs & Cultural Expressions",Monkey no go leave banana for ground.
"Idioms, Proverbs & Cultural Expressions","When breeze blow, fowl yansh go open."
"Idioms, Proverbs & Cultural Expressions","No matter how long rope be, goat go reach end."
"Idioms, Proverbs & Cultural Expressions","Man wey no sleep, he go dream awake."
"Idioms, Proverbs & Cultural Expressions",Rain no fall for one man roof alone.
"Idioms, Proverbs & Cultural Expressions",Slow slow catch monkey for bush.
"Idioms, Proverbs & Cultural Expressions","No chop finish today, tomorrow still dey."
"Idioms, Proverbs & Cultural Expressions",Fish no fit climb tree for learn swim.
"Idioms, Proverbs & Cultural Expressions","Hand wey give, na hand go receive."
"Idioms, Proverbs & Cultural Expressions",Word wey sweet mouth fit bitter belle.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Who go come today? A: Me friend from Guangzhou.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Why you de smile? A: Because me get good news.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: When you go finish work? A: By 5pm sharp.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Where you keep my book? A: On top table near chair.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: How many people dey meeting? A: Maybe ten or twelve.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: You sabi sing? A: Small small, but me shy."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: What you wan chop? A: Rice with pepper soup.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Which bus go Yuyuan Garden? A: Number three line.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Who give you dat gift? A: My big sister.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: You de happy today? A: True true, I de very happy."
Commands & Instructions (Imperative Sentences),Close di door make mosquito no enter.
Commands & Instructions (Imperative Sentences),Bring that book come here quick quick.
Commands & Instructions (Imperative Sentences),No talk when teacher de speak.
Commands & Instructions (Imperative Sentences),Wait small make I finish first.
Commands & Instructions (Imperative Sentences),Put di soup for fire again.
Commands & Instructions (Imperative Sentences),Make you tell am come tomorrow.
Commands & Instructions (Imperative Sentences),Write your name for paper top.
Commands & Instructions (Imperative Sentences),Check di list before you submit.
Commands & Instructions (Imperative Sentences),"Hold am tight, e fit fall down."
Commands & Instructions (Imperative Sentences),Turn left after big tree.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mr. Wong travel go Beijing last Monday.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Shanghai University go start new course next week.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",President Li address di nation yesterday night.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Miss Chen work for Huawei company since 2020.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Festival for Nanjing Road go happen this December.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Doctor Zhang perform surgery for city hospital.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lagos boy come visit his cousin for Guangzhou.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bank of China open new branch near Bund.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mr. Lin birthday fall on March 2nd.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Organization called PeaceDeal sponsor di event.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Me happy say today sun shine fine fine.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"This food no sweet at all, too salty."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),She smile when she hear di good news.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Me tire, work today too hard."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),That movie make me laugh till belle pain me.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),He vex because friend no keep promise.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Me no like di way you talk just now.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),This new phone fine and fast well well.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Rain spoil my plan today, e pain me small."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Me grateful say everybody safe after storm.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Me go chop rice later today.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Later today me go eat rice small.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Rice me go eat when time reach.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"After work, I plan chop rice well."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Me go eat my rice after I come house.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"When I return, me go eat rice first."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Rice na di thing me go chop dis evening.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"By evening, me go don finish eat rice."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"No worry, I go soon chop rice now now."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I go eat rice soon as bell ring.
