Category,Sentence (Jewish Babylonian Aramaic)
Grammar Core (Sentence Structures & Tenses),אנא אזיל לביתא
Grammar Core (Sentence Structures & Tenses),את אזלת לשוקא?
Grammar Core (Sentence Structures & Tenses),הוא הלך לבי מדרשא
Grammar Core (Sentence Structures & Tenses),אנן ניזל למחר
Grammar Core (Sentence Structures & Tenses),היא לא אזלא לביתא
Grammar Core (Sentence Structures & Tenses),תזיל לשוקא ותיתי
Grammar Core (Sentence Structures & Tenses),אנן ניזיל אי יהבין לן זמן
Grammar Core (Sentence Structures & Tenses),הוו ניזלי קדם דנפול גשמים
Grammar Core (Sentence Structures & Tenses),למקדש ניזיל?
Grammar Core (Sentence Structures & Tenses),הוא יתן לי ספרא
Conversational Data (Real-Life Dialogues & Exchanges),"שלום, איך את?"
Conversational Data (Real-Life Dialogues & Exchanges),אנא בעי למזבן לחמא
Conversational Data (Real-Life Dialogues & Exchanges),היכי תקרי שמך?
Conversational Data (Real-Life Dialogues & Exchanges),"רבי, אתי עלי למילף"
Conversational Data (Real-Life Dialogues & Exchanges),הוא אמר לי דהוא אתי
Conversational Data (Real-Life Dialogues & Exchanges),בריך רחמנא דיהב לן אולפן
Conversational Data (Real-Life Dialogues & Exchanges),מה חמיתת בי שוקא?
Conversational Data (Real-Life Dialogues & Exchanges),"חבריא, ליכו נשתי מיא"
Conversational Data (Real-Life Dialogues & Exchanges),הא יליף חדתא?
Conversational Data (Real-Life Dialogues & Exchanges),אנא שרי למידן בניחותא
Code-Switching & Multilingualism,הא כתיב בספרדית 'Hola'
Code-Switching & Multilingualism,אנא משתדל לדבר עברית וארמית
Code-Switching & Multilingualism,דקדוקא אין La Grammaire חשיב
Code-Switching & Multilingualism,את ידעת שפיר ענגלית?
Code-Switching & Multilingualism,הוא אמר לי: 'come here' וקם
Code-Switching & Multilingualism,כתוב ליה ביוונית?
Code-Switching & Multilingualism,רבי דיבר בלטינית וארמית
Code-Switching & Multilingualism,דילמא היא יאמר משהו בצרפתית?
Code-Switching & Multilingualism,מאן תנא דפליג?
Code-Switching & Multilingualism,הא שייך לומר באידיש נמי?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",כיצד נשלים את השטר?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",היא קבלה כתב קידושין
"Formal & Professional Speech (Business, Legal, Medical, Technical)",הרופא אמר: 'לא סיכון'
"Formal & Professional Speech (Business, Legal, Medical, Technical)",נא שלם למר פלוני
"Formal & Professional Speech (Business, Legal, Medical, Technical)",דינא הוא דבית דין
"Formal & Professional Speech (Business, Legal, Medical, Technical)",האיש קיבל מסמך חתום
"Formal & Professional Speech (Business, Legal, Medical, Technical)",קביל תעודה דלמדנות
"Formal & Professional Speech (Business, Legal, Medical, Technical)",הפוסק גזר דינא
"Formal & Professional Speech (Business, Legal, Medical, Technical)",דיון זה יוכרע בחכמה
"Formal & Professional Speech (Business, Legal, Medical, Technical)",כתב רפואי זה נדרש
"Idioms, Proverbs & Cultural Expressions",ידו האריכתא משכה דינרין
"Idioms, Proverbs & Cultural Expressions",עין תחת עין ושן תחת שן
"Idioms, Proverbs & Cultural Expressions",חמירא סכנתא מאיסורא
"Idioms, Proverbs & Cultural Expressions",תפוס לשון אחר
"Idioms, Proverbs & Cultural Expressions",מים גנובים ימתקו
"Idioms, Proverbs & Cultural Expressions",חכמה בגוים תאמין
"Idioms, Proverbs & Cultural Expressions",הזורע ברוח יקצור סופה
"Idioms, Proverbs & Cultural Expressions",אין נביא בעירו
"Idioms, Proverbs & Cultural Expressions",שפיכת דם כמים
"Idioms, Proverbs & Cultural Expressions",המדרש אומר: אהבה רבה תכסה כל חטא
