Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ja dźensa rano čitam krótki nastawk wo serbskej kulturje.
Grammar Core (Sentence Structures & Tenses),Ty w kóždym seminarje spytuješ nowe słowa wotkryć.
Grammar Core (Sentence Structures & Tenses),Wona wčera w bibliotece třěbne dokumenty namakała.
Grammar Core (Sentence Structures & Tenses),My budźemy jutře w Budyšinje nowy korpusowy projekt předstajić.
Grammar Core (Sentence Structures & Tenses),"Wy byšće lěpje rozumili tekst, hdyž byšće najprjedy słownik wužiwali."
Grammar Core (Sentence Structures & Tenses),"Njejsym hišće wšitke morfologiske formy přepruwował, ale dźěłam na tym."
Grammar Core (Sentence Structures & Tenses),Raport bu po dokładnej rewiziji wot komisije schwaleny.
Grammar Core (Sentence Structures & Tenses),Dźowce čitatej bajku a so nad wjesołymi słowami smějetej.
Grammar Core (Sentence Structures & Tenses),"Hdyž student tekst přełoži, přirunuje wučerka jeho wotmołwu z originalom."
Grammar Core (Sentence Structures & Tenses),"Bych rady wědźał, kak by so tuta forma w druhej situaciji najlěpje wužiwała."
Conversational Data (Real-Life Dialogues & Exchanges),"— Dobre ranje, Hana, kak so dźensa maš? — Dźakuju, derje, jenož kawa mi hišće faluje."
Conversational Data (Real-Life Dialogues & Exchanges),"— Přińdźeš popołdnju do města? — Haj, chcu sej w Budyšinje nowe knihi wobhladać."
Conversational Data (Real-Life Dialogues & Exchanges),— Štož sy wčera činił? — Smo w kruhu přećelow film wo młodych rěčnikach diskutowali.
Conversational Data (Real-Life Dialogues & Exchanges),"— Móžeš mi prošu pomhać? — Wězo, pokazaj mi najprjedy, hdźe je problem."
Conversational Data (Real-Life Dialogues & Exchanges),"— Mamy hižo plan za sobotu? — Najprjedy pojědźemy do Chrósćic, potom wopytamy koncert."
Conversational Data (Real-Life Dialogues & Exchanges),"— Čehodla sy tak ćichi? — Přemysluju, kak bych swoje mysle jasnišo serbsce wuprajił."
Conversational Data (Real-Life Dialogues & Exchanges),"— Słyšaš mje derje? — Haj, ale mikrofon trochu šumi."
Conversational Data (Real-Life Dialogues & Exchanges),"— Chceš čaj abo wodu? — Radšo čaj, dokelž je wonka wjetřik."
Conversational Data (Real-Life Dialogues & Exchanges),"— Kak bě dźensniša hodźina? — Ćežka, ale přikłady běchu jara wužitne."
Conversational Data (Real-Life Dialogues & Exchanges),"— Zo bychu my nazhonjenja dźělili, móhli bychmy krótki zapis napisać."
Code-Switching & Multilingualism,"Dźensa mam online meeting, ale wšitke wažne notatki pisam serbsce."
Code-Switching & Multilingualism,"Kolega praji, zo je deadline pjatk w połdnju, tuž dyrbimy projekt pospěšić."
Code-Switching & Multilingualism,W emailu sym do pola Betreff zapisał: Nowe daty za hornjoserbski korpus.
Code-Switching & Multilingualism,"Po workshopje dźakowach so z Thank you, aber potom rozmołwihmy so zaso serbsce."
Code-Switching & Multilingualism,"Na telefonje dóstach Update, zo je najnowša wersija aplikacije hižo hotowa."
Code-Switching & Multilingualism,"Studentka prašeše so, hač ma commit message pisać po angielsku abo po serbsku."
Code-Switching & Multilingualism,"W našej skupinje słuži cloud za daty, ale komentary w kodźe wostanu serbske."
Code-Switching & Multilingualism,"Někotři praja einfach super, hdyž so jim nowe słowo posebno spodoba."
Code-Switching & Multilingualism,"Při testowanju chatbot wobčas měša Hallo, witaće k nam a dobry den w jednej wotmołwje."
Code-Switching & Multilingualism,Za sprint planning přihotujemy serbsku lisćinu nadawkow a němski protokol.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Prosymy Was wo pisomne wobkrućenje zarjadowaneho termina hač do 30. junija.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Zarjad doporuča, zo so wosobinske daty jenož w zakonsce dowolenej měrje předźěłuja."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Pacientka je měła wysoku temperaturu, tohodla je lěkar dalše přepytanje zarjadował."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Techniski system protokuluje kóžde naprašowanje z časowym kołkom a statusowym kodom.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wotnošk mjez kupcom a předawkom so w kupnym zrěčenju dokładnje wopisuje.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Předewzaćelstwo informuje sobudźěłaćerjow wo změnach w dźěłowym času přez interny dopis.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Analyza pokaza, zo so přistupowy čas aplikacije po optimerowanju znatnje skrótšił."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Klientka prošeše wo přewjedźenje narady w digitalnym formaće.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Sudnik zwěsći, zo dyrbi so dopis na zakładźe prawneje próstwy znowa posłać."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Medicinski formular wobsahuje informaciju wo alergijach, lěkarskich doporučenjach a kontaktnej wosobje."
"Idioms, Proverbs & Cultural Expressions","Hdyž starši čłowjek praji, zo so ma najprjedy słuchać a potom rěčeć, maja młodźi z toho wučbu."
"Idioms, Proverbs & Cultural Expressions","W Budyšinje so dobra nowina spěšnje dale poda, kaž hwězda nad Čornobohom."
"Idioms, Proverbs & Cultural Expressions","Hdyž so do łužiskeje zemje zasydliš, stawa so wšědna rěč pomału domjaca."
"Idioms, Proverbs & Cultural Expressions","Bjez prócy njeje žně tak bohate, kaž by sej hospodar přał."
"Idioms, Proverbs & Cultural Expressions","Štóž ma dwě rěči w wutrobje, widźi swět bohaćišo."
"Idioms, Proverbs & Cultural Expressions","Serbske słowo je kaž stara studnja: ćim hłubšo hladaš, ćim čisćiša woda so pokazuje."
"Idioms, Proverbs & Cultural Expressions","Hdyž so we wsy dźěło dźěli, njetrjeba žadyn sam połne břemjo njesć."
"Idioms, Proverbs & Cultural Expressions","Njedźelna drastwa nječini čłowjeka lěpšeho, ale móže jeho dobre wašnje pokazać."
"Idioms, Proverbs & Cultural Expressions","Najkrótša pućka njeje přeco najmódriša, hdyž chcyše něšto prawje zrozumić."
"Idioms, Proverbs & Cultural Expressions","Kultura nježiwi so z muzeja, ale z toho, štož ludźo dźensa z njeje činja."
Question-Answer Pairs (FAQ & Contextual Understanding),Prašanje: Hdźe leži Budyšin? Wotmołwa: Budyšin leži w Łužicy we wuchodnej Sakskej.
Question-Answer Pairs (FAQ & Contextual Understanding),Prašanje: Čehodla je standardna ortografija wažna? Wotmołwa: Pomha modelam a wučencam samsne formy spóznać.
Question-Answer Pairs (FAQ & Contextual Understanding),"Prašanje: Kak móžemy korpus rozšěrić? Wotmołwa: Přidawamy nowe žanry, přepruwujemy duplikaty a zachowamy licency."
Question-Answer Pairs (FAQ & Contextual Understanding),"Prašanje: Što čini dobry dialog? Wotmołwa: Ma jasne role, přirodne reakcije a wotpowědny kontekst."
Question-Answer Pairs (FAQ & Contextual Understanding),"Prašanje: Je tuta sadźba formalna? Wotmołwa: Haj, wužiwa zdwórliwy tón a administratiwne słownistwo."
Question-Answer Pairs (FAQ & Contextual Understanding),"Prašanje: Kelko rjadow ma tuta datowa sadźba? Wotmołwa: Ma sto přikładow, dźesać za kóždu kategoriju."
Question-Answer Pairs (FAQ & Contextual Understanding),"Prašanje: Kotre metadaty su za NER wužitne? Wotmołwa: Mjena wosobow, městna, daty, organizacije a časy."
Question-Answer Pairs (FAQ & Contextual Understanding),"Prašanje: Kak spóznaješ negatiwny začućowy ton? Wotmołwa: Hladam na słowa kaž zrudny, hněwny abo njewotpowědny."
Question-Answer Pairs (FAQ & Contextual Understanding),Prašanje: Dyrbi so kód měšeć z tekstom? Wotmołwa: Jenož hdyž nadawk prawje code-switching abo techniski kontekst trjeba.
Question-Answer Pairs (FAQ & Contextual Understanding),"Prašanje: Čehodla tworimy parafrazy? Wotmołwa: Zo model njewuknje jenož jednu formu, ale rozumi samsnu mysl."
Commands & Instructions (Imperative Sentences),"Wotewřiće prošu plik a přepruwujće, hač ma kóždy rjad dwě póli."
Commands & Instructions (Imperative Sentences),"Zapodaj swoje mjeno do formulara, prjedy hač na tłóčku Posłać kliknješ."
Commands & Instructions (Imperative Sentences),Přirunajće nowe sadźby ze starym korpusom a wumazajće přesne duplikaty.
Commands & Instructions (Imperative Sentences),Polož mikrofon blisko a přečitaj tekst jasnje a pomalu.
Commands & Instructions (Imperative Sentences),"Wubjerće kategoriju, kotraž najlěpje wopisuje zaměr tuteje sadźby."
Commands & Instructions (Imperative Sentences),"Njepřepisujće originalny dokument, ale wutworće kopiju za testowanje."
Commands & Instructions (Imperative Sentences),"Spytajće najprjedy krótke naprašowanje, potom přidajće dalši kontekst."
Commands & Instructions (Imperative Sentences),Zapisajće wotmołwu w standardnej hornjoserbskej ortografiji.
Commands & Instructions (Imperative Sentences),"Skontrolujće interpunkciju, mjezery a wulkopisanje wšitkich mjenowanych jednotkow."
Commands & Instructions (Imperative Sentences),Dajće modelu jasnu instrukciju a přidajće přikład dobreje wotmołwy.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Marja Nowakowa přednošowaše 18. junija 2026 w Serbskim instituće w Budyšinje.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Jan Šołta je we wutoru w Kamjencu z předstajerjem Domowiny wo projekće rěčał.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Firma LusatiaTech GmbH wotpósła 3. oktobra 2025 kontrakt do Drježdźan.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Uniwersita Lipsk přijeła studentku Hanu Krawcec z Ralbic do lětnjeho kursa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Na adresu Tuchmacherstraße 12 w Budyšinje přińdźe list wot Maćicy Serbskeje.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Pawoł Handrik přejecha 7. februara 2024 z Wojerec do Berlina na konferencu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Chór Meja spěwaše w njedźelu w Chrósćicach před hosćimi z Prahi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Serbski rozhłós rozprawjaše wčera wo posydźenju Sakskeho krajneho sejmika.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Doktorka Lydija Brězanowa pisaše recept za pacienta z Pančic-Kukowa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Projekt Digitalna Łužica startowaše 1. januara 2026 pod nawodom Marka Cyža.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Jara so wjeselu, zo je naš nowy słownik tak spěšnje wuknyć pomha."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Zrudny sym, dokelž so wažne zapiski po aktualizaciji zhubichu."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Tuta aplikacija dźěła stabilnje, ale jeje powjerch móhł być přehladniši."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Jako słyšach dźěći serbsce spěwać, začułach wulku hordu a nadźiju."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Njejsym spokojom, dokelž wotmołwa podpěry přińdźeše přepozdźe."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Rozmołwa bě přijomna, wotewrjena a połna dobrych idejow."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Neutralnje hódnoću tutu rozprawu, dokelž wobsahuje fakty bjez jasneje měnjenja."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Hižo po prěnim testu běch zawjedźeny, zo system njepřipózna městna mjena."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Nowa funkcija mi so spodoba, přetož šetři čas a zmylki jasnje pokazuje."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Wosebje mje hněwa, hdyž so serbske znamješka w eksportowanej tabeli wobškodźa."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Jutře započnjemy nowy projekt za awtomatiske spóznawanje hornjoserbskich tekstow.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nowy projekt za strojne rozpoznaće hornjoserbšćiny zahajimy jutřiši dźeń.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Po rewiziji přepruwowana wersija datoweje sadźby póńdźe do testoweho systema.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Testowy system dóstanje jenož tu wersiju sadźby, kotraž je po rewiziji přepruwowana."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Studentka přepisuje dialog tak, zo wotmołwy zněja přirodnišo a mjenje šablonowje."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Zo by dialog mjenje kaž mustr zněł, je studentka kóždu wotmołwu na swój wašnje přepisała."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Model dyrbi rozumić, zo samsna informacija móže w prašenju, přikazu abo powědanju stać."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Jedna mysl móže so jako prašenje, jako přikaz a jako spokojne rozprawjenje wuprajić."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Datowa sadźba wobsahuje formalne dopisy, swobodne rozmołwy a krótke techniske přikłady."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"W korpusje namakamy zdwórliwe listy, přirodne dialogi a kompaktny techniski tekst."
