Category,Igbo Sentence
Grammar Core (Sentence Structures & Tenses),M na-aga ụlọ akwụkwọ kwa ụbọchị.
Grammar Core (Sentence Structures & Tenses),Ọ gara ahịa ụnyaahụ.
Grammar Core (Sentence Structures & Tenses),Ha ga-esi na Enugu bịa echi.
Grammar Core (Sentence Structures & Tenses),"Ọ bụrụ na ị hụ ya, gwa ya ka ọ bịara."
Grammar Core (Sentence Structures & Tenses),A na-esi nri ugbu a.
Grammar Core (Sentence Structures & Tenses),Ebere na-esepu ihe mgbe niile.
Grammar Core (Sentence Structures & Tenses),Ọ bụghị eziokwu na anyị akwụsịla ịrụ ọrụ.
Grammar Core (Sentence Structures & Tenses),Akwụkwọ a edere na afọ gara aga.
Grammar Core (Sentence Structures & Tenses),Ọ ga-enwe ike ịza ajụjụ a?
Grammar Core (Sentence Structures & Tenses),"A sị na m nwere ego, m ga-azụ ụgbọala ọhụrụ."
Conversational Data (Real-Life Dialogues & Exchanges),Kedu ka ị mere?
Conversational Data (Real-Life Dialogues & Exchanges),"M dị mma, kedụ ka gịnwa?"
Conversational Data (Real-Life Dialogues & Exchanges),"Biko, gịnị ka i chọ?"
Conversational Data (Real-Life Dialogues & Exchanges),Ebee ka m nwere ike ịhụ ụlọ ahịa?
Conversational Data (Real-Life Dialogues & Exchanges),Ị chọrọ enyemaka?
Conversational Data (Real-Life Dialogues & Exchanges),Ka anyị gbalịa ire mkpụrụ osisi a.
Conversational Data (Real-Life Dialogues & Exchanges),Ebee ka i si?
Conversational Data (Real-Life Dialogues & Exchanges),M ga-alaghachi n'ụlọ echi.
Conversational Data (Real-Life Dialogues & Exchanges),Olee etu anyị ga-esi dozie nsogbu a?
Conversational Data (Real-Life Dialogues & Exchanges),"Naanị gbalịsie ike, ị ga-eme nke ọma!"
Code-Switching & Multilingualism,"Biko, can you help me?"
Code-Switching & Multilingualism,A ga m try ike m.
Code-Switching & Multilingualism,"Oge a dị tight, mana anyị ga-eme ya."
Code-Switching & Multilingualism,"Abụ m tech person, m na-arụ code."
Code-Switching & Multilingualism,"Nne, we need to go now!"
Code-Switching & Multilingualism,Ụfọdụ ndị Igbo na speak English too.
Code-Switching & Multilingualism,"I should buy the ngwa ahịa, right?"
Code-Switching & Multilingualism,M na-akụzi my younger brother Igbo.
Code-Switching & Multilingualism,Kedu ihe ha na call this thing?
Code-Switching & Multilingualism,Eziokwu! That’s impressive.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",M na-azụ ahịa na ụlọ ahịa ukwu na Lagos.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Gịnị bụ usoro iwu banyere inye nkwado ego?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ọrịa a chọrọ ọgwụgwọ ozugbo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",M na-arụ ọrụ na ngalaba teknụzụ n'ụlọ ọrụ anyị.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Biko, nye m akwụkwọ nkwekọrịta ka m lụọ anya."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O doro anya na iwu ahụ ga-emetụta azụmahịa anyị.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A na-anwale ọgwụ ọhụrụ a n'ụlọ ọgwụ ugbu a.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nke a bụ nyocha data maka nyocha ahụ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kpọtụrụ enyemaka ndị dọkịta ma ọ bụrụ na ịnwe nsogbu ahụ ike.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndị ọkachamara na-elekọta ngwanrọ anyị ka ọ rụọ ọrụ nke ọma.
"Idioms, Proverbs & Cultural Expressions",Akwụkwọ dị iche iche bụ isi mmalite amamihe.
"Idioms, Proverbs & Cultural Expressions",A ghaghị ịgbalịsie ike tupu onye ọbụla rite uru.
"Idioms, Proverbs & Cultural Expressions",Ezigbo enyi na-egosi n'oge nsogbu.
"Idioms, Proverbs & Cultural Expressions",Nwata na-eto eto ga-ebi ndụ ka ndị okenye.
"Idioms, Proverbs & Cultural Expressions","Ihe onye metere, ya chụrụ."
"Idioms, Proverbs & Cultural Expressions","A hụrụ n’anya abụghị ihe a na-akọwa na okwu, kama na omume."
"Idioms, Proverbs & Cultural Expressions","Mmiri na-ezo, mana ala anaghị atụ uche."
"Idioms, Proverbs & Cultural Expressions","Ike gwụrụ, ọ bụghị ikpeazụ."
"Idioms, Proverbs & Cultural Expressions","Ebe onye dara, ka chi ya kwụrụ."
"Idioms, Proverbs & Cultural Expressions","Ọtụtụ mmadụ na-ekwu okwu, mana ole na-eme ihe?"
Question-Answer Pairs (FAQ & Contextual Understanding),Kedu ụbọchị ụbọchị ọmụmụ gị?
Question-Answer Pairs (FAQ & Contextual Understanding),Olee ebe m nwere ike izu ahịa?
Question-Answer Pairs (FAQ & Contextual Understanding),Gịnị ka ị chere banyere mmemme a?
Question-Answer Pairs (FAQ & Contextual Understanding),Ebee ka Enugu dị?
Question-Answer Pairs (FAQ & Contextual Understanding),Ọ gaghị ekwe omume ime ya ugbu a?
Question-Answer Pairs (FAQ & Contextual Understanding),Ebee ka m nwere ike ịhụ akwụkwọ a?
Question-Answer Pairs (FAQ & Contextual Understanding),Gịnị bụ isi uru nke inwe ezigbo enyi?
