Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"Bän sabaa erken kalkêrım, çünkü işä zamanında varmaa isterim."
Grammar Core (Sentence Structures & Tenses),"Sän dün akşam Komrattan geldin, ama çantanı avtobusta unuttun."
Grammar Core (Sentence Structures & Tenses),O yarın universitetä gidecek hem yeni laboratoriyayı görecek.
Grammar Core (Sentence Structures & Tenses),"Biz bu işi bitirärdık, eyer elektrik kesilmeseydi."
Grammar Core (Sentence Structures & Tenses),"Siz raporu okumadınız, onun için toplantıda sual sordunuz."
Grammar Core (Sentence Structures & Tenses),"Onnar eski evi tamir ederlär, ama çatı daha yapılmadı."
Grammar Core (Sentence Structures & Tenses),"Mektup müdürä gönderildi, kopyası da arhivdä saklandı."
Grammar Core (Sentence Structures & Tenses),"Uşaklar avluda oynayêrken, anaları gölgede konuşuyêrdu."
Grammar Core (Sentence Structures & Tenses),"Bän seni çaıracaydım, ama telefonumun batareyası bitti."
Grammar Core (Sentence Structures & Tenses),"Kapu açıksa, içeri gir; kapu kapalıysa, zili çal."
Conversational Data (Real-Life Dialogues & Exchanges),"Seläm, Maria, neredän geliysin? — Pazardan geliyêrim, taze üzüm aldım."
Conversational Data (Real-Life Dialogues & Exchanges),"Apo, bugün kahve içelim mi? — İçelim, ama ilkin işleri bitirelim."
Conversational Data (Real-Life Dialogues & Exchanges),"Saa olun, teyze, ekmek çok yumuşak. — Afiyet olsun, uşaa."
Conversational Data (Real-Life Dialogues & Exchanges),"Sän bu akşam serbest misin? — Serbestim, ama saat yedidän sora."
Conversational Data (Real-Life Dialogues & Exchanges),"Nasılsınız, doktor? — İiyim, sizin başınız artık aarmıyêr mı?"
Conversational Data (Real-Life Dialogues & Exchanges),"Bilet aldın mı? — Aldım, avtobus saat altıda kalkacak."
Conversational Data (Real-Life Dialogues & Exchanges),"Bu sözün anlamını bilersin mi? — Bilerim, ama cümledä nasıl kullanılır, onu sorêrım."
Conversational Data (Real-Life Dialogues & Exchanges),"Komrata ne zaman gidecez? — Hava açılırsa, öğledän sora gidecez."
Conversational Data (Real-Life Dialogues & Exchanges),"Telefonu neredä bıraktın? — Masanın üstündä, defterin yanında."
Conversational Data (Real-Life Dialogues & Exchanges),"Gel, sofraya oturalım. — Bir dakika, ellerimi yıkayım da geleyim."
Code-Switching & Multilingualism,"Salut, Lenka, bugün online derstä Gagauzça mı, yoksa Rusça mı konuşacez?"
Code-Switching & Multilingualism,"Mihail, spasibo, dosyeyi meilä gönderdin, bän onu hemen açtım."
Code-Switching & Multilingualism,"Şedinţa başladıktan sora, başkan raporu Gagauzça anlattı, sonra Romınca kısa özet verdi."
Code-Switching & Multilingualism,"Dedlayn cuma günü, onun için prezentatsiyayı bugün bitirmämiz lääzım."
Code-Switching & Multilingualism,"Bän markettä kartla ödedim, kasir da bana bon fiskal verdi."
Code-Switching & Multilingualism,"Ana dedi ki: «Nu uita», ama bän defteri zaten çantama koydum."
Code-Switching & Multilingualism,"Gençler çatta yazdılar: «ok, yarın görüşürüz», hem sonra Gagauzça türkü paylaştılar."
Code-Switching & Multilingualism,"Ofistä printer işlemedi, zato raporu USB-dän çıkardık."
Code-Switching & Multilingualism,"Kafedä biri «merci» dedi, öbürü «saa olun» deyip güldü."
Code-Switching & Multilingualism,"Zoom dersindä uşaklar ilkin Rusça seläm verdi, sonra öğretmen onnarı Gagauzçaya çevirdi."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Saygılı müşteriler, bankamız sizin soruşlarınızı iş günü içindä cevaplayacak."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sözleşmenin üçüncü maddesi tarafların borçlarını hem haklarını açık gösterer.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hasta ilaçları doktorun yazdığı reţetaya görä kullanmalı.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tehnik yardım merkezi arızayı kaydetti hem uzmanı adrese yolladı.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Komrat primariyası yeni su hattı projesi için açık danışma topluyor.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Şirket, çalışanların kişisel verilerini kanuna uygun biçimdä koruyêr."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mahkeme kararından sora taraflar apelyatsiya vermää haklıdır.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Lütfen tahlil neticelerini klinika registraturasına sabaa getirin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Müşteri kontraktı imzalamadan önce bütün şartları dikkatlı okumalı.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Server yenilendiktän sora, sistem kısa zaman için kullanıştan çıkacak."
"Idioms, Proverbs & Cultural Expressions","Damla damla göl olur, emek emek ekmek olur."
"Idioms, Proverbs & Cultural Expressions","Aaç yaşken eilir, insan küçükken üürenir."
"Idioms, Proverbs & Cultural Expressions","Kurt dumanlı havayı sever, ama çoban gözünü açar."
"Idioms, Proverbs & Cultural Expressions","İki tavşanı kovalayan, birisini da tutamaz."
"Idioms, Proverbs & Cultural Expressions","Söz gümüş ise, susmak altındır."
"Idioms, Proverbs & Cultural Expressions","Eski dost paslanmaz, yeni dost sınanır."
"Idioms, Proverbs & Cultural Expressions","Sabırlı insanın kapusu geç da açılsa, bereket içeri girer."
"Idioms, Proverbs & Cultural Expressions","Ana sözü yolda ışık, baba sözü evdä direktir."
"Idioms, Proverbs & Cultural Expressions","Komşunun külü bile komşuya yarar, derlär bizim küüdä."
"Idioms, Proverbs & Cultural Expressions","Kısmet kapuyu çalarsa, insan uyumamalı."
Question-Answer Pairs (FAQ & Contextual Understanding),"Gagauz dili nerdä resmi dildir? — Gagauziyada, Moldova içindä resmi dildir."
Question-Answer Pairs (FAQ & Contextual Understanding),Komrata nasıl giderim? — Merkezdän avtobusa binin hem durakta universitetä kadar gidin.
Question-Answer Pairs (FAQ & Contextual Understanding),"Bu dükan kaçta açılır? — Genelde sabaa sekizdä açılır, akşam altıda kapanır."
Question-Answer Pairs (FAQ & Contextual Understanding),Neden uşaklar ana dilini üürenmeli? — Çünkü dil aile hatırasını hem halkın sözünü yaşadır.
Question-Answer Pairs (FAQ & Contextual Understanding),"Hederlez ne zaman kutlanır? — Çiçek ayın altısında, yazın gelişini sevinçle karşılamak için."
Question-Answer Pairs (FAQ & Contextual Understanding),"Bu ilaç aç karnına mı alınır? — Doktor başka demediyse, yemektän sora almak güvenlidir."
Question-Answer Pairs (FAQ & Contextual Understanding),"Toplantı kimdä olacak? — Müdür yardımcısında, saat onda, küçük zalda olacak."
Question-Answer Pairs (FAQ & Contextual Understanding),"Sän bu filmi beendin mi? — Evet, konusu sakin, ama sonu pek beklenmedik idi."
Question-Answer Pairs (FAQ & Contextual Understanding),"Parolamı unuttum, ne yapayım? — Sistemä gir, «parolayı yenile» düymesinä bas."
Question-Answer Pairs (FAQ & Contextual Understanding),"Yaamur yağarsa, piknik olacak mı? — Eyer yaamur kesilmezsä, pikniği pazar gününä atacez."
Commands & Instructions (Imperative Sentences),"Kapuyu kapat, ama anahtarı masanın üstündä bırak."
Commands & Instructions (Imperative Sentences),"Raporu oku, önemli satırları işaretle hem sora bana anlat."
Commands & Instructions (Imperative Sentences),Lütfen yaşlılara yol verin hem avtobusta yüksek seslän konuşmayın.
Commands & Instructions (Imperative Sentences),Telefonunu sessizä al da ders sırasında kimseyi rahatsız etmä.
Commands & Instructions (Imperative Sentences),"Çocukları avluda beklet, çünkü yol bugün kaygan."
Commands & Instructions (Imperative Sentences),"Yeni faylı aç, bütün adları kontrol et hem listeyi sakla."
Commands & Instructions (Imperative Sentences),"Ekmää ince kes, peynirlen tabaa koy hem sofrayı hazırla."
Commands & Instructions (Imperative Sentences),"Hastaya su verin, ateşini ölçün hem doktoru hemen çaırın."
Commands & Instructions (Imperative Sentences),"Sualı dikkatlı dinle, acele etmä, cevabını açık söyle."
Commands & Instructions (Imperative Sentences),"Haritada Komratı bul, sonra Çadır-Lungaya giden yolu çiz."
"Named Entity Recognition (People, Places, Dates, Organizations)",Mariya Todur 2026 yılın 14 Kirez ayında Komrat Devlet Universitetindä diplom aldı.
"Named Entity Recognition (People, Places, Dates, Organizations)",Dionis Tanasoglu adına lisey Çadır-Lungada yeni biblioteka açtı.
"Named Entity Recognition (People, Places, Dates, Organizations)",Valkaneştän gelen İvan Çebotar Moldova Tarım Bakanlığına proje sundu.
"Named Entity Recognition (People, Places, Dates, Organizations)",Ana Sözü gazetası 3 Baba marta 2025 tarihinde Hederlez hazırlıklarını yazdı.
"Named Entity Recognition (People, Places, Dates, Organizations)",Komrat primarı Petri Uzun pazartesi günü Beşalma müzesini ziyaret etti.
"Named Entity Recognition (People, Places, Dates, Organizations)",Gagauziya Halk Topluşu 12 Canavar ayında dil programı için karar aldı.
"Named Entity Recognition (People, Places, Dates, Organizations)",Elena Kuroglo hem Mihail Deliorman Kişinövda yapılan konferentsiyada konuştular.
"Named Entity Recognition (People, Places, Dates, Organizations)",Kongaz küyündä 1 Hederlez ayında gençler folklor ansamblı kurdu.
"Named Entity Recognition (People, Places, Dates, Organizations)","Moldova Devlet Universiteti, Komrat Devlet Universiteti hem Tarakliya kolleci ortak seminar yaptı."
"Named Entity Recognition (People, Places, Dates, Organizations)",Svetlana Manol 8 Ceviz ayında Avdarma kültür evindä resim sergisi açtı.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Bugünkü ders beni sevindirdi, çünkü her uşak cesurca Gagauzça konuştu."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Otobüs gene geç kaldı, bundan dolayı müşteriler çok kızgın kaldılar."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Yeni kitap ilginç, ama bazı bölümlär bana kuru göründü."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Anamın pişirdiği ekmek kokusu evä sıcaklık getirdi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Sistem durmadan hata verincä, çalışanlar yoruldu hem umudunu kaybetti."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Bu karar adaletli göründü, çünkü küçük işletmelerä da yardım eder."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Yaamurlu hava biraz üzgünlük verdi, ama bağlar için faydalı oldu."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Konserdä gençlerin sesi ölä güzel idi ki, salon uzun alkışladı."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Müşteri hizmeti nazik cevap verdi, bu da güvenimi artırdı."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Kayıp çantayı bulunca, bän hem rahatladım hem da şaşırdım."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Bän sabaa pazara gittim; başka türlü söylersek, erkendän alışveriş yaptım."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Öğretmen uşaklara masal anlattı, yani ders canlı hem kolay anlaşıldı."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Toplantı ertelendi; demäk, bugün deyil, yarın konuşacez."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Küü yolu tamir edildi, başka sözlän, arabalar artık rahat geçer."
