Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"Ndiri kuphata basa ntsiku zonsene, mbwenye lero ndiri kupuma pang'ono."
Grammar Core (Sentence Structures & Tenses),"Madzi akakhala mashoma, anthu asafunika kuakoya mwandzeru."
Grammar Core (Sentence Structures & Tenses),Ndikhadapita ku Tete mbandidagula mbeu za munda.
Grammar Core (Sentence Structures & Tenses),Mwana adalembesa basa yace mbadzatambira mphoto kusukulu.
Grammar Core (Sentence Structures & Tenses),"Tikadzamala kumanga nyumba, tinacemera abale onsene."
Grammar Core (Sentence Structures & Tenses),Iye nkhabe kudziwa njira inafuna ife kufamba mangwana.
Grammar Core (Sentence Structures & Tenses),"Nyemba zaphikika mwadidi, thangwi moto wakhala wakukwana."
Grammar Core (Sentence Structures & Tenses),"Ungakhala na ndzidzi, undithandize kusasanyira mapepala a nsonkhano."
Grammar Core (Sentence Structures & Tenses),Ife tikhamadzalonga na akulu-akulu tingacita cisankhulo cikulu.
Grammar Core (Sentence Structures & Tenses),Nyumba iyi yamangwa na anthu a mudzi mwakuphatana.
Conversational Data (Real-Life Dialogues & Exchanges),"Moni, munakhala tani? Ndiri bwino, ndatenda; imwe munakwanisa kundipanga njira ya ku msika?"
Conversational Data (Real-Life Dialogues & Exchanges),"Mai Ana alonga kuti, 'Bwerani madzulo,' ndipo ine ndatawira kuti ndinabwera na mwana wanga."
Conversational Data (Real-Life Dialogues & Exchanges),"Udzati kufika kunyumba, nditumizire mphangwa, thangwi ndinafuna kukudziwisa pinthu pinafunika."
Conversational Data (Real-Life Dialogues & Exchanges),"Munthu unoyu andibvundza ntengo wa nsomba, ine ndampanga kuti lero ntengo wakwira pang'ono."
Conversational Data (Real-Life Dialogues & Exchanges),Abale akhala pantsi pa nsasa mbalonga pya mabasa a m'munda na pya madzi.
Conversational Data (Real-Life Dialogues & Exchanges),"Ndapota, ndibwerekese foni yako pang'ono; ndinafuna kulonga na nkulu wanga."
Conversational Data (Real-Life Dialogues & Exchanges),"Xamwali, usadya kale? Nkhabe, ndiri kudikhira kuti tiende pabodzi."
Conversational Data (Real-Life Dialogues & Exchanges),"Pakumala kuphika, mai alonga kuti ana asambe manja mbadzati kudya."
Conversational Data (Real-Life Dialogues & Exchanges),"Tisafuna kudzafika pa nsonkhano mwakucimbiza, natenepa tikwiye cincino."
Conversational Data (Real-Life Dialogues & Exchanges),"Mbani ali pakhomo? Ndi ine, ndabweresa tsamba idatumwa na mphunzitsi."
Code-Switching & Multilingualism,"Lero ndiri ku meeting ya associação, mbwenye ndinabwerera kunyumba ntsiku ikadzamira."
Code-Switching & Multilingualism,Professor alonga kuti homework iyi isafunika kuperekwa sexta-feira namacibese.
Code-Switching & Multilingualism,"Ndapota, tumizani mensagem pa telefone yanga mungafika pa paragem."
Code-Switching & Multilingualism,"Cliente afuna recibo ya pagamento, natenepa mulembi asafunika kuikoya muficheiro."
Code-Switching & Multilingualism,"Tinagula arroz na açúcar ku loja, buluka penepo tinabwerera ku mudzi."
Code-Switching & Multilingualism,"Mwana akupfundza inglês kusukulu, mbwenye panyumba asalonga Cisena na ambuya."
Code-Switching & Multilingualism,Administrador aphemba relatório ya projecto mbadzati kufika segunda-feira.
Code-Switching & Multilingualism,Ndinafuna carregar bateria ya computador thangwi magetsi anadzima madzulo.
Code-Switching & Multilingualism,"Pa hospital, enfermeira alonga kuti cartão ya vacina isafunika kukoyiwa mwadidi."
Code-Switching & Multilingualism,Driver adalonga kuti chapa inabuluka pa terminal pa hora yacitatu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Ndapota lembani dzina yanu, ntsiku yakubalwa, na mbuto inakhala imwe pa fomu iyi."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Komiti inadzadinga pempho yanu mbidzapereka ntawiro wakulembwa pakumala masiku matatu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dokotala aphemba kuti mulowese mwana mu sala ya kudinga ungumi mwakukhurudzika.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mgwirizano uyu usafunika kusainiwa na mbali ziwiri patsogolo pa mboni ziwiri.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Empresa inadziwisa anyabasa kuti msonkhano wa cipulumuso unacitwa pa Cipiri namacibese.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tekiniko asafunika kuona makina onsene mbadzati kutoma basa ya ntsiku.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nyumba ya nsembe idatambira lipoti ya mali na mphangwa za pinthu pidagulidwa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Mwacilemedzo, tikukuphembani kuti mutawire imelo iyi mbamudzati kumala maora makumi mawiri na manai."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Munthu onsene ali na ufulu wakubva pidanembwa mu cibverano mbadzati kusaina.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Chipatala cinapereka cithandizo cakucimbiza kuna anthu anabwera na ngozi zikulu.
"Idioms, Proverbs & Cultural Expressions","Mwana anakhonda kubvesera akulu, asagwa m'madzi ngakhale njira ili pakhundu."
"Idioms, Proverbs & Cultural Expressions","Munthu m'bodzi nkhabe kumanga mudzi, manja mazinji ndiwo anamalisa basa."
"Idioms, Proverbs & Cultural Expressions","Mphika ungakhala pamoto, nyemba zisaphika pang'ono na pang'ono."
"Idioms, Proverbs & Cultural Expressions","Nkhalamba ikakhala pa nsasa, ana asabva njira zakale za mudzi."
"Idioms, Proverbs & Cultural Expressions","Mbuto iri na utsi, kazinji kene iri na moto wakubisika."
"Idioms, Proverbs & Cultural Expressions",Nsomba nkhabe kudziwa kukoma kwa madzi mpaka madzi aoma.
"Idioms, Proverbs & Cultural Expressions",Munthu anafesa minga nkhabe kudikhira kukolola maluwa.
"Idioms, Proverbs & Cultural Expressions","Nyoni ingalira namacibese, mudzi usadziwa kuti ntsiku yatoma."
"Idioms, Proverbs & Cultural Expressions",Mawu akulu asalema kupiringana mtolo wa nkhuni.
"Idioms, Proverbs & Cultural Expressions",Mwana wa mudzi asakula m'manja mwa anthu onsene.
Question-Answer Pairs (FAQ & Contextual Understanding),"Mbadzati kufamba, ndingagulepi tikiti? Tikiti isaguliswa pa paragem na pa ofesi ya chapa."
Question-Answer Pairs (FAQ & Contextual Understanding),"Thangwi yanji madzi nkhabe kubwera lero? Pombi ikusasanyirwa, natenepa madzi anabwera madzulo."
Question-Answer Pairs (FAQ & Contextual Understanding),Kodi ndinapereka kupi fomu ya sukulu? Perekani fomu kuna mulembi ali pa ofesi ikulu.
Question-Answer Pairs (FAQ & Contextual Understanding),"Munthu angaduwala usiku, asafunika kuenda kupi? Asafunika kuenda ku chipatala ca cifupi mwakucimbiza."
Question-Answer Pairs (FAQ & Contextual Understanding),Ndi ndzidzi upi msika usafungulwa? Msika usafungulwa namacibese mbufungwa dzuwa ikadoka.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kodi ndisafunika kubweresa ciyani pa nsonkhano? Bweresani cizindikiro, buku, na mapepala anu."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ndingaikoye tani mbeu kuti ileke kuola? Ikoyeni pa mbuto youma, yakupuma, na yakusowa madzi."
Question-Answer Pairs (FAQ & Contextual Understanding),Mbani anatsogolera basa ya mudzi? Nkulu wa mudzi na komiti ya anthu ndiwo anatsogolera.
Question-Answer Pairs (FAQ & Contextual Understanding),Kodi mwana asafunika kutoma kupfundza kuleri liti? Asafunika kutoma pang'ono-pang'ono angakwanisa kubvesera na kulonga.
Question-Answer Pairs (FAQ & Contextual Understanding),"Thangwi yanji tisalemedza alendo? Thangwi mlendo asabweresa ubale, mphangwa, na mwayi wa kupfundzana."
Commands & Instructions (Imperative Sentences),Fungula nsuwo mwakukhurudzika kuti mwana apite nkati.
Commands & Instructions (Imperative Sentences),Bweresani madzi akumwa kuna alendo mbamudzati kutoma nsonkhano.
Commands & Instructions (Imperative Sentences),"Lembani mafala awa m'mabuku anu, buluka penepo muwerenge mwakugaluza."
Commands & Instructions (Imperative Sentences),Lekani kutaya mapepala pa mseu; aikheni m'mbokosi ya mataka.
Commands & Instructions (Imperative Sentences),Tumizani mphangwa kuna komiti mukangamala kusonkhanisa maina.
Commands & Instructions (Imperative Sentences),"Phikani sadza pang'ono, thangwi alendo anafika mwakucimbiza."
Commands & Instructions (Imperative Sentences),Sasanyirani mbuto ya ana kuti akhale pansi mwakutsidzikizika.
Commands & Instructions (Imperative Sentences),"Pangani mizere miwiri, amuna kukhundu ibodzi na akazi kukhundu inango."
Commands & Instructions (Imperative Sentences),Werengani cibverano consene mbamudzati kusaina.
Commands & Instructions (Imperative Sentences),Khumbanyani nkhalamba pang'ono mpaka chipatala cifike.
Named Entity Recognition (NER) Data,Maria Banda adafika ku Tete pa 12 Junho 2026 kuti agumanikane na komiti ya maphunziro.
