Categories,Sentences
1. Grammar Core (Sentence Structures & Tenses),Omulimi ulima muunda wakwe buzuba boonse.
1. Grammar Core (Sentence Structures & Tenses),Omulimi wakalima muunda wakwe jilo kuseeni.
1. Grammar Core (Sentence Structures & Tenses),Omulimi ulaakulima muunda wakwe juunza alimwi aamabisi.
1. Grammar Core (Sentence Structures & Tenses),"Ngati mvula yaya, tuyoosyala malembe ku muunda mupya."
1. Grammar Core (Sentence Structures & Tenses),Taakwe mwana utondezya kuswiilila nkaambo ulizi kuti masuko aali mubuumi.
1. Grammar Core (Sentence Structures & Tenses),Ng'anda yakwe yakayakwa a basimbi a basankwa ba muunzi.
1. Grammar Core (Sentence Structures & Tenses),Bana babili bali kucita mulimo wabulembi mu cikolo.
1. Grammar Core (Sentence Structures & Tenses),Ndakali kubona ng'ombe zya mukwesu kazipona kabotu mu madambo.
1. Grammar Core (Sentence Structures & Tenses),"Naakaba a ndalama zinji, ndakagula bhuku lipya lya cilimi."
1. Grammar Core (Sentence Structures & Tenses),Leza alonge bantu bayoosungilizya masimpe mu mazwi aabo.
2. Conversational Data (Real-Life Dialogues & Exchanges),"Muli buti, mukwesu? Ndili kabotu, naawe uli buti sunu?"
2. Conversational Data (Real-Life Dialogues & Exchanges),Uya kuli sunu? Ndiya ku musika nkaambo ndifuna kugula cinkwa.
2. Conversational Data (Real-Life Dialogues & Exchanges),"Wabona mulimu nguwakabandika sule? Ee, ndawubona alimwi ndakali kuwuyanda."
2. Conversational Data (Real-Life Dialogues & Exchanges),"Ndakakutana a bamayi bangu mu mugwagwa, pele tabaakandibona."
2. Conversational Data (Real-Life Dialogues & Exchanges),"Koonda katondo aka? Iiyi, nkaambo mvula ilizakuba akwalo maawa masyoonto."
2. Conversational Data (Real-Life Dialogues & Exchanges),"Walya kale? Iiyi, ndalya inzila yakwe makani a buzuba."
2. Conversational Data (Real-Life Dialogues & Exchanges),"Twaangane ku ng'anda yakwe baSinyange masikati, cilaleta kuseka kunji."
2. Conversational Data (Real-Life Dialogues & Exchanges),"Ndafwida kulanga filimu yakwe, pele generator yacima mu busiku."
2. Conversational Data (Real-Life Dialogues & Exchanges),"Uli mukwiimvwisya eco nce ndasosa? Iiyi, pele ndifuna kuti uchisobanune limbi."
2. Conversational Data (Real-Life Dialogues & Exchanges),Twabotu kuti mwakafika kale nkaambo muswaangano watandika canguzu.
3. Code-Switching & Multilingualism,Meeting yesu ya sunu ilabikka ma-report oonse aa project ku mesa.
3. Code-Switching & Multilingualism,Ndakamutumina message yakwe pa phone pele taakanjula.
3. Code-Switching & Multilingualism,Teacher waamba kuti assignment yeelede kutumwa before four o'clock.
3. Code-Switching & Multilingualism,Bana balaamba English ku school pele kumuzi balanda Chitonga.
3. Code-Switching & Multilingualism,Doctor waambila taata kuti test yakwe ya blood yalimubotu.
3. Code-Switching & Multilingualism,Manager wakasala team ipya ya field work mu Choma district.
3. Code-Switching & Multilingualism,Pa radio bakali ku-discuss-a farming inputs aa season iija.
3. Code-Switching & Multilingualism,Ndifuna ku-print-a pepa eli pele printer tayandi kusebenza.
3. Code-Switching & Multilingualism,Ba youth bakasanga training ya business yakwe inooli useful kapati.
3. Code-Switching & Multilingualism,Twakabooka ku workshop tusungidwe a many ideas aa community project.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Twalomba kuti mulete mabuku oonse a mali ku ofesi kabili ku mapeto aa mwezi.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Musyomeka kusaina pepa eli nkaambo lilatondezya kuvumina milao yakwe kampani.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Mulwazi uleelede kumwa musamu ooyu kabili kusecha ku chipatala mu mazuba otatwe.
