Category,Papiamento Sentence
Grammar Core,Mi ta traha tur dia riba e proyekto.
Grammar Core,Nan a kome den e restourant chikí.
Grammar Core,Mañan lo nos bai playa si e tempo ta bon.
Grammar Core,"Si mi tabata hende mas riko, mi lo yuda tur hende."
Grammar Core,E mucha no ta skucha su mama.
Grammar Core,E buki lo wordo lesa pa tur studiante.
Grammar Core,Nos tabatin un bon siman na Aruba.
Grammar Core,Bo por traha den e kompania esaki mañana?
Grammar Core,Mi no lo a keda na kas sin motibu.
Grammar Core,Esnan ta serka nos tabata kanta y balia.
Conversational Data,Kiko bo ta hasi awor?
Conversational Data,"Mi ta bai cas, bo kier yuda mi ku algo?"
Conversational Data,"Ai, mi a lubida mi kartera na kas!"
Conversational Data,"No ta problema, mi por paga pa bo."
Conversational Data,"Bo por papia mas pisá, por fabor?"
Conversational Data,Abo a wak e pelíkula ayera nochi?
Conversational Data,"Si, e tabata hopi interesante."
Conversational Data,Bo kier bai playa of bo prefera parke?
Conversational Data,Mi ta sinti hopi kontentu awe.
Conversational Data,"Bo por pasa mi e sal, por fabor?"
Code-Switching & Multilingualism,"Mi ta bai school mañana, pero después mi tin un reunión."
Code-Switching & Multilingualism,"Abo por giña mi un ride na werk, please?"
Code-Switching & Multilingualism,"Nos por come pasta, y despues nos ta mira Netflix."
Code-Switching & Multilingualism,"Mi por kumprondé, pero no ta easy pa mi."
Code-Switching & Multilingualism,"E ta nifiká like, un tipo di problema."
Code-Switching & Multilingualism,Mi mester bai dokter riba Friday.
Code-Switching & Multilingualism,Nos a papia ku e teacher den English.
Code-Switching & Multilingualism,"No worry, mi ta yuda bo!"
Code-Switching & Multilingualism,Mi no por haci eso without bo ayuda.
Code-Switching & Multilingualism,Abo a skucha e news riba radio?
Formal & Professional Speech,Por fabor firma e dokumento promé di entrega.
Formal & Professional Speech,Nos ta gradualmente implementá e nobo sistema.
Formal & Professional Speech,E evaluashon lo tuma lugá den tres siman.
Formal & Professional Speech,Tur empleadonan mester sigui e reglamento.
Formal & Professional Speech,Nos tin e plaka disponibel pa e proyèkto aki.
Formal & Professional Speech,Su resumé a wordo akseptá pa e posishon.
Formal & Professional Speech,E dokter lo reviza e resultado dilanti.
Formal & Professional Speech,"Prome di firma, por fabor lesa tur terminos."
Formal & Professional Speech,Tur informashon ta konfidenchial.
Formal & Professional Speech,Nos ta gradiciá bo atenshon den e asunto aki.
"Idioms, Proverbs & Cultural Expressions",Barika yen no ke palabranan.
"Idioms, Proverbs & Cultural Expressions",No laga berde yega bo awe.
"Idioms, Proverbs & Cultural Expressions",Pa tur kos tin su tempo.
"Idioms, Proverbs & Cultural Expressions",Un hende sin pasenshi ta perde hopi.
"Idioms, Proverbs & Cultural Expressions",Laga kos ta pasa manera awa.
"Idioms, Proverbs & Cultural Expressions",Mi no por pone mi kabes riba dje.
"Idioms, Proverbs & Cultural Expressions",E ta bai dor di un periodico pa risibí e noticia.
"Idioms, Proverbs & Cultural Expressions","Ku mucha ta yora, hende ta weta."
"Idioms, Proverbs & Cultural Expressions",Bo no por stropi e kas despues di ora!
"Idioms, Proverbs & Cultural Expressions",Bati man pa un bon trato.
Question-Answer Pairs,Unda mi por haña un panaderia?
Question-Answer Pairs,Bo tin un rekomendashon pa un dokter?
Question-Answer Pairs,Kiko ta bo idea riba e situashon?
Question-Answer Pairs,Kon bo ta wak e futuro di e isla?
Question-Answer Pairs,Kiko nos por hasi pa mehorá?
Question-Answer Pairs,Bo por splika esaki un biaha mas?
Question-Answer Pairs,Kiko ta e razon patras di bo desishon?
