Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Kamuy itak an pe rusuy.
Grammar Core (Sentence Structures & Tenses),Eci-kari rusuy.
Grammar Core (Sentence Structures & Tenses),Ku=an pe itak ruwe ne.
Grammar Core (Sentence Structures & Tenses),Kara wa wa eaykap.
Grammar Core (Sentence Structures & Tenses),"Kunney kar wa, ku=kar."
Grammar Core (Sentence Structures & Tenses),Kamuy nep ka an.
Grammar Core (Sentence Structures & Tenses),Itak an ruwe ne.
Grammar Core (Sentence Structures & Tenses),Ku=kar kusu wa.
Grammar Core (Sentence Structures & Tenses),Kere wa wa ku=an.
Grammar Core (Sentence Structures & Tenses),Kanne ne ruwe ne.
Conversational Data (Real-Life Dialogues & Exchanges),"Irankarapte, e=okay?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ee, kamuy ceppesuy."
Conversational Data (Real-Life Dialogues & Exchanges),"Nispa, cise e=kar an?"
Conversational Data (Real-Life Dialogues & Exchanges),"A, wen kamuy wa!"
Conversational Data (Real-Life Dialogues & Exchanges),"Otan ne, itak=an."
Conversational Data (Real-Life Dialogues & Exchanges),Kamuy-nomi ta wa?
Conversational Data (Real-Life Dialogues & Exchanges),"E=ne, hemanta?"
Conversational Data (Real-Life Dialogues & Exchanges),"En wa, cimo-an."
Conversational Data (Real-Life Dialogues & Exchanges),Wakka kar an.
Conversational Data (Real-Life Dialogues & Exchanges),"Kompai, ikor an."
Code-Switching & Multilingualism,Kamuy bless ekimne ne.
Code-Switching & Multilingualism,"Arigatou, kamuy itak ka."
Code-Switching & Multilingualism,"Thank you, cise kar an."
Code-Switching & Multilingualism,Ku=kar homework kamuy itak de.
Code-Switching & Multilingualism,"Sensei, itak=an ne."
Code-Switching & Multilingualism,"I rankarapte, welcome."
Code-Switching & Multilingualism,"Sorry, ku=wen itak."
Code-Switching & Multilingualism,"Kamuy ne, doumo."
Code-Switching & Multilingualism,"Ku=han, today."
Code-Switching & Multilingualism,"On duty, cise an."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Kamuy itak, wen kar wa."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ku=kar doctor pe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Nusa itak, hecin."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ku=kar report ta.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","A=ne, cise e=kar."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ciw=kar contract.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nispa kar wa strategy.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kamuy-itak consultation ta.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ku=hosipi clinic.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kamuy an pe rule ne.
"Idioms, Proverbs & Cultural Expressions","Kamuy cepa an, shine kor an."
"Idioms, Proverbs & Cultural Expressions","Wakka an, inkar wa."
"Idioms, Proverbs & Cultural Expressions","Pirka usi, pirka somo."
"Idioms, Proverbs & Cultural Expressions",Kamuy cise e=kar.
"Idioms, Proverbs & Cultural Expressions","Ne upaskuma, ta ku=itak."
"Idioms, Proverbs & Cultural Expressions",Kamuy sine ne ruwe ne.
"Idioms, Proverbs & Cultural Expressions",Somo kamuy ta shine.
"Idioms, Proverbs & Cultural Expressions",Kar eci wa shine.
"Idioms, Proverbs & Cultural Expressions",An pe ruwe shine ne.
"Idioms, Proverbs & Cultural Expressions",Kopunte shine ku=an.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Kamuy nep an? A: Kamuy pirka.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Cise e=kar an? A: Ee, kar an."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Kamuy-nomi ta e=an? A: Ee.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: E=ne? A: Ee, e=ne."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ku=kar rusuy? A: Ee.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Pirka ka? A: Pirka.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Shine kor an? A: Shine somo.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Eaykap ka? A: Ee, eaykap."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Inkar an? A: Ee.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Kamuy an? A: Ee, kamuy an."
Commands & Instructions (Imperative Sentences),Cise e=kar!
Commands & Instructions (Imperative Sentences),Kamuy ta inkar!
Commands & Instructions (Imperative Sentences),Itak e=an!
Commands & Instructions (Imperative Sentences),Ciw=kar!
Commands & Instructions (Imperative Sentences),Ota wa.
Commands & Instructions (Imperative Sentences),Ne wa wa!
Commands & Instructions (Imperative Sentences),Ciw ka!
Commands & Instructions (Imperative Sentences),Eaykap!
Commands & Instructions (Imperative Sentences),Kamuy cise e=kar!
Commands & Instructions (Imperative Sentences),E=kar!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Sapporo ta cise an.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ainu Mosir ta shine kor an.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kamuy-nomi 2023 ni.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Nispa, Mr. Tanaka ne."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Hokkaido University ta wa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ikor ta August 9 ni.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",NPO Kamuy Upas.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Chitose ta wan pe.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kotan e=kar an.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Otaru wa culture ne.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ku=pirka an.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Somo ku=pirka.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wen pe an.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Pirka itak.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ku=wakka an wa pirka.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Cise kar an, ku=pirka."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Kamuy shine, wen."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ne pirka wa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Somo kamuy wa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ee, ku=pirka."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kamuy wa shine.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Shine an kamuy.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kamuy nep shine.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Shine kor an.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kamuy eaykap.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Eaykap kamuy an.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kamuy wa ne.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ne ruwe kamuy.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kamuy itak shine.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Itak wa shine kamuy.
