Categories,Sentences
Grammar Core (Sentence Structures & Tenses),E rogu irore.
Grammar Core (Sentence Structures & Tenses),Imedu rogu kedu.
Grammar Core (Sentence Structures & Tenses),E rogu tagu.
Grammar Core (Sentence Structures & Tenses),E rogu tagu ka.
Grammar Core (Sentence Structures & Tenses),E rogu boe.
Grammar Core (Sentence Structures & Tenses),E rogu kaddo.
Grammar Core (Sentence Structures & Tenses),E rogu pado.
Grammar Core (Sentence Structures & Tenses),Imedu rogu irore.
Grammar Core (Sentence Structures & Tenses),E rogu jure.
Grammar Core (Sentence Structures & Tenses),E rogu mugu.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Kai? B: Kai, e rogu irore."
Conversational Data (Real-Life Dialogues & Exchanges),A: Muga? B: E rogu tagu.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Irore? B: Irore, imedu rogu."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Kedori? B: Kedori, e boe."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Pado? B: Pado, e rogu."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Kure? B: Kure, e jure."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Mugu? B: Mugu, imedu rogu."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Tagu? B: Tagu ka, e rogu."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Boe? B: Boe, e rogu."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Iku? B: Iku, e rogu."
Code-Switching & Multilingualism,E rogu escola.
Code-Switching & Multilingualism,Imedu rogu hospital.
Code-Switching & Multilingualism,E rogu mercado.
Code-Switching & Multilingualism,E rogu projeto.
Code-Switching & Multilingualism,Imedu rogu sistema.
Code-Switching & Multilingualism,E rogu tecnologia.
Code-Switching & Multilingualism,E rogu internet.
Code-Switching & Multilingualism,Imedu rogu reunião.
Code-Switching & Multilingualism,E rogu documento.
Code-Switching & Multilingualism,E rogu relatório.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E rogu documento oficial.
