Categories,Sentences
Grammar Core,Ⲁⲓϣⲱⲡⲉ ⲙⲡⲣⲱⲙⲉ ⲙⲡⲉϩⲟⲟⲩ.
Grammar Core,Ⲡⲣⲱⲙⲉ ϣⲱⲡⲉ ⲛⲟⲩϣⲏⲣⲉ.
Grammar Core,Ⲛⲁϣⲱⲡⲉ ⲙⲡⲣⲱⲙⲉ ⲙⲡⲉϩⲟⲟⲩ ⲛⲉⲙⲟⲩ.
Grammar Core,"Ⲉⲣϣⲁⲛ ⲡⲣⲱⲙⲉ ϣⲱⲡⲉ, ⲁⲓⲣⲁϣⲓ."
Grammar Core,Ⲙⲡⲁⲓϣⲱⲡⲉ ⲛⲁϥ ⲙⲡⲉϩⲟⲟⲩ.
Grammar Core,Ⲁⲩϣⲱⲡⲉ ⲙⲡⲣⲱⲙⲉ ⲛϭⲓ ⲛⲉⲥⲛⲏⲩ.
Grammar Core,Ⲡⲉⲧⲣⲉϥϣⲱⲡⲉ ⲛⲁϥ ⲁϥⲣⲁϣⲓ.
Grammar Core,Ⲁⲓϫⲓ ⲙⲡⲥϩⲓⲙⲉ ⲙⲡⲉϩⲟⲟⲩ.
Grammar Core,Ⲙⲡⲉⲓⲣⲁϣⲓ ⲙⲡⲉⲛϩⲟⲟⲩ.
Grammar Core,Ⲁϥⲕⲱ ⲛⲁϥ ⲛⲟⲩⲙⲁ ⲛⲁϥ.
Conversational Data,Ⲟⲩ ⲡⲉⲕⲣⲁⲛ?
Conversational Data,Ⲡⲉⲛⲧⲁⲓ ⲡⲁⲓ.
Conversational Data,Ⲉⲕⲟⲩⲱϣ ⲛⲟⲩⲱⲛ?
Conversational Data,Ⲁⲛⲟⲕ ⲧⲁⲓ ⲛⲉ.
Conversational Data,Ⲙⲁⲣⲉⲛϩⲓⲥⲉ ⲛⲁⲓ.
Conversational Data,Ⲟⲩ ⲡⲉⲧⲉⲣⲉⲕϣⲁϫⲉ?
Conversational Data,Ⲉⲓⲥ ⲡⲉⲛⲧⲁⲓ ⲙⲙⲟⲓ.
Conversational Data,Ⲙⲡⲉⲕⲣⲁϣⲓ?
Conversational Data,Ⲛⲁⲛⲟⲩ ⲡⲉϩⲟⲟⲩ.
Conversational Data,Ⲡⲁⲓ ⲡⲉ ⲡⲉⲛⲧⲁⲛϩⲱⲃ.
Code-Switching & Multilingualism,Ⲁⲓⲥⲱⲧⲙ ⲛⲧⲉ news ⲙⲡⲉϩⲟⲟⲩ.
Code-Switching & Multilingualism,Ⲡⲣⲱⲙⲉ ⲉϥⲕⲁⲛ office.
Code-Switching & Multilingualism,Ⲁⲓⲙⲟⲩⲧⲉ ⲛⲁϥ ⲙⲡⲉ phone.
Code-Switching & Multilingualism,Ⲛⲁϥⲕⲁⲧⲁⲅⲣⲁⲫⲉ ⲛⲟⲩ report.
Code-Switching & Multilingualism,Ⲁⲓⲥⲟⲩⲛⲧⲉ ⲛⲧⲉ project ⲙⲡⲉϩⲟⲟⲩ.
Code-Switching & Multilingualism,Ⲡⲉϥⲙⲁ ⲡⲉ library.
Code-Switching & Multilingualism,Ⲁⲓϣⲱⲡⲉ meeting ⲛⲁϥ.
Code-Switching & Multilingualism,Ⲙⲡⲉϥⲣⲁϣⲓ ⲛⲧⲉ result.
Code-Switching & Multilingualism,Ⲛⲁⲓ ⲡⲉ system ⲉϥⲣⲱϣ.
Code-Switching & Multilingualism,Ⲁⲓϫⲓ ⲛⲟⲩ message ⲛⲁϥ.
Formal & Professional Speech,Ⲁⲛⲟⲕ ϯⲥⲟⲧⲙ ⲛⲧⲉ ⲡⲉⲕⲙⲉⲩⲓ.
Formal & Professional Speech,Ⲛⲁϥⲕⲁⲧⲁⲅⲣⲁⲫⲉ ⲛⲧⲉ ⲡⲉϥⲥϩⲁⲓ.
Formal & Professional Speech,Ⲡⲉⲛϣⲁϫⲉ ⲛⲁϥ ⲛⲉⲙ ⲧⲙⲉ.
Formal & Professional Speech,Ⲁⲓⲥⲱⲧⲙ ⲙⲡⲉϥⲗⲟⲅⲟⲥ.
Formal & Professional Speech,Ⲙⲁⲣⲉⲛⲣⲱⲙⲉ ⲛⲁϥ ⲛⲁⲛ.
Formal & Professional Speech,Ⲛⲁⲓ ⲡⲉ ⲡⲉⲛⲛⲟⲙⲟⲥ.
Formal & Professional Speech,Ⲡⲉⲕϩⲱⲃ ⲛⲁⲛ ⲉϥⲟⲩⲁⲁⲃ.
Formal & Professional Speech,Ⲁⲛⲟⲕ ϯⲣⲁϣⲓ ⲛⲧⲉ ⲡⲉⲕϩⲱⲃ.
Formal & Professional Speech,Ⲡⲉⲛⲙⲁ ⲛⲁⲛ ⲉϥⲧⲁⲓⲏⲟⲩⲧ.
Formal & Professional Speech,Ⲛⲁⲛⲟⲩ ⲡⲉ ⲡⲉⲕⲥⲟⲧⲙ.
"Idioms, Proverbs & Cultural Expressions",Ⲡⲉϥϩⲏⲧ ⲉϥⲟⲩⲁⲁⲃ.
"Idioms, Proverbs & Cultural Expressions",Ⲡⲉϥϩⲏⲧ ⲛⲁϥ ⲉϥⲙⲟⲕϩ.
"Idioms, Proverbs & Cultural Expressions",Ⲛⲁϥϣⲁϫⲉ ⲛⲧⲉ ⲡⲉϥϩⲏⲧ.
"Idioms, Proverbs & Cultural Expressions",Ⲡⲉϥⲥⲃⲱ ⲉϥⲣⲱϣ.
"Idioms, Proverbs & Cultural Expressions",Ⲡⲉϥⲙⲁ ⲉϥϫⲓⲟⲩ.
"Idioms, Proverbs & Cultural Expressions",Ⲁϥϣⲱⲡⲉ ⲛⲟⲩⲥⲟϭ.
"Idioms, Proverbs & Cultural Expressions",Ⲡⲉϥⲣⲁⲛ ⲉϥⲧⲁⲓⲏⲟⲩⲧ.
"Idioms, Proverbs & Cultural Expressions",Ⲁϥϯ ⲛⲟⲩϩⲏⲧ ⲛⲁϥ.
"Idioms, Proverbs & Cultural Expressions",Ⲡⲉϥϣⲁϫⲉ ⲉϥϫⲟⲟⲥ.
"Idioms, Proverbs & Cultural Expressions",Ⲡⲉϥⲙⲟⲩ ⲉϥⲥⲟⲧⲡ.
Question-Answer Pairs,Ⲟⲩ ⲡⲉ ⲡⲉϥⲣⲁⲛ? Ⲡⲉϥⲣⲁⲛ ⲡⲉ ⲡⲉⲧⲣⲟⲥ.
