Categories,Sentences
Grammar Core,Би өчигдөр хотод очоод найзтайгаа уулзаба.
Grammar Core,Тэр мүнөө гэртээ ном уншажа байна.
Grammar Core,Бид маргааш хуралдаанда оролсохобди.
Grammar Core,"Хэрбээ бороо оробол, бид гадаа гарахагүйбди."
Grammar Core,Би энэ ажал хэхэгүйб.
Grammar Core,Шэнэ байшан баригдажа байна.
Grammar Core,Тэд концерт хараад баярлаба.
Grammar Core,Би түрүүшын удаа морёор ябаба.
Grammar Core,Бид асуудалые хамтадаа шиидхэхэбди.
Grammar Core,"Тэр асуубал, би үнэн харюу үгэхэб."
Conversational Data,"— Сайн байна уу? — Сайн, ши ямархуу байнабши?"
Conversational Data,— Өнөөдөр хаашаа ябахамнай? — Театр руу ошохомнай.
Conversational Data,"— Энэ хоол амтатай гү? — Тиимэ, ехэ амтатай."
Conversational Data,"— Ши ажалаа дүүргээ гүш? — Үгы, үшөө дүүргээдүйб."
Conversational Data,— Хэзээ уулзахабди? — Орой зургаада уулзахабди.
Conversational Data,— Минии утас хаана байнаб? — Ширээн дээрэ байна.
Conversational Data,"— Ши надад туһалхаш? — Мэдээжэ, туһалхааб."
Conversational Data,— Энэ кино һонирхолтой гү? — Маш һонирхолтой.
Conversational Data,— Яагаад оройтобод? — Автобус хоцороо.
Conversational Data,— Баяртай! — Уулзатараа!
Code-Switching & Multilingualism,"Би meeting-дэ орожо, шэнэ проект тухай хэлсээб."
Code-Switching & Multilingualism,Энэ weekend-дэ бид Байгал руу ябахабди.
Code-Switching & Multilingualism,Тэр online-хичээлдэ бүридхүүлээ.
Code-Switching & Multilingualism,Би deadline-ээ мартааб.
Code-Switching & Multilingualism,Манай team шэнэ стратеги баталба.
Code-Switching & Multilingualism,Тэр презентаци хэхэдээ English хэрэглээ.
Code-Switching & Multilingualism,Би report-ээ маргааш эльгээхэб.
Code-Switching & Multilingualism,Энэ update ехэ хэрэгтэй байна.
Code-Switching & Multilingualism,Бид Zoom-ээр хуралдаба.
Code-Switching & Multilingualism,Тэр manager-тэй уулзаа.
Formal & Professional Speech,Танай мэдүүлгэ хуулиин ёһоор шалгагдажа байна.
Formal & Professional Speech,Эмшэн өвчтэндэ нарин үзлэг хээ.
Formal & Professional Speech,Гэрээ байгуулхын тула хоёр тала гар табиба.
Formal & Professional Speech,Энэ проект эдэй засагта нүлөө үзүүлнэ.
Formal & Professional Speech,Сургуулиин захирал албан ёһоор мэдээсэбэ.
Formal & Professional Speech,Техникын заабаритай танилсаха хэрэгтэй.
Formal & Professional Speech,Шалгалтын дүн маргааш толилогдохо.
Formal & Professional Speech,Санхүүгын тайлан баталагдаба.
Formal & Professional Speech,Комисси асуудалые шиидхэбэ.
Formal & Professional Speech,Судалгаанай үрэ дүн нийтлэгдээ.
"Idioms, Proverbs & Cultural Expressions",Хүнэй муу һайханиие саг харуулна.
"Idioms, Proverbs & Cultural Expressions",Нэгэ модоной сэсэг хавар болгодоггүй.
"Idioms, Proverbs & Cultural Expressions",Ажалай үрэ — амтатай.
