Category,Sentence
Grammar Core (Sentence Structures & Tenses),Ich habe gestern ein Buch gelesen.
Grammar Core (Sentence Structures & Tenses),Morgen werde ich ins Kino gehen.
Grammar Core (Sentence Structures & Tenses),"Wenn es regnet, bleibe ich zuhause."
Grammar Core (Sentence Structures & Tenses),Das Auto wurde von einem Mechaniker repariert.
Grammar Core (Sentence Structures & Tenses),"Hätte ich mehr Zeit, würde ich öfter reisen."
Grammar Core (Sentence Structures & Tenses),"Ich bin nicht sicher, ob sie kommt."
Grammar Core (Sentence Structures & Tenses),"Der Hund bellt laut, weil er Hunger hat."
Grammar Core (Sentence Structures & Tenses),"Wären wir früher losgefahren, wären wir pünktlich gewesen."
Grammar Core (Sentence Structures & Tenses),"Ich hatte gehofft, dass du mich anrufst."
Grammar Core (Sentence Structures & Tenses),"Nachdem er gegessen hatte, ging er schlafen."
Conversational Data (Real-Life Dialogues & Exchanges),Griaß di! Wia geht’s da?
Conversational Data (Real-Life Dialogues & Exchanges),Könnten Sie mir bitte den Weg zum Bahnhof erklären?
Conversational Data (Real-Life Dialogues & Exchanges),"I hob kan Plan, wos i heit kochen soll."
Conversational Data (Real-Life Dialogues & Exchanges),"Passt, treff ma uns um sechs beim Café."
Conversational Data (Real-Life Dialogues & Exchanges),Wos mochst du am Wochende?
Conversational Data (Real-Life Dialogues & Exchanges),"Jo, des Konzert war echt der Hammer!"
Conversational Data (Real-Life Dialogues & Exchanges),Darf i a Melange bitte hom?
Conversational Data (Real-Life Dialogues & Exchanges),Dein Hund is echt süß! Wia hoast er?
Conversational Data (Real-Life Dialogues & Exchanges),Hast eh an Regenschirm mit? Es schaut nach Regen aus.
Conversational Data (Real-Life Dialogues & Exchanges),"Na, heut is net mei Tog..."
Code-Switching & Multilingualism,"Ich muss das Meeting canceln, weil ich krank bin."
Code-Switching & Multilingualism,Hast du das neue Update schon installed?
Code-Switching & Multilingualism,Er hat voll das awkward Verhalten ghabt.
Code-Switching & Multilingualism,Das war so ein random Moment!
Code-Switching & Multilingualism,I bin komplett lost in dem neuen System.
Code-Switching & Multilingualism,Kannst du mir schnell das PDF forwarden?
Code-Switching & Multilingualism,"Jo, des war a richtig crazy Idee!"
Code-Switching & Multilingualism,Lass uns den Text einfach copy-pasten.
Code-Switching & Multilingualism,I brauch unbedingt an Shortcut für des Programm.
Code-Switching & Multilingualism,"Des Feature is echt useless, oder?"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Sehr geehrte Damen und Herren, ich möchte mich für die Position bewerben."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Bitte beachten Sie, dass Ihre Zahlung bis zum 15. fällig ist."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",In der heutigen Konferenz besprechen wir die neuen Geschäftszahlen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Es ist essenziell, dass Patienten regelmäßig ihre Medikamente einnehmen."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Laut den neuesten Forschungsergebnissen verbessert Sport die Gesundheit.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Die Analyse zeigt, dass der Markt stabil bleibt."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ich werde die Unterlagen zur weiteren Bearbeitung weiterleiten.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Vielen Dank für Ihre Anfrage. Wir melden uns in Kürze.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Wir bitten Sie, die AGB sorgfältig zu lesen."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Die OP verlief erfolgreich und der Patient befindet sich in gutem Zustand.
"Idioms, Proverbs & Cultural Expressions",Des passt wie die Faust aufs Aug.
"Idioms, Proverbs & Cultural Expressions",Er hat an langen Löffel.
"Idioms, Proverbs & Cultural Expressions",Mir san net aus Zucker!
"Idioms, Proverbs & Cultural Expressions","Wer nid geht, der nid gewinnt."
"Idioms, Proverbs & Cultural Expressions",Der Apfel fällt ned weit vom Stamm.
"Idioms, Proverbs & Cultural Expressions",Auf an alten Gaul lernt ma keine neuen Tricks.
"Idioms, Proverbs & Cultural Expressions","Es is net ois Gold, wos glänzt."
"Idioms, Proverbs & Cultural Expressions",Der frühe Vogel fängt den Wurm.
"Idioms, Proverbs & Cultural Expressions",Hinterm Berg hält man sich für klüger.
"Idioms, Proverbs & Cultural Expressions","Kumma Zeit, kumman Rat."
Question-Answer Pairs (FAQ & Contextual Understanding),Wia spät is es? – Es is viertel nach sieben.
Question-Answer Pairs (FAQ & Contextual Understanding),Wo gibt’s die besten Schnitzel in Wien? – Im Figlmüller.
Question-Answer Pairs (FAQ & Contextual Understanding),Wia lang dauert’s bis zum Flughafen? – Ungefähr 20 Minuten mit dem Zug.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kannst du mir helfen? – Jo, sicher!"
Question-Answer Pairs (FAQ & Contextual Understanding),Wos is des für a Sprache? – Des is Österreichisches Deutsch.
Question-Answer Pairs (FAQ & Contextual Understanding),"Is des Wetter morgen schön? – Laut Prognose, jo!"
Question-Answer Pairs (FAQ & Contextual Understanding),"Mochst du Sport? – Jo, i geh oft wandern."
Question-Answer Pairs (FAQ & Contextual Understanding),"Hobst du des Konzert gestern gsehen? – Jo, des war a Wahnsinn!"
Question-Answer Pairs (FAQ & Contextual Understanding),Wos kost der Eintritt? – 10 Euro.
Question-Answer Pairs (FAQ & Contextual Understanding),"Hast an Hund? – Jo, er hoast Max."
Commands & Instructions (Imperative Sentences),Setz di her und entspann di!
Commands & Instructions (Imperative Sentences),Bitte gib mir den Zucker.
Commands & Instructions (Imperative Sentences),"Schau net so bled, hilf mir lieber!"
Commands & Instructions (Imperative Sentences),"Komm glei her, wennst Zeit host."
