Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"Ngài ngit ngit su̍k, ngi yit lau hok ngien."
Grammar Core (Sentence Structures & Tenses),"Ngài yong fa sung, ngài zong mo yong to."
Grammar Core (Sentence Structures & Tenses),"Ngài mien loi ko, ngi ngit loi zoi gien."
Grammar Core (Sentence Structures & Tenses),"Ngài toi m mien hok, ngi yong to mo zoi zoi."
Grammar Core (Sentence Structures & Tenses),"Ngài si ha̍k-zi, ngi ha̍k-sang zong to yin."
Grammar Core (Sentence Structures & Tenses),"Ngài m zong to, ngi ko m to m biang."
Grammar Core (Sentence Structures & Tenses),Ngài zong to ha̍k-zi loi hok ngien.
Grammar Core (Sentence Structures & Tenses),"Ngài m si yin, ngi zong si hak-sang."
Grammar Core (Sentence Structures & Tenses),"Ngài goi zoi ngit ngien, ngi ngit si toi gien."
Grammar Core (Sentence Structures & Tenses),"Ngài ha̍k su, ngi si ha̍k-zi."
Conversational Data (Real-Life Dialogues & Exchanges),"A-Yin, ngi ho ma?"
Conversational Data (Real-Life Dialogues & Exchanges),Ngai gong ngi he̍n m lieng.
Conversational Data (Real-Life Dialogues & Exchanges),Ngi loi ha mien?
Conversational Data (Real-Life Dialogues & Exchanges),Ngai yit loi bazar mai cai.
Conversational Data (Real-Life Dialogues & Exchanges),"Oi, ngi ngit gin lai cha m?"
Conversational Data (Real-Life Dialogues & Exchanges),Ngai ha̍k-zi loi hok su zoi.
Conversational Data (Real-Life Dialogues & Exchanges),"A-Ming, ngi yong to fan m?"
Conversational Data (Real-Life Dialogues & Exchanges),Ngai loi ngit he̍n suai di hak-ngien.
Conversational Data (Real-Life Dialogues & Exchanges),Ngai ngit loi yin-gien zoi hak-hau.
Conversational Data (Real-Life Dialogues & Exchanges),"Ngi ho loi, ngai yit loi ngit fa."
Code-Switching & Multilingualism,"Ngai gong Hakka, but ngai oi English li."
Code-Switching & Multilingualism,"Ngai zoi bazar, zong speak Mandarin ka seller."
Code-Switching & Multilingualism,"That one m guang, ngai ai another one."
Code-Switching & Multilingualism,Ngai m zong understand ni hua m.
Code-Switching & Multilingualism,Ngi oi mix Hakka ka Mandarin li ho.
Code-Switching & Multilingualism,Ngai gong Hakka ka Cantonese all day long.
Code-Switching & Multilingualism,English m si ngai ke strong language.
Code-Switching & Multilingualism,"Ngai si bilingual, ngai oi translate li."
Code-Switching & Multilingualism,Ngai oi code-switch when ngai talk.
Code-Switching & Multilingualism,Sometimes ngai English si better than Hakka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngai zong loi yi-hoi hok-hau su conference.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngai oi zoi meeting zoi discuss project.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngai m ho yong informal words zoi report.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hak-sang zoi fa company loi internship.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Ngai zong si medical assistant, ngai hoi guan li patient."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngai oi zoi email zoi send legal documents.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Zoi business, courtesy si he̍n important."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Technical report oi biang formal ka precise.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngai zoi factory guan li workers daily.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Zoi negotiation, ngi oi maintain calm ka respect."
"Idioms, Proverbs & Cultural Expressions","Ngai gong 'ngit yam su', si gong lazy person."
"Idioms, Proverbs & Cultural Expressions","‘Loi ngit ho, lai ngit m ho’ si gong uncertain life."
"Idioms, Proverbs & Cultural Expressions","‘Sang-yit zoi, ngit-yit si’ si gong ups ka downs."
"Idioms, Proverbs & Cultural Expressions","‘Gong zoi ti, ngit zoi su’ si gong patience."
"Idioms, Proverbs & Cultural Expressions","‘Toi ngit loi ha, ngit loi ho’ si gong humility."
"Idioms, Proverbs & Cultural Expressions","‘Hok su ho, su hok ngit’ si gong learn everyday."
"Idioms, Proverbs & Cultural Expressions","‘M biang ngit, m fa yin’ si gong persistence."
"Idioms, Proverbs & Cultural Expressions","‘Sang sang su, ngit ngit hok’ si gong diligence."
"Idioms, Proverbs & Cultural Expressions","‘Ha̍k-zi zoi, yin zong to’ si gong respect teachers."
"Idioms, Proverbs & Cultural Expressions",‘Ngit fa ngit si’ si gong keep learning.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Ngi ho ma? A: Ngai ho, toi ngi?"
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ngi loi bien ha? A: Ngai loi bazar.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ngi ai cha m? A: Ngai ai oolong cha.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ngi m guang ngit? A: Ngai si guang ngit.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ngi oi fa ngit? A: Ngai oi fa hak su.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Ngi si ha̍k-zi ma? A: Hai, ngai si ha̍k-zi."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ngi loi yin-gien? A: Ngai loi hak-hau.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Ngi yong computer m? A: Hai, ngai yong to."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ngi ngit fa yin? A: Ngai zong fa research.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Ngi oi mai cai? A: Hai, ngai loi bazar."
Commands & Instructions (Imperative Sentences),Mai loi zoi!
Commands & Instructions (Imperative Sentences),Ngit loi hok su.
Commands & Instructions (Imperative Sentences),Gong ha̍k-zi ho yin.
Commands & Instructions (Imperative Sentences),Zoi zong zoi fa report.
Commands & Instructions (Imperative Sentences),Mo zong gong li!
Commands & Instructions (Imperative Sentences),"Ha̍k su ha̍k su, m zong si fa."
Commands & Instructions (Imperative Sentences),Guang ngit loi!
Commands & Instructions (Imperative Sentences),Mai gong lai!
Commands & Instructions (Imperative Sentences),Mien ha lai!
Commands & Instructions (Imperative Sentences),Oi yong pen zoi su.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ngai loi Meizhou ngit ngien.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ngai ha̍k-zi si A-Ming.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Zoi 2024 ngit ngien, ngai zong hok su."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",China oi host conference.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Zoi Hong Kong, zong ho restaurant."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A-Yin oi zoi company work.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Zoi Beijing, temperature he̍n di."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",January oi cold ka windy.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A-Ming ka A-Lan oi mai cai.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Hakka language si guang worldwide.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngai he̍n ho sim yin zoi he̍n ngien.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ngai m ho, ngai m biang zai."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngai oi zoi ho sim hok su.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngai he̍n ngoi A-Ming.
