Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Noya’t pajroñcheñ mats’ñanñe.
Grammar Core (Sentence Structures & Tenses),Pajroñcheñ meñeteñ amats’ñanñe.
Grammar Core (Sentence Structures & Tenses),Yopayeñ pa’tsoñcheñ oyaneñ.
Grammar Core (Sentence Structures & Tenses),Atsañcheñ neñeñte oyamats’ñanñe.
Grammar Core (Sentence Structures & Tenses),Noya’t pajroñcheñ oyasoyamets.
Grammar Core (Sentence Structures & Tenses),Mats’ñanñe oyaneñ pajroñcheñcha.
Grammar Core (Sentence Structures & Tenses),Pa’tsoñcheñ yopa’tsoñcheñ neñets.
Grammar Core (Sentence Structures & Tenses),Oyaneñ pajroñcheñ oyamets.
Grammar Core (Sentence Structures & Tenses),Mets’ oyasoyañcheñ neñets.
Grammar Core (Sentence Structures & Tenses),Noya’t amats’ñanñe oyatsañcheñ.
Conversational Data (Real-Life Dialogues & Exchanges),"Tsaña’tña, oyemets?"
Conversational Data (Real-Life Dialogues & Exchanges),"Yo’tsa’tña, tsaneñ oyaneñ."
Conversational Data (Real-Life Dialogues & Exchanges),"Amiña’tña, pa’ñets oyaneñ?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ño’tsa’tña, atso’mets oyaneñ."
Conversational Data (Real-Life Dialogues & Exchanges),"Mats’ñanñe, tsanets oyemets?"
Conversational Data (Real-Life Dialogues & Exchanges),"Oyemets, pa’tsoñcheñ oyaneñ."
Conversational Data (Real-Life Dialogues & Exchanges),"Ñame’tña, oyemets oyaneñ."
Conversational Data (Real-Life Dialogues & Exchanges),"Tsaña’tña, metsa’ñets oyaneñ."
Conversational Data (Real-Life Dialogues & Exchanges),"Yo’tsa’tña, poyanets oyemets."
Conversational Data (Real-Life Dialogues & Exchanges),"Ño’tsa’tña, oyemets amats’ñanñe."
Code-Switching & Multilingualism,Mats’ñanñe oyaneñ con mi familia.
Code-Switching & Multilingualism,Yo’tsa’tña voy al mercado oyaneñ.
Code-Switching & Multilingualism,Tsaña’tña oyemets mañana at school.
Code-Switching & Multilingualism,Pa’tsoñcheñ oyaneñ después del trabajo.
Code-Switching & Multilingualism,Ñame’tña oyemets con los amigos.
Code-Switching & Multilingualism,Yopayeñ oyamets in the afternoon.
Code-Switching & Multilingualism,Noya’t oyaneñ en casa oyamets.
Code-Switching & Multilingualism,Atsañcheñ oyemets para estudiar.
Code-Switching & Multilingualism,Oyaneñ oyemets por la noche.
Code-Switching & Multilingualism,Mats’ñanñe oyaneñ y regreso mañana.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ño’tsa’tña oyemets aña oyapayeñ neñets.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pajroñcheñ oyaneñ oyatsañcheñ pa’ñets.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Oyaneñ oyemets atso’mets pajroñcheñ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ñame’tña oyemets pajroñcheñ oyaneñ oyametsch.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yopayeñ oyemets oyamets aña oyaneñ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pa’tsoñcheñ oyaneñ oyemets oyapayeñ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mats’ñanñe oyamets oyaneñ oyemets.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Oyemets oyaneñ oyapayeñ oyaneñ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Aña oyaneñ oyemets oyapayeñ pajroñcheñ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ño’tsa’tña oyemets oyaneñ oyapayeñ oyamets.
"Idioms, Proverbs & Cultural Expressions",Yopayeñ oyamets nora’ñets yomañets.
"Idioms, Proverbs & Cultural Expressions",Mats’ñanñe oyaneñ ñame’tña oyemets.
"Idioms, Proverbs & Cultural Expressions",Oyaneñ oyamets yopa’tsoñcheñ oyemets.
"Idioms, Proverbs & Cultural Expressions",Ñame’tña oyemets oyaneñ yopa’tsoñcheñ pajroñcheñ.
"Idioms, Proverbs & Cultural Expressions",Oyemets oyaneñ yomañets pajroñcheñ.
"Idioms, Proverbs & Cultural Expressions",Pa’tsoñcheñ oyaneñ oyemets oyamets.
"Idioms, Proverbs & Cultural Expressions",Noya’t oyaneñ oyemets oyatsañcheñ.
"Idioms, Proverbs & Cultural Expressions",Mats’ñanñe oyaneñ oyamets oyaneñ.
"Idioms, Proverbs & Cultural Expressions",Atsañcheñ oyemets oyaneñ oyapayeñ.
"Idioms, Proverbs & Cultural Expressions",Ño’tsa’tña oyemets oyaneñ oyatsañcheñ.
Question-Answer Pairs (FAQ & Contextual Understanding),"Tsaña’tña, oyemets amats’ñanñe? – Oyemets, noya’t pajroñcheñ."
Question-Answer Pairs (FAQ & Contextual Understanding),"Yo’tsa’tña, atso’mets oyaneñ? – Atsañcheñ oyaneñ pajroñcheñ."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ño’tsa’tña, oyemets oyamets? – Oyemets pajroñcheñ oyaneñ."
Question-Answer Pairs (FAQ & Contextual Understanding),"Amiña’tña, oyemets oyaneñ? – Oyemets oyaneñ yopa’tsoñcheñ."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ñame’tña, oyemets oyaneñ? – Oyaneñ oyemets pajroñcheñ."
Question-Answer Pairs (FAQ & Contextual Understanding),"Tsaña’tña, oyemets oyapayeñ? – Oyemets oyaneñ oyapayeñ."
Question-Answer Pairs (FAQ & Contextual Understanding),Pa’tsoñcheñ oyaneñ oyemets? – Oyemets oyaneñ oyapayeñ.
Question-Answer Pairs (FAQ & Contextual Understanding),Yopayeñ oyemets oyaneñ? – Oyemets oyaneñ oyatsañcheñ.
Question-Answer Pairs (FAQ & Contextual Understanding),Mats’ñanñe oyemets oyaneñ? – Oyaneñ oyamets oyaneñ.
Question-Answer Pairs (FAQ & Contextual Understanding),Ñame’tña oyemets oyaneñ? – Oyemets oyaneñ oyamets.
Commands & Instructions (Imperative Sentences),Noya’t oyaneñch!
Commands & Instructions (Imperative Sentences),Atsañcheñ oyemetsch!
Commands & Instructions (Imperative Sentences),Pa’tsoñcheñ oyaneñch!
Commands & Instructions (Imperative Sentences),Yopayeñ oyemetsch!
Commands & Instructions (Imperative Sentences),Ñame’tña oyaneñch!
Commands & Instructions (Imperative Sentences),Oyemets oyaneñch!
Commands & Instructions (Imperative Sentences),Mats’ñanñe oyametsch!
Commands & Instructions (Imperative Sentences),Tsaña’tña oyaneñch!
Commands & Instructions (Imperative Sentences),Ño’tsa’tña oyemetsch!
Commands & Instructions (Imperative Sentences),Amiña’tña oyaneñch!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Pablo oyemets oyaneñ Oxapampa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",María oyaneñ oyemets Cerro de Pasco.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Don Pedro oyamets oyaneñ Yanesha’ Ashaninka Park.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Rosa oyaneñ oyamets Villa Rica.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ñame’tña oyemets oyaneñ Perú.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tsaña’tña oyemets oyaneñ Lima.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Amiña’tña oyemets oyaneñ Palcazú.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Yopayeñ oyamets oyaneñ San Ramón.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Pajroñcheñ oyaneñ oyemets Chontabamba.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ño’tsa’tña oyemets oyaneñ Pasco.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Noya’t oyaneñ oyemets joyats.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Oyaneñ oyamets oyemets tsanets.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Pajroñcheñ oyaneñ oyemets yomañets.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ñame’tña oyemets oyaneñ oyatsañcheñ joyats.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mats’ñanñe oyamets oyaneñ tsanets.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Atsañcheñ oyaneñ oyamets oyatsañcheñ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Yopayeñ oyaneñ oyemets joyats.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Pa’tsoñcheñ oyaneñ oyamets tsanets.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Oyemets oyaneñ oyamets yomañets.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ño’tsa’tña oyaneñ oyemets oyamets joyats.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mats’ñanñe oyaneñ oyemets.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Oyaneñ oyemets mats’ñanñe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Oyemets mats’ñanñe oyaneñ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Noya’t oyaneñ oyemets pajroñcheñ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Pajroñcheñ oyaneñ oyamets.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Atsañcheñ oyamets oyaneñ pajroñcheñ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Pa’tsoñcheñ oyemets oyaneñ oyamets.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yopayeñ oyamets oyaneñ oyemets.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ñame’tña oyaneñ oyamets pajroñcheñ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ño’tsa’tña oyamets oyaneñ oyamets.
