Categories,Sentences
1. Grammar Core (Sentence Structures & Tenses),Ме быд лун гижӧ Коми-Пермяцкӧй газет понда выль гижӧт.
1. Grammar Core (Sentence Structures & Tenses),Тӧрыт нывка лыддис небӧг да гижис учительлысь юалӧмсӧ.
1. Grammar Core (Sentence Structures & Tenses),"Чойӧ аски мунӧ Кудымкарӧ, кӧ луныс лоӧ мича."
1. Grammar Core (Sentence Structures & Tenses),"Миян семья вӧлі бы ветлыны ю вылӧ, но зэр кутчис."
1. Grammar Core (Sentence Structures & Tenses),"Ме ог тӧд, мыля сія талун эз лок."
1. Grammar Core (Sentence Structures & Tenses),"Кӧ тэ водзжык вӧлі юалӧма, ме эськӧ отсалі."
1. Grammar Core (Sentence Structures & Tenses),Керкуыс стрӧитсьӧ выль проект сьӧрті.
1. Grammar Core (Sentence Structures & Tenses),"Письмӧыс нин гижӧма, но на эз ыстыны."
1. Grammar Core (Sentence Structures & Tenses),"Пуктӧй уджсӧ помӧдз, сэсся верманны шойччыны."
1. Grammar Core (Sentence Structures & Tenses),"Сія шуис, мый локтан воын кутас велӧтчыны Пермын."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Бур лун, Марина, кыдз тэ олан? — Бура, аттьӧ, а тэ?"
2. Conversational Data (Real-Life Dialogues & Exchanges),— Кытӧн автобусыс? — Сія магазин дорын сулалӧ.
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Тэ нин сёйин? — Эз на, ӧні кухняӧ мунӧ."
2. Conversational Data (Real-Life Dialogues & Exchanges),— Мый тэнӧн талун керны? — Удж бӧрын ёртъяс дорӧ ветла.
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Позьӧ меным тайӧ небӧгсӧ босьтны? — Позьӧ, только бӧр вай."
2. Conversational Data (Real-Life Dialogues & Exchanges),— Мыля тэ сэкым сёрӧн локтін? — Машинаыс туй вылын жугаліс.
2. Conversational Data (Real-Life Dialogues & Exchanges),— Кымын часын кездӧм? — Квайт часын клуб дорын.
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Мам, ме ывлаӧ петӧ! — Шоныт паськӧм пасьталӧ."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Тэ чай али кофе юан? — Чай, сахар тӧг."
2. Conversational Data (Real-Life Dialogues & Exchanges),"— Аддзисьлытӧдз! — Бур туй, ассьӧдӧн ветлы!"
3. Code-Switching & Multilingualism,Ме чатӧ гижи: «Талун meeting лоӧ кык часын».
3. Code-Switching & Multilingualism,Бабушка шуис: «Телефонсӧ зарядка вылӧ пуктӧ».
3. Code-Switching & Multilingualism,Миян офисын коллега юаліс: «Отчёт готов али на?»
3. Code-Switching & Multilingualism,Автобусын водитель горӧтіс: «Следующая остановка — Кудымкар центр».
3. Code-Switching & Multilingualism,"Нывка магазинӧ пырис да шуис: «Меным, пожалуйста, кык пирӧг»."
3. Code-Switching & Multilingualism,"Учитель доска вылӧ гижис new words, а миян сійӧ Коми-Пермяцкӧйӧн вуджӧтім."
3. Code-Switching & Multilingualism,Ёртӧ меным message ыстіс: «Не забудь билетсӧ».
3. Code-Switching & Multilingualism,Ме приложениесӧ восьті да «Обновить» кнопкасӧ лички.
3. Code-Switching & Multilingualism,"Врач шуис, мый анализъяс okay, но режимсӧ колӧ видзны."
3. Code-Switching & Multilingualism,"Керкуын ми Коми-Пермяцкӧйӧн сёрнитам, а университетын еджыдджык русскӧйӧн."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Юрӧтӧмъяс сьӧрті заявлениесӧ колӧ сетны мартӧдз.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)","Организация юӧрті, мый договорыс пырӧ вынӧ август ӧти лунсянь."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)","Пациентлысь температураыс кыптіс, сійӧн врач индӧм лекарствосӧ колӧ босьтны график сьӧрті."
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Суд видзӧтанӧ босьтіс кыкнан боксянь сетӧм документъяссӧ.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Инженеръяс проверитісӧ системаыслысь безопасностьсӧ да лӧсьӧтісӧ техническӧй отчёт.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Клиентлы колӧ официальнӧя юӧртны услуга сьӧрті условиеяс вежсьӧм йылысь.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Совещание вылын директор юкліс могъяссӧ отделъяс костын.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Лабораторияын материалсӧ видзӧны индӧм температураын.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Банк видзӧтіс анкетаын сетӧм юӧрсӧ да подтвердитіс заявкасӧ.
"4. Formal & Professional Speech (Business, Legal, Medical, Technical)",Администрация корас гражданаӧс ас кадӧ локны приём вылӧ.
"5. Idioms, Proverbs & Cultural Expressions",Уджтӧг нянь оз чуж.
"5. Idioms, Proverbs & Cultural Expressions",Кык киӧн уджыс кокниджык.
"5. Idioms, Proverbs & Cultural Expressions",Бур кыв йӧзӧс матӧтӧ.
