Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Мин хакас тілін кӱн сайын ӱгренчем.
Grammar Core (Sentence Structures & Tenses),Син пичікті хычырчазың ба?
Grammar Core (Sentence Structures & Tenses),Ол иртен Абаканзар парған.
Grammar Core (Sentence Structures & Tenses),Піс хада музейге килербіс.
Grammar Core (Sentence Structures & Tenses),Сілер сағыс чоохтапчазар.
Grammar Core (Sentence Structures & Tenses),Олар хысхыда тайғада тоғынғаннар.
Grammar Core (Sentence Structures & Tenses),"Наңмыр чаарға итче, аннаңар чол хомай полар."
Grammar Core (Sentence Structures & Tenses),Пу документ чазылып парған.
Grammar Core (Sentence Structures & Tenses),"Син ирте килзең, піс хомай чабалға тӱспеспіс."
Grammar Core (Sentence Structures & Tenses),Хакас сӧзі умытылбас.
Conversational Data (Real-Life Dialogues & Exchanges),"— Изен, синің киректерің хайди парча? — Чахсы, алғыстапчам."
Conversational Data (Real-Life Dialogues & Exchanges),— Пӱгін хайда парчазың? — Мин кітапханаға парчам.
Conversational Data (Real-Life Dialogues & Exchanges),"— Чай ішерзің ме? — Ічербін, хара суғ да пир."
Conversational Data (Real-Life Dialogues & Exchanges),— Хараазын тоғасчабыс па? — Паза тоғасханча.
Conversational Data (Real-Life Dialogues & Exchanges),"— Син пичік хычырдың ма? — Хычырдым, алайда толдыра пілбедім."
Conversational Data (Real-Life Dialogues & Exchanges),— Адайың хайда? — Ол чазыда ойнопча.
Conversational Data (Real-Life Dialogues & Exchanges),"— Иирде наңмыр чаар ба? — Пулут кӧп, чаарға итче."
Conversational Data (Real-Life Dialogues & Exchanges),"— Кем телефон итті? — Айдана итті, ол пӱгін ирте турған."
Conversational Data (Real-Life Dialogues & Exchanges),"— Кӧмек кирек пе? — Кирек, пыром тастанар."
Conversational Data (Real-Life Dialogues & Exchanges),"— Пӱгін хомай полдың ма? — Чох, мин чахсы полчам."
Code-Switching & Multilingualism,Мин пӱгін online-сабахта хакас тілін ӱгренчем.
