Category,Sentence
Grammar Core (Sentence Structures & Tenses),Ὁ ἀνήρ τὸν ἄρτον ἔφαγεν.
Grammar Core (Sentence Structures & Tenses),Ὁ παῖς ἐν τῇ ἀγορᾷ ἐστι.
Grammar Core (Sentence Structures & Tenses),Ἡ γυνὴ τὸ βιβλίον ἀναγνώσεται.
Grammar Core (Sentence Structures & Tenses),"Εἰ ὁ διδάσκαλος ἤρχετο, οἱ παῖδες ἐμανθάνον."
Grammar Core (Sentence Structures & Tenses),"Μὴ φοβοῦ, ὁ θεὸς σε σῴσει."
Grammar Core (Sentence Structures & Tenses),Τὰ γράμματα ὑπὸ τοῦ δούλου ἐγράφησαν.
Grammar Core (Sentence Structures & Tenses),Οἱ ἀγαθοὶ ἄνδρες τὸ δίκαιον ποιοῦσι.
Grammar Core (Sentence Structures & Tenses),Ἔξεστιν ἡμῖν εἰπεῖν τὴν ἀλήθειαν.
Grammar Core (Sentence Structures & Tenses),Ἡ πόλις κατεστράφη ὑπὸ τῶν πολεμίων.
Grammar Core (Sentence Structures & Tenses),Ἔσται ποτὲ εἰρήνη ἐν τῇ γῇ.
Conversational Data (Real-Life Dialogues & Exchanges),Χαῖρε! Πῶς ἔχεις;
Conversational Data (Real-Life Dialogues & Exchanges),"Καλῶς εἰμί, σὺ δέ;"
Conversational Data (Real-Life Dialogues & Exchanges),Ποῦ ἐστιν ἡ βιβλιοθήκη;
Conversational Data (Real-Life Dialogues & Exchanges),Ἐν τῷ μέσῳ τῆς πόλεως.
Conversational Data (Real-Life Dialogues & Exchanges),Τί ἐστι τοῦτο;
Conversational Data (Real-Life Dialogues & Exchanges),Τοῦτο ἐστιν βιβλίον φιλοσοφίας.
Conversational Data (Real-Life Dialogues & Exchanges),Θέλεις ἐλθεῖν μετ’ ἐμοῦ εἰς τὸ θέατρον;
Conversational Data (Real-Life Dialogues & Exchanges),"Ναί, χαίρων ἔρχομαι!"
Conversational Data (Real-Life Dialogues & Exchanges),Διατί ὑμεῖς ὀψὲ ἥκετε;
Conversational Data (Real-Life Dialogues & Exchanges),"Συγγνώμην, ὁ ὁδὸς ἦν πολύς."
