Categories,Sentences
Ikdīna un sāta,"Rūtā vacōmāte uzvōreja pīnu ar auzom, kab bārni varātu sōkt dīnu ar siltu maltīti."
Ikdīna un sāta,"Pi lodža stōveja māla pučs, kurā pavasarī izplauka sīki, bolti zīdi."
Ikdīna un sāta,"Tāvs pīlaboja dārzā salauzto vōrtu, jo vakarā byus jālaiž īkšā gūvis."
Ikdīna un sāta,"Māsa sakōrtoja školas somu jau vakarā, lai rītā nav jāmeklē burtnīcas."
Ikdīna un sāta,"Virtuvē smaržōja svaigi cepta maize, un vysa sāta palyka klusōka."
Ikdīna un sāta,"Puika nūslaucieja slapjūs zōbakus, pirms īgōja istobā pi krōsns."
Ikdīna un sāta,"Kaimeņī vakarā sanōca pagolmā, lai apsprīstu, kas pīsvītrs talkai sastaudīs grābekļus."
Ikdīna un sāta,"Senču skapis glabōja linu palagus, kas tyka austī vāl prīškara laikūs."
Ikdīna un sāta,"Pēc garas dorba dīnas saiminīce apsādōja pie golda vysus, kas byja pīlīguši siena vāšonā."
Ikdīna un sāta,"Kaķis klusi gulieja uz palūdzes un vēroja, kai līts skaita pilīnus uz stykla."
Izgleiteiba un pītnīceiba,"Studenti salīdzinōja divu izlokšņu vārdus, lai saprastu, kai mainās patskaņi dažaidūs nūvodūs."
Izgleiteiba un pītnīceiba,"Skolōtuoja pierakstieja uz tāfeles piemērus, kas pamaļim skaidrōja lociejumu sistēmu."
Izgleiteiba un pītnīceiba,Bibliotekāre atrada retu grōmotu par Latgolas drukas vēsturi un īdeva tū jaunam pētnīkam.
Izgleiteiba un pītnīceiba,"Seminarā klausātuoji vērtieja, vai mašyntulkojums saglobō teksta nūskaņu."
Izgleiteiba un pītnīceiba,"Meitine veidoja kartītes ar jaunum vārdim, lai katru vokoru atkōrtōtu gramatiskūs lykumus."
Izgleiteiba un pītnīceiba,Universitates laboratorijā tika sagatavots mazs korpuss ar atzeimietom vardu formom.
Izgleiteiba un pītnīceiba,"Pītnīks analizēja teikumus bez pieturzīmēm, lai pōrbaudītu modeļa iztureibu pret troksni."
Izgleiteiba un pītnīceiba,Skolas avīzē jaunī autori publicēja īsu rakstu par dzimtōs volūdas prestižu.
Izgleiteiba un pītnīceiba,"Diskusijā studenti sprīda par tū, voi dialektu dati var palīdzēt radēt taisneigōkus algoritmus."
Izgleiteiba un pītnīceiba,"Pasniedzējs lyudze izskaidrot katru kļūdu, jo akla lobuošona nepalīdz īguvēt saprašonu."
Tehnologejis un digitōlī reiki,Jaunō lietūtne pazeist Latgalīšu tekstu un pīdovō autoram vairākus pareizraksteibas padūmus.
Tehnologejis un digitōlī reiki,"Serveris apstrōdōja tūksnīšim teikumu, bet administratore vēroja, lai nepaliktu dublātu."
Tehnologejis un digitōlī reiki,"Balss asistents napareizi saprata vōrdu ar garū patskani, tāpēc komanda tika izpildeita par vēlu."
Tehnologejis un digitōlī reiki,"Programmātōjs uzrakstieja skriptu, kas sadala tekstu teikumūs un saglobō metadatus."
Tehnologejis un digitōlī reiki,"Digitōlajā vārdneicā katram leksēmam pīvīnuoja izrunu, piemērus un lociejumu tabulu."
Tehnologejis un digitōlī reiki,"Modelis labōk strōdōja pēc tam, kad apmōceibā tika iekļauti lauku sarunu fragmenti."
Tehnologejis un digitōlī reiki,Atvārtō koda reiks ļāva skolōnim izveidot savu mazu morfologejiskū analizatoru.
Tehnologejis un digitōlī reiki,Arhivāru komanda skenēja vecus laikrokstus un rūpeigi pōrbaudeja katru atpazeitū burtu.
Tehnologejis un digitōlī reiki,"Lietōtōja saskarne tika pōrtulkōta latgaliski, lai viļakī cylvāki varātu ērti tū izmantot."
Tehnologejis un digitōlī reiki,"Datu aizsardzeiba ir svareiga ari tad, ka korpusā nav īstu personu vōrdu."
"Kultura, tradicejis un identitāte","Juoņu vakarā ļaudis dzīdōja pie uguns, un balsis nesa dzīsmes pōri pļovai."
"Kultura, tradicejis un identitāte","Keramikas meistars skaidrōja, ka katra vāze glaboj rokū kustiebu un māla atmiņu."
"Kultura, tradicejis un identitāte","Folkloras kopa apguva senu dzīsmi, kuru pirms tam byja pierakstiejusi ciema teicēja."
"Kultura, tradicejis un identitāte","Latgalīšu volūda skanēja izrōdē, kas runōja par pīderiebu un mājupceļu."
"Kultura, tradicejis un identitāte",Muzejā bārni taustieja lina drēbi un klausieja stōstu par agrōkū saiminīceibu.
"Kultura, tradicejis un identitāte",Krustcelēs stōvējusī koka krysta sargōja ceļinīkus jau vairōk kai simts godu.
"Kultura, tradicejis un identitāte","Dzejnieks izvēlējās vienkōršus vōrdus, bet lasietōji tajūs atrada dziļu pīredzi."
"Kultura, tradicejis un identitāte","Svātku gōjīnī katrs pagosts nesa savu krōsu, dzīsmi un lepnuma zeimi."
