Category,Hawaiian Sentence
Grammar Core (Sentence Structures & Tenses),Ua hele au i ke kula i nehinei.
Grammar Core (Sentence Structures & Tenses),E hele ana au i ke kula i ka lā ʻapōpō.
Grammar Core (Sentence Structures & Tenses),Ke hele nei au i ke kula i kēia manawa.
Grammar Core (Sentence Structures & Tenses),"Inā e hele au i ke kula, e aʻo ana au."
Grammar Core (Sentence Structures & Tenses),ʻAʻole au i hele i ke kula.
Grammar Core (Sentence Structures & Tenses),Ua loaʻa iaʻu ka ʻike hou.
Grammar Core (Sentence Structures & Tenses),E heluhelu ʻoe i kēia puke.
Grammar Core (Sentence Structures & Tenses),Ua hiki iaʻu ke aʻo aku iā ʻoe.
Grammar Core (Sentence Structures & Tenses),Ke hoʻomākaukau nei au no ka papa.
Grammar Core (Sentence Structures & Tenses),Makemake au e hele i ke kula i kēlā me kēia lā.
Conversational Data (Real-Life Dialogues & Exchanges),Aloha e Keoni! Pehea ʻoe?
Conversational Data (Real-Life Dialogues & Exchanges),E hele kākou i ka hale ʻaina i kēia ahiahi?
Conversational Data (Real-Life Dialogues & Exchanges),"ʻAe, makemake au i ka mea ʻai Hawaiʻi."
Conversational Data (Real-Life Dialogues & Exchanges),"Aʻole, makemake au e noho ma ka hale."
Conversational Data (Real-Life Dialogues & Exchanges),Ehia kālā e uku ai no kēia mea?
Conversational Data (Real-Life Dialogues & Exchanges),"E kokua mai ʻoe iaʻu, ke ʻoluʻolu."
Conversational Data (Real-Life Dialogues & Exchanges),Pehea e hiki ai iaʻu ke hele i ke kahua mokulele?
Conversational Data (Real-Life Dialogues & Exchanges),E hui hou i kēia hopena pule!
Conversational Data (Real-Life Dialogues & Exchanges),Makemake au e kamaʻilio e pili ana i kēia kumu.
Conversational Data (Real-Life Dialogues & Exchanges),Mahalo no kou kōkua.
Code-Switching & Multilingualism,E hele ana au i ka store e kūʻai i kekahi mea.
Code-Switching & Multilingualism,Makemake au e ʻike i ka schedule o nā kaʻa ʻōhua.
Code-Switching & Multilingualism,Aia ke meeting ma ka hale o Kaleo.
Code-Switching & Multilingualism,He maikaʻi loa kou presentation i nehinei.
Code-Switching & Multilingualism,"E nānā i ka menu, aia kekahi mau mea hou ma laila."
Code-Switching & Multilingualism,E mālama ʻoe i kāu data ma kāu computer.
Code-Switching & Multilingualism,"E like me ka policy hou, e hoʻoponopono ʻia nā kuleana."
Code-Switching & Multilingualism,Ua loaʻa iā mākou ka budget no ka papahana hou.
Code-Switching & Multilingualism,Ke hoʻomaʻamaʻa nei mākou i ka grammar hou.
Code-Switching & Multilingualism,Aia kekahi discount ma nā lole i kēia pule.
