Categories,Sentences
Grammar Core (Sentence Structures & Tenses),हम कल बजार गइ रहेन।
Grammar Core (Sentence Structures & Tenses),तू अबहीं पढ़त हउवा का?
Grammar Core (Sentence Structures & Tenses),ऊ बइठ गइल ह अउ पढ़े लाग ह।
Grammar Core (Sentence Structures & Tenses),अगर पानी गिरिह त हम न जइब।
Grammar Core (Sentence Structures & Tenses),हम स्कूल रोज जात रहिन।
Grammar Core (Sentence Structures & Tenses),हमार किताब खो गइल ह।
Grammar Core (Sentence Structures & Tenses),ऊ सब्जी बनाई जात रही।
Grammar Core (Sentence Structures & Tenses),मइ तोहसे कहे रहा कि समय प आओ।
Grammar Core (Sentence Structures & Tenses),हमरे बापू खेत चलि गइ रहिन।
Grammar Core (Sentence Structures & Tenses),तू ए कामु कइसे करब?
Conversational Data (Real-Life Dialogues & Exchanges),का हाल बा तोहार? बहुत दिनन बाद भेंट भइ।
Conversational Data (Real-Life Dialogues & Exchanges),चाय पीहब का? हम बना दिहित।
Conversational Data (Real-Life Dialogues & Exchanges),आजु स्कूल में मजा आवा?
Conversational Data (Real-Life Dialogues & Exchanges),"अरे सुनऽ, मइ तोहरा कुछ बतावे चाहत हउँ।"
Conversational Data (Real-Life Dialogues & Exchanges),"भइया, ई रास्ता कइसे जात ह मंदिर?"
Conversational Data (Real-Life Dialogues & Exchanges),तू काल्हु कहाँ रह्या?
Conversational Data (Real-Life Dialogues & Exchanges),"माय, हमार मोबाइल चार्ज नाही बा।"
Conversational Data (Real-Life Dialogues & Exchanges),"चलऽ, बजार घूमे चलत हईं।"
Conversational Data (Real-Life Dialogues & Exchanges),तू खाना खाइ लिहा का?
Conversational Data (Real-Life Dialogues & Exchanges),अरे वाह! तू त बहुत बढ़िया गावत हउवा।
Code-Switching & Multilingualism,हम ऑफिस से आ के Netflix देखत हईं।
Code-Switching & Multilingualism,ऊ तो proper English बोलत ह।
Code-Switching & Multilingualism,"अरे यार, ये laptop तो hang होइ गवा।"
Code-Switching & Multilingualism,हमरे घर wifi अच्छा नाही चलत।
Code-Switching & Multilingualism,आज dinner में biryani बनत ह।
Code-Switching & Multilingualism,हम friend लोगन संग WhatsApp group बनाय हईं।
Code-Switching & Multilingualism,Class के बाद हम coaching जात हईं।
Code-Switching & Multilingualism,"Bike puncture होइ गइ, लेट भइ।"
Code-Switching & Multilingualism,"Project complete ना भइ, sir डांटे रहे।"
Code-Switching & Multilingualism,"ऊ बोले - chill करो, सब ठीक होई।"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",हमरे फर्म के मीटिंग आज तीन बजे बा।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",डॉक्टर साहब कहिन कि दवा समय से खाय के बा।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",कृपया ई फॉर्म पूरा भरि के जमा कराइए।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",उक्त निर्णय नियमावली के अंतर्गत लिहल गइल ह।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",मरीज के स्थिति स्थिर बा।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",कृपया प्रतीक्षा कइके अंदर आइए।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ई उपकरण बहुत उपयोगी बा इंडस्ट्री खातिर।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",न्यायालय के आदेश अनुसार सुनवाई टल गइल ह।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",हम कंप्यूटर प्रोग्रामिंग पढ़ावत हईं।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",कृपया फोन पे संपर्क करीं।
"Idioms, Proverbs & Cultural Expressions","जइसे करम करब, वइसे फल पाइब।"
"Idioms, Proverbs & Cultural Expressions","जहँवा चाह, उहँवा राह।"
"Idioms, Proverbs & Cultural Expressions",उ नाही जानत कि नाचे कहाँ से।
"Idioms, Proverbs & Cultural Expressions",बिल्ली के सपना चूहा! 
"Idioms, Proverbs & Cultural Expressions",अधजल गगरी छलकत जाए।
"Idioms, Proverbs & Cultural Expressions",ऊ त बस नाम के शेर ह।
"Idioms, Proverbs & Cultural Expressions",नइहर के माई जइसे सासु कहाँ!
"Idioms, Proverbs & Cultural Expressions","जहँवा दाना, उहँवा कौआ।"
"Idioms, Proverbs & Cultural Expressions",बिना मतलब के बकर-बकर करेला।
"Idioms, Proverbs & Cultural Expressions",हर मर्ज के एक इलाज नाही होत।
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: तोहार जन्म कहाँ भवा?
उत्तर: हमार जन्म लखनऊ मा भवा।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: सबसे पसन्दीदा खाना का ह?
उत्तर: हमका दाल-बाटी बहुत भावेला।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: तू कइसन बा?
उत्तर: हम ठीके हईं, धन्यवाद।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: काल्हु स्कूल गइल रह्या?
उत्तर: हँ, हम स्कूल गइल रहेन।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: ए मोबाइल के कीमत का ह?
उत्तर: पंद्रह हजार के आस-पास ह।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: इ रोड कहाँ ले जात ह?
उत्तर: इ सीधे बाजार ले जात ह।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: ए समय कउन काम करेल जा?
उत्तर: खेती-बाड़ी के काम होत ह।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: तू क्रिकेट खेलत हउवा?
उत्तर: हँ, बहुत मन लागेला।"
