Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ini nighenda sokoni kila ligolo.
Grammar Core (Sentence Structures & Tenses),Leo tukwenda kusoma mbari ja Taveta.
Grammar Core (Sentence Structures & Tenses),Jana awana w'etu vaghendie mtoni kusaka machi.
Grammar Core (Sentence Structures & Tenses),Kesho mghosi uyo adima kusoma luwalo lwa mkutano.
Grammar Core (Sentence Structures & Tenses),"Kama mvua yekagwa, tuchigumya mbegu isangenyi."
Grammar Core (Sentence Structures & Tenses),Nyumba yape iduagha inonekie kisaya.
Grammar Core (Sentence Structures & Tenses),Barua yandikwagha ni mwalimu ghwa shule.
Grammar Core (Sentence Structures & Tenses),Sindagomba kughenda Voi leo kwa sababu ndina kazi.
Grammar Core (Sentence Structures & Tenses),Mwanache uyo akola kavinda kabaa kusoma.
Grammar Core (Sentence Structures & Tenses),Vandu vangi vandasighie neno jilo kwa utulivu.
Conversational Data (Real-Life Dialogues & Exchanges),"Uko aje leo, mwenzangu?"
Conversational Data (Real-Life Dialogues & Exchanges),"Niko kisaya, nawe uko aje?"
Conversational Data (Real-Life Dialogues & Exchanges),Ndakuvoya unisangie njiani baada ya kazi.
Conversational Data (Real-Life Dialogues & Exchanges),"Ni sawa, lakini nighomba kumaliza luwalo lwa mwalimu kwanza."
Conversational Data (Real-Life Dialogues & Exchanges),Waona seji vua yaduka vandu kule sokoni?
Conversational Data (Real-Life Dialogues & Exchanges),"Ndaona, na vangi vaghula mbogha na ndizi."
Conversational Data (Real-Life Dialogues & Exchanges),Twende tukanywe chai kabla ya mkutano kuanza.
Conversational Data (Real-Life Dialogues & Exchanges),"Ndina shilingi kidogo, lakini nitagawana nawe."
Conversational Data (Real-Life Dialogues & Exchanges),"Usijali, leo mimi nitakulipia."
Conversational Data (Real-Life Dialogues & Exchanges),Asante sana; kesho nindakuletea matunda gha nyumbani.
Code-Switching & Multilingualism,"Leo niko busy, lakini nindakupigia simu baadaye."
Code-Switching & Multilingualism,Tafadhali save hiyo document kabla computer ijafungwa.
Code-Switching & Multilingualism,Mwalimu asema homework yenyu ifike kesho asubuhi.
Code-Switching & Multilingualism,Nighomba kujoin meeting ya online saa mbili.
Code-Switching & Multilingualism,Twende market tugule mbogha fresh kwa chakula cha jioni.
Code-Switching & Multilingualism,Client aghomba report iwe ready kabla ya Friday.
Code-Switching & Multilingualism,W'ana va shule vaghomba practice ya reading kila siku.
Code-Switching & Multilingualism,Data hii yisafishwe kisaya kabla model ijafunzwa.
Code-Switching & Multilingualism,"Nimesikia story yako, lakini evidence bado ni kidogo."
Code-Switching & Multilingualism,Please niandikie jina rako hapa halafu tukuanze registration.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tafadhali mlete mgonjwa kwenye kliniki kabla hali ijawa mbaya.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kampuni yetu itawasilisha ripoti ya fedha mwisho wa mwezi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mkataba huu unasomwa kwa makini kabla ya kutiwa sahihi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Daktari aghomba kujua kama dawa yimeleta maumivu mapya.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Afisa wa kilimo avola mbegu zipandwe baada ya mvua ya kwanza.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kamati yitamka uamuzi wake baada ya kusikiliza pande zote.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mteja avoywa kulipa ankara ndani ya siku kumi na nne.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Fundi atapima mtambo kabla ya kuwasha nguvu ya umeme.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mahakama imeahirisha kesi hadi tarehe iliyotangazwa rasmi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Barua rasmi itatumwa kwa ofisi ya gavana leo mchana.
"Idioms, Proverbs & Cultural Expressions","Mti ukua kwa mizizi, si kwa kelele za upepo."
"Idioms, Proverbs & Cultural Expressions",Mtu asiyesikiliza wazee hufika kisimani bila chombo.
"Idioms, Proverbs & Cultural Expressions",Njia ndefu huanza na hatua ya moyo.
"Idioms, Proverbs & Cultural Expressions",Ng'ombe wa jirani hawezi kulima shamba lako lote.
"Idioms, Proverbs & Cultural Expressions","Ukificha moto chini ya majani, moshi utakusema."
"Idioms, Proverbs & Cultural Expressions",Mtoto wa nyumbani hujifunza lugha kwa masikio na moyo.
"Idioms, Proverbs & Cultural Expressions","Mvua ikipiga mlima, bonde nalo hupata baraka."
"Idioms, Proverbs & Cultural Expressions",Mkono mmoja hauwezi kubeba gunia zito sokoni.
"Idioms, Proverbs & Cultural Expressions",Neno jema ni dawa kabla ya jeraha.
"Idioms, Proverbs & Cultural Expressions",Aliyekula chumvi nyingi hutambua ladha ya machozi.
Question-Answer Pairs (FAQ & Contextual Understanding),Swali: Voi iko wapi? Jibu: Voi iko katika Kaunti ya Taita Taveta.
Question-Answer Pairs (FAQ & Contextual Understanding),Swali: Kwa nini awana vasoma kila siku? Jibu: Vasoma ili kupata maarifa na hekima.
Question-Answer Pairs (FAQ & Contextual Understanding),Swali: Ni wakati gani mzuri wa kupanda mbegu? Jibu: Baada ya mvua ya kwanza kunyesha.
