Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Tje a kwa ta ǁʼaigu nũa.
Grammar Core (Sentence Structures & Tenses),Tje a ǁʼaigu nũa kx’omi.
Grammar Core (Sentence Structures & Tenses),Tje a khoe ǁʼaigu nũa.
Grammar Core (Sentence Structures & Tenses),Tje a khoe ǁʼaigu nũa tsĩ.
Grammar Core (Sentence Structures & Tenses),Tje a ma ǁʼaigu nũa.
Grammar Core (Sentence Structures & Tenses),ǁʼAigu nũa xoa tje.
Grammar Core (Sentence Structures & Tenses),Tje a khoe ka tsĩ ǁʼaigu nũa.
Grammar Core (Sentence Structures & Tenses),Tje a kwa ta ǁʼaigu nũa ǁhã.
Grammar Core (Sentence Structures & Tenses),Tje a kwa ta ǁʼaigu nũa di ǁhã.
Grammar Core (Sentence Structures & Tenses),Tje a ma khoe ǁʼaigu nũa tsĩ.
Conversational Data (Real-Life Dialogues & Exchanges),"Ha, ǁũa tama?"
Conversational Data (Real-Life Dialogues & Exchanges),"Tama xoa, tje a ǁũa nũ."
Conversational Data (Real-Life Dialogues & Exchanges),"Ke tsĩ a ǁũa ǀ’ã, khoe?"
Conversational Data (Real-Life Dialogues & Exchanges),"E, ke a khoe ǀ’ã."
Conversational Data (Real-Life Dialogues & Exchanges),Ke a khoe tsã ǀ’ã ǁhã.
Conversational Data (Real-Life Dialogues & Exchanges),Ma te ǁũa xoa?
Conversational Data (Real-Life Dialogues & Exchanges),Tje a kwa ta ǃkhwã ǁhã.
Conversational Data (Real-Life Dialogues & Exchanges),Ke a kwa ta ǁʼaigu nũa.
Conversational Data (Real-Life Dialogues & Exchanges),Ke tsĩ a tama khoe ka?
Conversational Data (Real-Life Dialogues & Exchanges),"E, ke a khoe ka tama khoe."
Code-Switching & Multilingualism,Tje a kwa ta shop ǁhã.
Code-Switching & Multilingualism,Ke tsĩ a work tsã ǁhã?
Code-Switching & Multilingualism,Meeting xa tje ǁhã.
Code-Switching & Multilingualism,E-mail xa ke tsã.
Code-Switching & Multilingualism,Tje a finish homework.
Code-Switching & Multilingualism,Lunch xa ke tsã ǁhã.
Code-Switching & Multilingualism,Ke tsĩ attend class?
Code-Switching & Multilingualism,Project xa tje di khoe.
Code-Switching & Multilingualism,Test xa ke tsã khoe.
Code-Switching & Multilingualism,Tje a send message khoe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ke a ǁũa khoe ka conference ǁhã.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",The contract xa tje khoe di ǁhã.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tje a report submit khoe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Meeting xa ke tsã di ǁhã.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tje a present findings khoe ka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Policy xa tje khoe review.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Medical report xa ke khoe di tsã.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Procedure xa tje khoe explain.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Technical issue xa ke fix khoe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Training xa ke tsã khoe.
"Idioms, Proverbs & Cultural Expressions","ǁNā ǁnā, khoe xa tje khoe."
"Idioms, Proverbs & Cultural Expressions",ǁKhara ǁũa ǀ’ã ǁhã.
"Idioms, Proverbs & Cultural Expressions",ǁ’Áigu ma khoe tsã.
"Idioms, Proverbs & Cultural Expressions",ǁ’Âi ǁnā khoe ka.
"Idioms, Proverbs & Cultural Expressions",ǁKhara ǁnā di khoe.
"Idioms, Proverbs & Cultural Expressions",ǀ’Âi khoe ma kx’omi.
"Idioms, Proverbs & Cultural Expressions",ǁKhũi khoe ka tsã.
"Idioms, Proverbs & Cultural Expressions",ǁGao ma khoe tsã.
"Idioms, Proverbs & Cultural Expressions",ǁNū khoe ka tsã.
"Idioms, Proverbs & Cultural Expressions",ǁKhara ǁnā khoe tsã.
Question-Answer Pairs (FAQ & Contextual Understanding),Ma te khoe ǁũa?
Question-Answer Pairs (FAQ & Contextual Understanding),Tje a khoe ǁʼaigu nũa.
Question-Answer Pairs (FAQ & Contextual Understanding),Ke tsĩ a khoe ta ǀ’ã?
Question-Answer Pairs (FAQ & Contextual Understanding),"E, ke a khoe ǀ’ã."
Question-Answer Pairs (FAQ & Contextual Understanding),Ma te khoe tsã?
Question-Answer Pairs (FAQ & Contextual Understanding),Tje a khoe work.
Question-Answer Pairs (FAQ & Contextual Understanding),Ke tsĩ a khoe attend class?
Question-Answer Pairs (FAQ & Contextual Understanding),Ma te khoe eat lunch?
Question-Answer Pairs (FAQ & Contextual Understanding),Tje a khoe eat lunch tsã.
