Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"nu ammuk É-ir anda ešmi, zik=ma arḫa pāši."
Grammar Core (Sentence Structures & Tenses),"mān DINGIR-LUM ḫandān iyazi, LUGAL-uš KUR-e anda išḫiyazi."
Grammar Core (Sentence Structures & Tenses),"takku LÚ-aš kūn antuḫšan ḫarnikzi, šakuwašši šarninkzi."
Grammar Core (Sentence Structures & Tenses),"nu apāš išpantaz memišta, mān=kan kuitman ANA É.GAL pāun."
Grammar Core (Sentence Structures & Tenses),nu=za LÚ.MEŠ URUḪattuša ḫūmandanteš warpanzi.
Grammar Core (Sentence Structures & Tenses),"kuit kuitman uttar išḫiēr, apāt EGIR-pa memanzi."
Grammar Core (Sentence Structures & Tenses),"nu nēpišas IŠTU GEŠTIN ekuzi, n=ašta linkiya dāi."
Grammar Core (Sentence Structures & Tenses),"mān apāš kuiš arḫa pāizzi, mān=ma UL pāizzi, kē uttar dai."
Grammar Core (Sentence Structures & Tenses),nu=kan antuḫšaš išḫiul išḫiyanta ēšta.
Grammar Core (Sentence Structures & Tenses),"UL=wa=mu kuitki uttar mematti, nu=wa=ta šakmi."
Conversational Data (Real-Life Dialogues & Exchanges),ammuk=wa=ta šākmi; zik=wa kuit iyatti?
Conversational Data (Real-Life Dialogues & Exchanges),"nu=wa ammuk wellu ēšmi, attaš=ma kuitman ANA É.GAL pāit."
Conversational Data (Real-Life Dialogues & Exchanges),"kaša=wa ninda dā; mān ḫumanza ēšzi, nu ekuweni."
Conversational Data (Real-Life Dialogues & Exchanges),zik=wa ḫūman uttar išdammatti? ammuk=wa arḫa UL šākmi.
Conversational Data (Real-Life Dialogues & Exchanges),"nu=wa mema: mān=wa INA URUḪattuša pāumi, kinun=ma kēdani memiyanun."
Conversational Data (Real-Life Dialogues & Exchanges),apaš=wa kuit šarnikta? — kuitman=wa LÚ.MEŠ karū walḫir.
Conversational Data (Real-Life Dialogues & Exchanges),"mān=wa šalliš išḫiul ēšzi, nu=wa anda punušweni."
Conversational Data (Real-Life Dialogues & Exchanges),"ammuk=wa=za ANA DINGIR-LIM kuwapikki iyami, zik=ma=za kuit iyatti?"
Conversational Data (Real-Life Dialogues & Exchanges),nu=wa kē nindaš SIG5-in; apē=ma=wa UL SIG5-in.
Conversational Data (Real-Life Dialogues & Exchanges),ḫūman=wa anda ēšweni; nu=wa memiyani šalliš šakuwaš dāweni.
Code-Switching & Multilingualism,nu=wa treaty išḫiul ŠA KUR URUMizra anda išḫiyaweni.
Code-Switching & Multilingualism,"ammuk=wa tablet file kāša dāḫḫun, nu=wa scribal note memiškimi."
Code-Switching & Multilingualism,"zik=wa report ANA GAL DUB.SAR.MEŠ pāi, ammuk=ma copy dāi."
Code-Switching & Multilingualism,"mān=wa meeting ēšzi, nu=wa LÚ.MEŠ URUḪattuša appa uwanteš."
Code-Switching & Multilingualism,kē=wa data ŠA Hittite NLP anda parkuiyanzi.
Code-Switching & Multilingualism,"nu=wa model kuiš tarnaizzi, apāš=wa lemmatization SIG5-in iyazi."
Code-Switching & Multilingualism,"ammuk=wa dataset ŠA ḫūman memiyan dāmi, zik=ma validate iyatti."
Code-Switching & Multilingualism,"mān=wa error uwami, nu=wa log anda šakmi."
Code-Switching & Multilingualism,apāš=wa query punušzi: 'kuit=wa kē uttar?' nu=wa answer memai.
Code-Switching & Multilingualism,nu=wa interface INA É.DUB.BA.A anda user-aš šalli šakuwanzi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ANA LUGAL ŠEŠ-YA memiyani ḫandān uttar kāša paiwen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ŠA É.GAL parā handandatar parkuiš ēšdu, nu LÚ.MEŠ išḫiul šarninkandu."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","takku LÚ-aš išḫiul laḫḫiyazi, nu DI.KU5.MEŠ uttar punuškanzi."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ANA LÚ.MEŠ ŠU.GI mān ištarniyaš kišari, nu šakuwašši šāktāiš paiškanzi."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ŠA DUB.SAR.MEŠ kē tabletaz kuit išḫiyanza, apāt ḫandān nēpišši dai."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","nu KUR-e parā SIG5-in iyaweni, mān apēl memiyaš arḫa UL pāizzi."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ANA LÚ.MEŠ karūiliyaš wakšur parkuiš ēšdu, nu=kan ḫarkanatar UL kišari."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","mān GIŠTUKUL laḫḫanza ēšzi, nu LÚ.MEŠ ḫantezzi ašanzi."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ŠA A.ŠÀ ḫalkiš šalliš ēšdu, nu É.GAL nindaš išḫiyazi."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",kē memiyaš ANA pankuš ḫandān memanza ēšdu.
"Idioms, Proverbs & Cultural Expressions","mān nēpišaz watar uwaizzi, A.ŠÀ-aš ḫalkin pai."
"Idioms, Proverbs & Cultural Expressions","ḫūmandaz antuḫšaš šakuwašši kuit šākta, apāt=pat dai."
"Idioms, Proverbs & Cultural Expressions","ēšḫar kuit arḫa pāit, apāt appa UL uizzi."
