Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"lugal-e é-gal-la mu-un-dù, geme₂-re-ne ki-bi-še₃ in-tuš-e-ne."
Grammar Core (Sentence Structures & Tenses),"dumu tur-ra ama-ni-ra ninda in-na-an-šum, u₄-ba šag₄-bi ḫul₂-la-am₃."
Grammar Core (Sentence Structures & Tenses),"ensi₂-ke₄ dub-sar-ra-ne igi in-ši-bar, nam-til₃-bi nu-mu-un-zu."
Grammar Core (Sentence Structures & Tenses),"ĝeš-gišimmar gu₂-un-bi ba-an-du₈, še gur-ra ĝar-ra-am₃."
Grammar Core (Sentence Structures & Tenses),"lu₂-ra inim dug₄-ga nu-mu-un-da-an-ku₄, nam-erim₂-bi ba-zig₃."
Grammar Core (Sentence Structures & Tenses),"e₂-a a du₁₀-ga ba-ab-du₈, u₄-sakar-ta u₄-du₆-a-še₃."
Grammar Core (Sentence Structures & Tenses),"ĝu₁₀-e e₂ lugal-la e-ne-dù-un, gašan-gu₁₀ kiĝ₂-bi ḫe₂-en-ak."
Grammar Core (Sentence Structures & Tenses),"šul-e kur-ra ĝen-na ba-ra-an-naĝ, a-ĝar₃-ra im-mi-in-tuš."
Grammar Core (Sentence Structures & Tenses),"inim-bi ḫe₂-en-na-ab-be₂, lu₂ gal-gal-e mu-un-zu-ne."
Grammar Core (Sentence Structures & Tenses),"ĝiš-ĝešimmar-ra še ba-ra-an-si, a nu-mu-un-de₂-a-ta."
Conversational Data (Real-Life Dialogues & Exchanges),"ama: dumu-gu₁₀, u₄-de₃ e₂-dub-ba-a ĝen-en; dumu: ga-na-ab-dug₄, ama-gu₁₀."
Conversational Data (Real-Life Dialogues & Exchanges),"dub-sar: dub-bi mu-un-sar-re-en? šagird: he₂, dub-bi im-ma-sar-re-en."
Conversational Data (Real-Life Dialogues & Exchanges),"lu₂: kiri₆-zu a ba-an-de₂-a? geme₂: a de₂-a-am₃, šeĝ₃ im-ta-e₃."
Conversational Data (Real-Life Dialogues & Exchanges),ĝuruš: e₂-gal-la kiĝ₂ mu-un-ak; šu-i: kiĝ₂-bi ḫul₂-la-am₃.
Conversational Data (Real-Life Dialogues & Exchanges),"dam: ninda ba-zal? dam-gar₃: ninda zal-la, kaš ḫe₂-en-naĝ-en."
Conversational Data (Real-Life Dialogues & Exchanges),"šul: ki-aĝ₂-gu₁₀, nin₉-zu mu-un-zu-a? geme₂: he₂, nin₉-gu₁₀ e₂-a tuš-am₃."
Conversational Data (Real-Life Dialogues & Exchanges),"lu₂ tur: ab-ba, a-na-aš še nu-ĝal₂? ab-ba: še-bi gu₂-un-na ba-an-šum."
Conversational Data (Real-Life Dialogues & Exchanges),"engar: a-ša₃-a ĝen-en; dumu: še ba-e-ĝar-re-en, ab-ba."
Conversational Data (Real-Life Dialogues & Exchanges),"gašan: e₂-mu ḫe₂-eb₂-sud; geme₂: e₂-zu sud-ra-am₃, gašan-gu₁₀."
Conversational Data (Real-Life Dialogues & Exchanges),"lugal: inim-gu₁₀ ba-e-zu? sukkal: inim-zu mu-un-zu, lugal-mu."
Code-Switching & Multilingualism,"eme-gir₁₅-bi eme kalam-ma-am₃, dub-sar-re-ne inim ki-en-gi-ra ba-an-sar-re-ne."
Code-Switching & Multilingualism,"lu₂ eme diri diri mu-un-zu-a, inim gal-la šeš-a-ni-ra ba-an-dug₄."
Code-Switching & Multilingualism,"dam-gar₃ kur-kur-ra ĝen-na, eme ki-en-gi-ra inim ku₃-ga ba-an-dab₅."
Code-Switching & Multilingualism,"e₂-dub-ba-a dumu-ne eme bal-e-de₃, inim-bi igi-bi-še₃ ba-an-ĝar-re-ne."
Code-Switching & Multilingualism,"sukkal-maḫ-e kalam-ma-na inim šu₂-šu₂ ba-an-dug₄, lu₂-re-ne mu-un-zu-ne."
Code-Switching & Multilingualism,"ĝešgu-za e₂-gal-la-ka dub eme-gir₁₅ mu-un-ĝal₂, inim kur-ra ba-ra-ab-sar."
Code-Switching & Multilingualism,lu₂ tur-ra nin₉-a-ni-ra eme ama-na-ke₄ inim du₁₀-ga ba-an-na-ab-be₂.
Code-Switching & Multilingualism,"gaba-ri dub-ba-a inim ki-en-gi-ra mu-un-sar, inim bala-bi ĝal₂-la-am₃."
Code-Switching & Multilingualism,"kiĝ₂-ba lu₂-ne eme-bi du₁₀-ga ba-an-ĝar, ša₃ kalam-ma ḫul₂-la-am₃."
Code-Switching & Multilingualism,"nam-lu₂-ulu₃-ka eme-gir₁₅-bi ki-aĝ₂-am₃, inim-bi u₄-da ri-a-am₃."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ensi₂-ke₄ maškim-ra inim ku₃-ga in-na-an-dug₄: gu₂-un-bi u₄ 3-kam-ma ḫe₂-en-šum.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","dub-sar-re-ne ĝešda-bi igi-bi-še₃ ba-an-ĝar, kišib-bi ba-an-ra."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","a-zu-ke₄ lu₂ gig-ga igi in-ši-bar, šu-ni a du₁₀-ga mu-un-de₂."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","dam-gar₃-e še gur 20 ba-an-šum, kas₄-bi dub-ba-a mu-un-sar."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","di-ku₅-ne inim-daĝal-la ba-an-tuku, nam-erim₂-bi nu-mu-un-ĝal₂."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","šabra-ke₄ ĝeš-kin-ti-bi ba-an-sag₃, kiĝ₂ e₂-gal-la ḫe₂-en-ak."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","sanga-ke₄ ninda dingir-ra mu-un-ĝar, u₄-sakar-ra ki-bi ḫe₂-en-du₁₀."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","lu₂-me-en-de₃ kiĝ₂-bi šu ba-an-ti, erin₂-e gu₂ ba-an-gar."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","nig₂-ka₉-ak-bi dub-ba-a ĝal₂, šu-ba-ti-bi u₄-da mu-un-na-sar."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","munus a-zu-ke₄ geme₂ gig-ga-ra im-šu-rin, šag₄-bi ḫe₂-en-du₁₀."
"Idioms, Proverbs & Cultural Expressions","inim du₁₀-ga ĝeš-ḫur-ra-gin₇, šag₄ lu₂-a mu-un-sig₁₀."
"Idioms, Proverbs & Cultural Expressions","šu gal-la še ba-an-tuku, šu tur-ra zi-ga nu-mu-un-tuku."
"Idioms, Proverbs & Cultural Expressions","kur nu-zu-a ĝen-na, igi nu-du₈-a e₃-a-am₃."
"Idioms, Proverbs & Cultural Expressions","ninda šag₄-ga ĝal₂-la, inim ka-ta ba-e₃."
"Idioms, Proverbs & Cultural Expressions","lu₂ igi-ĝal₂-e a-na ĝal₂-la mu-un-zu, igi nu-ĝal₂-e ĝeš nu-mu-un-ĝal₂."
"Idioms, Proverbs & Cultural Expressions","ur-saĝ-e inim gal nu-dug₄, kiĝ₂ gal mu-un-ak."
