Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ah did go market yesterday but ah ain’t see no nutmeg dey.
Grammar Core (Sentence Structures & Tenses),She always bringing coconut tart when she come by.
Grammar Core (Sentence Structures & Tenses),We go reach Gouyave by sunset if de rain ease up.
Grammar Core (Sentence Structures & Tenses),"If mi brother did study, he woulda pass de test."
Grammar Core (Sentence Structures & Tenses),Dey building ah new hospital up in St. Andrew.
Grammar Core (Sentence Structures & Tenses),Mi cousin was washing de car while ah was cooking.
Grammar Core (Sentence Structures & Tenses),Ah woulda help yuh if yuh did ask.
Grammar Core (Sentence Structures & Tenses),Mi bag get tek by somebody on de bus.
Grammar Core (Sentence Structures & Tenses),De children don’t usually go out after dark.
Grammar Core (Sentence Structures & Tenses),"De mango ripen already, so leh we pick dem now."
Conversational Data (Real-Life Dialogues & Exchanges),Wha’ part yuh deh so long? Ah been calling yuh!
Conversational Data (Real-Life Dialogues & Exchanges),Ah cya believe yuh forget mi birthday again!
Conversational Data (Real-Life Dialogues & Exchanges),Yuh hear bout de lime down by Grand Anse dis weekend?
Conversational Data (Real-Life Dialogues & Exchanges),"Leh we go by de shop quick, ah feelin for ah cold Solo."
Conversational Data (Real-Life Dialogues & Exchanges),Mi neighbor come argue 'bout de fence again.
Conversational Data (Real-Life Dialogues & Exchanges),Yuh eat already? Mi cook some oil down.
Conversational Data (Real-Life Dialogues & Exchanges),So wha’ time yuh reaching by de beach?
Conversational Data (Real-Life Dialogues & Exchanges),"Man, de sun hot like fire today, eh!"
Conversational Data (Real-Life Dialogues & Exchanges),"Mi phone dead whole day, das why ah ain’t reply."
Conversational Data (Real-Life Dialogues & Exchanges),Ah glad yuh pass by. Ah had plenty ting to tell yuh.
Code-Switching & Multilingualism,"Mi goin church later, but first ah haffi do some homework."
Code-Switching & Multilingualism,"She say she tired oui, but still want go fête."
Code-Switching & Multilingualism,"Ay boy, that presentation today was top notch, yuh hear!"
Code-Switching & Multilingualism,"Ah was like 'nah man, mi cyah mek it today.'"
Code-Switching & Multilingualism,Yuh see de way dey talkin? Pure mix-up and confusion!
Code-Switching & Multilingualism,"Mi uncle was like '¡Dios mío!', when he see de damage."
Code-Switching & Multilingualism,Wha’ you say? Mi no comprende dat one at all.
Code-Switching & Multilingualism,"Ah go fix it later, right now mi just chillin."
Code-Switching & Multilingualism,Dem boys dem dey talkin bout investment portfolio oui!
Code-Switching & Multilingualism,"Yuh tink ah could borrow de car, just for lil errands?"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Please be advised dat de meeting was postponed until further notice.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De doctor recommend rest and hydration for de next five days.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yuh application has been reviewed and accepted.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Under de new regulations, all vendors must register officially."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dis memorandum outlines de duties of each department head.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",We kindly request yuh presence at de upcoming symposium.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De client expressed satisfaction with de service provided.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",All patients are required to fill out de intake form completely.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Due to unforeseen circumstances, today’s session is canceled."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De technician will conduct routine maintenance next week.
"Idioms, Proverbs & Cultural Expressions","De higher monkey climb, de more he show he tail."
"Idioms, Proverbs & Cultural Expressions","When yuh hand in lion mouth, pat it not pull it."
"Idioms, Proverbs & Cultural Expressions",Wha’ sweet in goat mouth does sour in he bam-bam.
"Idioms, Proverbs & Cultural Expressions",One one coco full de basket.
"Idioms, Proverbs & Cultural Expressions",Cockroach ain’t got no right in fowl party.
"Idioms, Proverbs & Cultural Expressions","If yuh dig one hole, dig two."
"Idioms, Proverbs & Cultural Expressions",Monkey know which tree to climb.
"Idioms, Proverbs & Cultural Expressions",Old fire stick easy to catch.
"Idioms, Proverbs & Cultural Expressions","New broom sweep clean, but old broom know de corners."
"Idioms, Proverbs & Cultural Expressions",Every bush is not medicine.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Who bring de callaloo for de soup? A: Auntie Marva did.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: What time de boat leaving Carriacou? A: Five sharp.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Why yuh ain’t come yesterday? A: De rain wash out mi plans.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Where de festival happening dis year? A: In Victoria.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: How yuh make dat coconut drops so soft? A: Plenty love and patience.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: When last yuh visit Grenville? A: Just last week.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Is dis fish fresh? A: Fresh from de sea, just dis morning."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Who organizing de Independence show? A: De Ministry of Culture.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Yuh see mi slippers? A: Under de table where yuh left dem.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: What dey cooking for lunch? A: Oil down, plantain, and fry fish."
Commands & Instructions (Imperative Sentences),Close de window before de rain wet up inside.
Commands & Instructions (Imperative Sentences),"Tek out de garbage when yuh leaving, please."
Commands & Instructions (Imperative Sentences),"Don’t touch dat pot, it hot like fire!"
Commands & Instructions (Imperative Sentences),Bring mi ah towel from de bathroom.
Commands & Instructions (Imperative Sentences),Tell Uncle John dat dinner ready now.
Commands & Instructions (Imperative Sentences),Wash yuh foot before yuh lie down on mi bed.
Commands & Instructions (Imperative Sentences),Go check if de gate lock good.
Commands & Instructions (Imperative Sentences),Call mi when yuh reach de supermarket.
Commands & Instructions (Imperative Sentences),Put de clothes to dry out in de sun.
Commands & Instructions (Imperative Sentences),"Leh we hurry up, we goin be late for church."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ah meet Teacher Pierre by de Market Square last Tuesday.
