Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Lon ka jak u blang singoh beungoh.
Grammar Core (Sentence Structures & Tenses),Lon teungoh meupeugah haba ngon droeneuh.
Grammar Core (Sentence Structures & Tenses),Lon lusa jak u Banda Aceh.
Grammar Core (Sentence Structures & Tenses),"Seandainya lon na waktu, lon tulong droeneuh."
Grammar Core (Sentence Structures & Tenses),Lon hana meupeugah haba nyan.
Grammar Core (Sentence Structures & Tenses),Rumoh nyan ka teupajôh bak aneuk miet.
Grammar Core (Sentence Structures & Tenses),Kamoe akan peuget proyek nyan lam saboh buleun.
Grammar Core (Sentence Structures & Tenses),Ureuëng nyan hana ka teuhormat bak gampông.
Grammar Core (Sentence Structures & Tenses),Aneuk nyan lagee ka meuruno bak sikula.
Grammar Core (Sentence Structures & Tenses),Peue nyang ka droeneuh peugah?
Conversational Data (Real-Life Dialogues & Exchanges),A: Droeneuh jak keu pat? B: Lon jak u pasar.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Peue haba barô? B: Alhamdulillah, seuhat."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Ka droeneuh jak sikula? B: Ka, lon barô troh."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Kamoe jak u pantai, droeneuh ikut? B: InsyaAllah."
Conversational Data (Real-Life Dialogues & Exchanges),A: Peue sabab droeneuh telat? B: Jalan macet.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Ka jipeugah bak ayah? B: Ka, jih setuju."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Droeneuh butuh bantuan? B: Hana, terima kasih."
Conversational Data (Real-Life Dialogues & Exchanges),A: Kiban keu acara nyan? B: Ramai that.
Conversational Data (Real-Life Dialogues & Exchanges),A: Peue rencana malam nyoe? B: Lon meuruno.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Ka siap peugot tugas? B: Lom, lon teungoh peuget."
Code-Switching & Multilingualism,Lon meeting ngon tim bak kantor beungoh.
Code-Switching & Multilingualism,Kamoe brainstorming ide barô lam kafe.
Code-Switching & Multilingualism,Jih update laporan nyan u manager.
Code-Switching & Multilingualism,Lon follow up pesan droeneuh singoh.
Code-Switching & Multilingualism,Event nyan sukses that bak kampus.
Code-Switching & Multilingualism,Lon download file nyan bak laptop.
Code-Switching & Multilingualism,Kamoe planning perjalanan u Medan.
Code-Switching & Multilingualism,Jih submit proposal bak dosen.
Code-Switching & Multilingualism,Lon check email tiap beungoh.
Code-Switching & Multilingualism,Tim nyan fokus bak target bulanan.
Formal & Professional Speech,Kami meuajukan surat permohonan resmi bak instansi nyan.
Formal & Professional Speech,Pasien nyan butuh perawatan lanjutan bak rumah sakit.
Formal & Professional Speech,Kontrak kerja nyan ka ditandatangani dua pihak.
Formal & Professional Speech,Laporan keuangan harus transparan dan akuntabel.
Formal & Professional Speech,Sidang nyan akan dilaksanakan bak hari Jumat.
Formal & Professional Speech,Perusahaan nyan mematuhi regulasi nasional.
Formal & Professional Speech,Dokumen legal nyan harus disimpan dengan aman.
Formal & Professional Speech,Penelitian nyan menggunakan metode ilmiah.
Formal & Professional Speech,Pelayanan publik harus profesional dan cepat.
Formal & Professional Speech,Keputusan nyan diambil melalui musyawarah.
"Idioms, Proverbs & Cultural Expressions","Lagee buleuen teubit bak siang, hana meutap."
"Idioms, Proverbs & Cultural Expressions",Aneuk miet lagee bunga rampai gampông.
"Idioms, Proverbs & Cultural Expressions",Haba nyan lagee angin lalu.
"Idioms, Proverbs & Cultural Expressions",Ureuëng bijak hana that meupeugah.
"Idioms, Proverbs & Cultural Expressions","Bak pante ka ta jak, bak gunong ka ta duek."
"Idioms, Proverbs & Cultural Expressions","Lagee ie pasang, semangat jih meuëk."
"Idioms, Proverbs & Cultural Expressions","Peue nyang ta tanom, nyan ta tuai."
"Idioms, Proverbs & Cultural Expressions","Lagee punggong jeurat, hana ta keuh."
"Idioms, Proverbs & Cultural Expressions",Ureuëng sabar reubah gunong.
"Idioms, Proverbs & Cultural Expressions",Lagee manok peuetong bak siang.
Question-Answer Pairs (FAQ & Contextual Understanding),Peue nyang na lam rapat nyan? Na pembahasan anggaran.
Question-Answer Pairs (FAQ & Contextual Understanding),Kiban caroe daftar sikula nyan? Isi formulir online.
Question-Answer Pairs (FAQ & Contextual Understanding),Pat alamat kantor nyan? Bak pusat kota.
Question-Answer Pairs (FAQ & Contextual Understanding),Peue tujuan acara nyan? Keu silaturahmi.
Question-Answer Pairs (FAQ & Contextual Understanding),Kiban cara peugot kue nyan? Campur bahan dan panggang.
Question-Answer Pairs (FAQ & Contextual Understanding),Peue manfaat olahraga? Keu seuhat awak.
Question-Answer Pairs (FAQ & Contextual Understanding),Pat droeneuh tinggai? Lon tinggai bak gampông Lamteumen.
Question-Answer Pairs (FAQ & Contextual Understanding),Peue rencana droeneuh? Lon jak u luar negeri.
Question-Answer Pairs (FAQ & Contextual Understanding),Kiban cara hubungi jih? Meuhubungi lewat telepon.
Question-Answer Pairs (FAQ & Contextual Understanding),Peue alasan proyek nyan ditunda? Karena kurang dana.
Commands & Instructions (Imperative Sentences),Tolong buka pinto nyan.
Commands & Instructions (Imperative Sentences),Jak watee singoh beungoh.
