Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Nga la leit sha ïing jong u Bah Syiem mynhynnin ka sngi.
Grammar Core (Sentence Structures & Tenses),U Kynthei u thoh kot ha ka klas mynta ka sngi.
Grammar Core (Sentence Structures & Tenses),Nga nang ban ïoh ïa ka jingïaid kaba bha lada nga pyrkhat bha.
Grammar Core (Sentence Structures & Tenses),Ngam ju leit sha Ïewduh lada ym donkam.
Grammar Core (Sentence Structures & Tenses),La khot ïa nga da u Principal ban ïakren halor ka kam skul.
Grammar Core (Sentence Structures & Tenses),Kan long kaba kham bha lada ngin ïatreilang.
Grammar Core (Sentence Structures & Tenses),Ym pat pynrung ïa ka jingïarap ha ka jinglum pisa.
Grammar Core (Sentence Structures & Tenses),Ngi la ïoh jingiarap na ka sorkar ha ka snem 2024.
Grammar Core (Sentence Structures & Tenses),Un leit sha Nongstoin lada ka jingmih ka biang.
Grammar Core (Sentence Structures & Tenses),Ngam sngewthuh ïa ka jingmut jong ka jingkren jong phi.
Conversational Data (Real-Life Dialogues & Exchanges),"Kumno phi long mynta, Bah Rame?"
Conversational Data (Real-Life Dialogues & Exchanges),Nga sngewbha ban ïohi biang ïa phi hadien katto katne sngi.
Conversational Data (Real-Life Dialogues & Exchanges),Phi la leit sha Ïewduh mynta ka sngi ne em?
Conversational Data (Real-Life Dialogues & Exchanges),"Ha, nga thied ïa u soh bad ka doh phlang."
Conversational Data (Real-Life Dialogues & Exchanges),"To, ai nga ïa ka pisa hadien haba nga la ïoh."
Conversational Data (Real-Life Dialogues & Exchanges),Ngi la ïakynduh ha Mawlai ha ka por miet.
Conversational Data (Real-Life Dialogues & Exchanges),"To, ngam ju tip ba phi long u paralok jong ka kong Rida!"
Conversational Data (Real-Life Dialogues & Exchanges),Phi lah ban iarap ïa nga ban pynbeit ïa kane ka jingthoh?
Conversational Data (Real-Life Dialogues & Exchanges),Nga sngewtynnad ïa ka jingïaidkai jong ngi mynta.
Conversational Data (Real-Life Dialogues & Exchanges),"Lada phi kwah, ngin leit lang sha ka jingrakhe sngi paidbah."
Code-Switching & Multilingualism,"Nga feel bha mynta, kumba ka weather ruh ka kham shngaiñ."
Code-Switching & Multilingualism,Phi la check ïa ka message ba nga send ne em?
Code-Switching & Multilingualism,"Ka meeting ka start ha 10:00 sharp, wat kylluid eh."
Code-Switching & Multilingualism,"Haba nga khlem recharge, ka network ruh ka la phet."
Code-Switching & Multilingualism,U Bah Wansalan u drive ïa ka car jong u da ka confidence.
Code-Switching & Multilingualism,"Ka event ka great bha, hynrei ka sound system kam perfect."
Code-Switching & Multilingualism,Nga prefer ban read ha phone ban ïa ka kot.
Code-Switching & Multilingualism,"Ka food mynta ka best bha, especially ka doh syiar."
Code-Switching & Multilingualism,Phi la upload ïa ka file sha Google Drive ne em?
Code-Switching & Multilingualism,Nga type ïa ka report ha Word bad submit da email.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka jingkren jong u Myntri Rangbah ka la pynshlur ïa ki paidbah.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Ha kane ka jingpynlong prokram, ngi sngewkmen ban ïadon bynta."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka department ka la dep ban pyndep ïa ka jingtohkit.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngi kyrmen ba ka sorkar kan shim khia halor kane ka jingeh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka jingïalang ka la long kaba seisoh bad don jingmut.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka kynhun nonghikai ka la ai jingmut na ka bynta ka jingpynbha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka jingïarap na ka tnat ka koit ka khiah ka long kaba kongsan.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka company ka la ïoh ka jingïaroh na ki nongshong shnong.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka kot phut u doktor ka pyni ba u nongpang u don ha ka jingkoit kaba bha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ka jingïaid ka jingpynlong project ka la long katkum ka por.
"Idioms, Proverbs & Cultural Expressions",Ym dei ban bam dohkha shwa ban ïohi ïa ka dur jong ka.
"Idioms, Proverbs & Cultural Expressions",Ka sngi kaba shit ka pynbna ïa ka por shong jingsah.
"Idioms, Proverbs & Cultural Expressions",U khla u ïaid tang lada ka lum ka khie bymjukut.
"Idioms, Proverbs & Cultural Expressions","Lada phi thiah bad u tyrut, phi kylluid jingim."
"Idioms, Proverbs & Cultural Expressions",Ka jinglong khuid ka pynpaw ïa ka mynsiem ba bha.
