Category,Sango Sentence
Grammar Core,A yeke ga na maboko lo.
Grammar Core,Lo ke ti lo na yo.
Grammar Core,Mo yeke fadere ti lo.
Grammar Core,Ala kué ti tene yeke yeke.
Grammar Core,A yeke sôngô na mwa.
Grammar Core,Mo tene na mbênî.
Grammar Core,Mo yeke wa na môlengê.
Grammar Core,Yeke sôngô ti kodro.
Grammar Core,Ala ke sôngô ti mwa.
Grammar Core,Mo tene ti sôngô.
Conversational Data,"— Balao, na wa? — Balao, mo tene na mbênî!"
Conversational Data,"— Ôko ayeke? — Ayeke, mo ke ti da."
Conversational Data,"— Gba na suku? — Balao, mo tene na lo."
Conversational Data,"— Awa, lo ke ti zîa? — Yé, mo tene na bangî."
Conversational Data,"— Ôko ke ti da? — Ala, mo yeke nzoni."
Conversational Data,"— Mo tene na yângâ? — Yângâ, mo na mû na yângâ."
Conversational Data,"— Ôko a ke ti kété? — Kété, mo tene na maboko."
Conversational Data,"— Lo ke na mû? — Balao, mo na mû."
Conversational Data,— Balao! — Balao lo!
Conversational Data,"— Lo tene na maboko? — Tene, mo yeke ga na lo."
Code-Switching & Multilingualism,Mo yeke na boutique ti achète ti pan.
Code-Switching & Multilingualism,Ala wa na marché ti prendre ti légumes.
Code-Switching & Multilingualism,Lo tene na classe ti bôbô.
Code-Switching & Multilingualism,Mo zîa na docteur ti rendez-vous.
Code-Switching & Multilingualism,"Bangui a yeke vilé ti mû, mo ke na lo."
Code-Switching & Multilingualism,Lo ke sérieux na travail ti lo.
Code-Switching & Multilingualism,"Ala don ti téléphone, a yeke appelé lo yeke môko."
Code-Switching & Multilingualism,Mo na fatigue après travail ti lo.
Code-Switching & Multilingualism,Lo ke prêt pour aller chez maman.
Code-Switching & Multilingualism,"Mo yeke busy lelo, wa dembo?"
Formal & Professional Speech,A yeke procès ti lo na bangî.
Formal & Professional Speech,Mo ke médecin ti maboko ti môlengê.
Formal & Professional Speech,Lo tene na réunion ti société.
Formal & Professional Speech,Mo yeke ti rédiger rapport ti travail.
Formal & Professional Speech,A ke document officiel ti gouvernement.
Formal & Professional Speech,Lo tene ti signer accord ti lo.
Formal & Professional Speech,Mo ke avocat ti titre officiel.
Formal & Professional Speech,Lo tene ti sôndô ti banque.
Formal & Professional Speech,Mo na présentation professionnelle.
Formal & Professional Speech,Lo tene na analyse technique ti kodro.
"Idioms, Proverbs & Cultural Expressions",Nzönî a teni nzönî.
"Idioms, Proverbs & Cultural Expressions",Mo yeke ti fala ti mû gbönî.
"Idioms, Proverbs & Cultural Expressions",Ganza sôngô a yeke ti tene.
"Idioms, Proverbs & Cultural Expressions",Mbi yeke ti pio ti lo na mbênî.
"Idioms, Proverbs & Cultural Expressions",Kété ti zîa ti lo ke ti bû.
"Idioms, Proverbs & Cultural Expressions",Mo sôngö na ngangu ti ôko.
"Idioms, Proverbs & Cultural Expressions","Ti ndï lo tene, ti bâa lo yeke."
"Idioms, Proverbs & Cultural Expressions",Mbênî a ke sôkô ti mbi.
"Idioms, Proverbs & Cultural Expressions",Mo yeke na sôkô ti mû.
"Idioms, Proverbs & Cultural Expressions",Mo ke na mû ti kûê.
Question-Answer Pairs,Nda mo wa? — Mo wa na kodro.
Question-Answer Pairs,"Nda lo tene? — Tene, mo ke ti sôngö."
Question-Answer Pairs,"Ôko mo ke na yângâ? — Balao, mo ke na mû."
Question-Answer Pairs,Nda mo sôngö? — Mbi yeke ti sôngö.
Question-Answer Pairs,"Nda lo ke ti fadere? — Balao, mo yeke ti fadere."
Question-Answer Pairs,Mo ke ti gué? — Mo gué na mû.
Question-Answer Pairs,"Lo tene na ôko? — Tene, mo yeke na mû."
Question-Answer Pairs,"Nda lo ke ti mû? — Yeke, lo ke na mû."
Question-Answer Pairs,"Ôko mo na zîa? — Zîa, mo ke na bangî."
Question-Answer Pairs,Nda mo yeke? — Mbi yeke na mû.
Commands & Instructions,Zîa na lo!
Commands & Instructions,Da ti kodro!
Commands & Instructions,Wa na mû!
Commands & Instructions,Sôngö ti mbi!
Commands & Instructions,Kété na mû!
Commands & Instructions,Tîmba ti lo!
Commands & Instructions,Benda lo!
Commands & Instructions,Fadere ti môlengê!
Commands & Instructions,Ganza ti mbi!
Commands & Instructions,Kombâ ti lo!
Named Entity Recognition (NER) Data,Mo wa na Bangui.
Named Entity Recognition (NER) Data,Lo tene ti UNESCO.
Named Entity Recognition (NER) Data,A yeke na Hôpital Général.
Named Entity Recognition (NER) Data,Ala yeke Jean-Pierre.
Named Entity Recognition (NER) Data,Lo wa na École Mandela.
Named Entity Recognition (NER) Data,A ke ti 2023.
Named Entity Recognition (NER) Data,Mo wa na Marché Central.
Named Entity Recognition (NER) Data,Lo tene ti Orange Centrafrique.
Named Entity Recognition (NER) Data,Mo ke ti 14 juillet.
Named Entity Recognition (NER) Data,Lo wa na Université de Bangui.
Sentiment Analysis Data,Mo ke ti mû ti môlengê!
Sentiment Analysis Data,Mbi yeke ti hînga lo.
Sentiment Analysis Data,Lo ke na mû ti tîmba.
Sentiment Analysis Data,Ala ke ti yângâ ti mbi.
Sentiment Analysis Data,Mo ke ti sôkô ti lo.
Sentiment Analysis Data,Mbi yeke ti bâa ti mû.
Sentiment Analysis Data,Lo ke na mû ti zîa.
Sentiment Analysis Data,Mbi yeke ti zia ti mû.
Sentiment Analysis Data,Mo ke ti tene ti mbi.
Sentiment Analysis Data,Mbi ke ti nzönî.
Paraphrased & Augmented Sentences,Mo wa na kodro.
Paraphrased & Augmented Sentences,Mo tene na kodro.
Paraphrased & Augmented Sentences,Ala wa na ti kodro.
Paraphrased & Augmented Sentences,Mo ke ti sôngö na kodro.
Paraphrased & Augmented Sentences,Mo yeke ti sôngö na ti kodro.
Paraphrased & Augmented Sentences,Mo ke ti sôngö na lo.
Paraphrased & Augmented Sentences,Mbi wa na bangî.
Paraphrased & Augmented Sentences,Mo wa na yângâ ti kodro.
Paraphrased & Augmented Sentences,Mo sôngö na kodro.
Paraphrased & Augmented Sentences,Lo wa na kodro.
