Category,Sentence
Grammar Core (Sentence Structures & Tenses),Nekk d-amekkan iṛuh.
Grammar Core (Sentence Structures & Tenses),Tettwara yid-s di tmeddit.
Grammar Core (Sentence Structures & Tenses),Ad nesɛu awal deg-s.
Grammar Core (Sentence Structures & Tenses),Ur ttɛawwad ara ihi.
Grammar Core (Sentence Structures & Tenses),Neḥwa ad nexdem aseggwas-a.
Grammar Core (Sentence Structures & Tenses),A t-nufa s tazmert.
Grammar Core (Sentence Structures & Tenses),Yella-d amezwaru s tusna.
Grammar Core (Sentence Structures & Tenses),Yettwasin iman-is ɣef wayen i d-yenna.
Grammar Core (Sentence Structures & Tenses),"Ma yella yezmer, ad ittwaddu."
Grammar Core (Sentence Structures & Tenses),"Tura, nefk-as awal-nni."
Conversational Data (Real-Life Dialogues & Exchanges),"— Azul fell-ak! — Azul, amek teqqareḍ?"
Conversational Data (Real-Life Dialogues & Exchanges),"— Mačči lxiṛ! — Aḥerbib, mačči d awal!"
Conversational Data (Real-Life Dialogues & Exchanges),"— Anwa iggʷ-as yefka-s? — Neč, nefk-as ihi."
Conversational Data (Real-Life Dialogues & Exchanges),— Amek ara nečču? — Ttxil aṛuḥ akken tebɣiḍ.
Conversational Data (Real-Life Dialogues & Exchanges),"— Tzemreḍ ad tawiḍ tura? — Ih, ad tawɣ tura."
Conversational Data (Real-Life Dialogues & Exchanges),— Anida tzemreḍ ad tawiḍ? — Ad rnuɣ-itt deg wagmar.
Conversational Data (Real-Life Dialogues & Exchanges),— Nekni d imdukal. — Azul fell-awen.
Conversational Data (Real-Life Dialogues & Exchanges),"— Xedmet ad tawiḍ? — Nekk, ad rnuɣ wakka."
Conversational Data (Real-Life Dialogues & Exchanges),"— Ihi, aɣilif. — Aɣilif ur yella."
Conversational Data (Real-Life Dialogues & Exchanges),— Matta txedmeḍ? — Deg taddart.
Code-Switching & Multilingualism,Nekɣ ad rnuɣ le projet tura.
Code-Switching & Multilingualism,"Ulac souci, ad nxeddem demain."
Code-Switching & Multilingualism,Tzemreḍ ad tawiḍ le dossier?
Code-Switching & Multilingualism,Neḥwa ad tsalleḍ ɣef lmeeting.
Code-Switching & Multilingualism,"C’est bon, ad teqqareḍ fell-as."
Code-Switching & Multilingualism,Kkes le fichier i d-ttwara.
Code-Switching & Multilingualism,Yella-d new update di app.
Code-Switching & Multilingualism,"Rnu ak taskant, please."
Code-Switching & Multilingualism,"Wala issue, ad nefk-it."
Code-Switching & Multilingualism,Project-agi yebɣa review.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Azray-agi yessefk ad yili s-tawuri tameẓlit.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Aɣrib-agi yufa-d azekka s tsensit.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tazwara n lɣaci ttwada di ɣefsin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Asentel n tmeddurt yettwasnen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ad nettwasen tiwuri n lḥeqq.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tasnefrit-a ttruɣ-d s-tayri n tmura.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Aɣelluy n leqraya yella-d amezwaru.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tazwart tella di tamedyazt i d-yufa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yufa-d tawuri i tɣellist.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Lḥeqq d argaz i d-yenna awal n tidett.
"Idioms, Proverbs & Cultural Expressions",Ur yezmir awal i ur yettwassefru.
"Idioms, Proverbs & Cultural Expressions","Aqli d waggur, aḥkem-as s taqsiṛt."
"Idioms, Proverbs & Cultural Expressions",Ila i ttruḥ ad yelli-t.
"Idioms, Proverbs & Cultural Expressions","Lḥub d asefru, ur yettwaddu."
"Idioms, Proverbs & Cultural Expressions",Tigri d amkan n ufus.
"Idioms, Proverbs & Cultural Expressions","Ula d akk i ttmeddun, ur ttufa ara."
"Idioms, Proverbs & Cultural Expressions",Arurad yella s tifrat.
"Idioms, Proverbs & Cultural Expressions","Mačči am weḥci, ur tḥemmil ara."
"Idioms, Proverbs & Cultural Expressions","Tura d akal, tura d-aqeddac."
"Idioms, Proverbs & Cultural Expressions","Amek ara fker, ihi seg wayen i t-waliḍ."
Question-Answer Pairs (FAQ & Contextual Understanding),— Anwa yellan deg taddart? — Yella At Muḥ.
Question-Answer Pairs (FAQ & Contextual Understanding),— Matta ad tawiḍ? — Deg sdat n wussan.
Question-Answer Pairs (FAQ & Contextual Understanding),— Amek ara tǧeḍ? — S wudem n tmurt.
Question-Answer Pairs (FAQ & Contextual Understanding),— Ma yella d acu i yella? — D awal i d-yenna.
Question-Answer Pairs (FAQ & Contextual Understanding),— Anida tzemreḍ ad tzedḍeɣ? — Deg usefru n tizi.
Question-Answer Pairs (FAQ & Contextual Understanding),— Anwa i yefka aman? — D ay aqbayli.
Question-Answer Pairs (FAQ & Contextual Understanding),"— Mačči d tidep? — Ih, tidep yella."
Question-Answer Pairs (FAQ & Contextual Understanding),"— Ma yella ttḥemmleḍ? — Ihi, ad ttazdem."
Question-Answer Pairs (FAQ & Contextual Understanding),— Anwa i d-yenna aḍris? — D At Lqadi.
Question-Answer Pairs (FAQ & Contextual Understanding),— Amek ad nexdem-itt? — S wayen i neḥwa.
Commands & Instructions (Imperative Sentences),Sselkem awal-nni!
Commands & Instructions (Imperative Sentences),Rnu tafat deg uzekka.
Commands & Instructions (Imperative Sentences),Kkes aselway seg tiggura!
Commands & Instructions (Imperative Sentences),Xedmet akken i d-yenna.
Commands & Instructions (Imperative Sentences),Erru ɣer taddart!
Commands & Instructions (Imperative Sentences),Fkem lḥub deg wul!
Commands & Instructions (Imperative Sentences),Rnu-d isefka i tesɛa.
Commands & Instructions (Imperative Sentences),"Seḥrez awal-inu, aɣilif."
Commands & Instructions (Imperative Sentences),Sder akken i d-yenna temna.
Commands & Instructions (Imperative Sentences),Ɣreḍ awal ur yettwasli.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Yufa-d Brahim deg Tizi Wezzu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tamurt n Ldzayer d tamezwarut.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aisha yewweḍ-as deg 1987.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Asekni n UNICEF yettwaslen.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Susa tella-d di wasen n wayyur.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Jamila teddu ɣer Paris.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Abrid n Akbou yella-d yefka.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tayri yella-d ɣef Mouloud Mammeri.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tama n At Yanni yebɣa awid.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tizi tura d tasga n Tudert.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Xas tḥemmleɣ, ur tebɣiɣ ara."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"S wul-iw, aḥemmam i d azizen."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ur ttɛeğ ara, yečča wul-iw."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ad tḥemleɣ tura, ula ma ur tebɣiḍ ara."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Neḥwa ttessusmi s afus.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),D acu i yufa-iw tura.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Abrid-agi yuli-d ḥezz.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nḥemmel asefru i d-yenna.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),D aɣrib i yufa-yi awal n tmurt.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tebɣiɣ a t-wali s tayri.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Neḥwa ad nexdem tura. → Tura, ad nexdem."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ad teqqareḍ fell-as. → Fell-as ad teqqareḍ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yella-d di taddart. → Di taddart yella-d.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nekk d-amekkan iṛuh. → D nekk iṛuh ɣer tɣawsa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nḥemmel tazwara. → Tazwara d amezwaru i nḥemmel.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Ttxil aṛuḥ akken tebɣiḍ. → Aṛuḥ akken tebɣiḍ, a txil."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ad rnuɣ it. → It ad rnuɣ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tura d nekk i d-yufa. → I d-yufa nekk tura.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ttxedmeḍ di taddart. → Di taddart ttxedmeḍ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yewweḍ as aman. → Aman yewweḍ-as.
