Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ia mappalettu surat é ri kantor camat.
Grammar Core (Sentence Structures & Tenses),Ia mappalettu-i surat é ri kantor camat.
Grammar Core (Sentence Structures & Tenses),Ia la mappalettu surat é ri kantor camat éngka éngkalinga.
Grammar Core (Sentence Structures & Tenses),Surat é dipalettu-i ri kantor camat ku ia.
Grammar Core (Sentence Structures & Tenses),De'na mappalettu surat é ri kantor camat.
Grammar Core (Sentence Structures & Tenses),"Narekko ia mappalettu surat é, urusanna mallepu."
Grammar Core (Sentence Structures & Tenses),Urusan é mappalettu-i ku ia ri wettu pole.
Grammar Core (Sentence Structures & Tenses),Ia mappalettu surat é saba nasaba urusanna penting.
Grammar Core (Sentence Structures & Tenses),"Riolo ia mappalettu surat é, ayeuna ia mallepu."
Grammar Core (Sentence Structures & Tenses),La dipalettu surat é narekko syaratna mallepu.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Aga kareba? B: Alhamdulillah, mapaccing kareba."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Lao ko ri pasar? B: Iye', lao jokka beli bale."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Iyaro buku mu? B: Iye', buku tugas ku."
Conversational Data (Real-Life Dialogues & Exchanges),A: Jam pira mappammula rapat é? B: Jam sapulo.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Manengko massuro? B: Iye', massuro ri guru."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Narekko pole, teleponi ka. B: Iye', pasti."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Engka masalahmu? B: De', cuman cappu tenaga."
Conversational Data (Real-Life Dialogues & Exchanges),A: Lao manengko? B: Lao ri rumahna Andi.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Makessing film é? B: Makessing lao, lucu."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Utti riolo? B: Iye', utti riolo ku."
Code-Switching & Multilingualism,Saya lao ri kantor saba ada meeting penting.
Code-Switching & Multilingualism,Besok kita mappalettu proposal ri dinas.
Code-Switching & Multilingualism,Deadline-na tugas é hari Jumat.
Code-Switching & Multilingualism,Ia sementara working ri Makassar.
Code-Switching & Multilingualism,Tolong kirim-i file-na lewat email.
Code-Switching & Multilingualism,Project-é sementara progress mallepu.
Code-Switching & Multilingualism,Kita harus fokus ri target tahun ini.
Code-Switching & Multilingualism,Update-na data é penting nasaba audit.
Code-Switching & Multilingualism,Ia follow-up urusan é ri kantor.
Code-Switching & Multilingualism,Schedule-na rapat é sudah berubah.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Rapat koordinasi dipammula jam sapulo ri kantor walikota.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Surat perjanjian é wajib ditandatangani ri atas materai.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pasien é mappasitinaja ri rumah sakit umum.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Laporan keuangan é mappalettu ri direksi tiap bulan.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kontrak kerja é berlaku salama dua tahun.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pengadilan negeri Makassar mappammula sidang é ri Senin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Teknologi informasi é mappatoppo sistem pelayanan publik.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Perusahaan é mappasitinaja standar keselamatan kerja.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dokumen legal é dipariksa ri bagian hukum.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Konsultasi medis é wajib narekko gejala na malomo.
"Idioms, Proverbs & Cultural Expressions",Resopa temmangingngi namalomo naletei pammase Dewata.
"Idioms, Proverbs & Cultural Expressions","Mali siparappe, rebba sipatokkong."
"Idioms, Proverbs & Cultural Expressions",Aja' mumaelo' masseddi ri lino narekko de' mabbicara.
"Idioms, Proverbs & Cultural Expressions",Iya gau'na iya balanna.
"Idioms, Proverbs & Cultural Expressions","Tellui riala sappo: tau, ade', sara'."
"Idioms, Proverbs & Cultural Expressions",Aja' mumaelo' natappa' ri tana asing.
"Idioms, Proverbs & Cultural Expressions","Narekko malempu', Dewata maega pammase."
"Idioms, Proverbs & Cultural Expressions",Siri' na pacce tennapodo dipiseng.
"Idioms, Proverbs & Cultural Expressions","Masseddi ri lino, mupakalebbi siri'mu."
"Idioms, Proverbs & Cultural Expressions",Aja' mumaelo' mappoji narekko de' mupakecca.
Question-Answer Pairs (FAQ & Contextual Understanding),Aga tujuanna upacara adat é? Tujuanna mappakalebbi leluhur.
Question-Answer Pairs (FAQ & Contextual Understanding),Ira'na ibu kota Sulawesi Selatan? Makassar.
Question-Answer Pairs (FAQ & Contextual Understanding),Pira lama kontrak é berlaku? Dua tahun.
Question-Answer Pairs (FAQ & Contextual Understanding),"Narekko la massuro, aga syaratna? Fotokopi KTP."
Question-Answer Pairs (FAQ & Contextual Understanding),Aga fungsi kantor desa? Mappalettu pelayanan masyarakat.
Question-Answer Pairs (FAQ & Contextual Understanding),Pira jumlah siswa ri kelas é? Tellumpulo.
Question-Answer Pairs (FAQ & Contextual Understanding),Aga alasanmu mappalettu surat? Nasaba urusan penting.
Question-Answer Pairs (FAQ & Contextual Understanding),Riolo pole jam pira? Jam sappa.
Question-Answer Pairs (FAQ & Contextual Understanding),Aga manfaat teknologi é? Mappatoppo komunikasi.
Question-Answer Pairs (FAQ & Contextual Understanding),"Narekko sakit, aga la dipigau'? Lao ri dokter."
Commands & Instructions (Imperative Sentences),Tolong buka-i pappang é.
Commands & Instructions (Imperative Sentences),Jokka lao ri pasar ayeuna.
Commands & Instructions (Imperative Sentences),Teleponi Andi ri sore é.
Commands & Instructions (Imperative Sentences),Pariksa-i dokumen é ri meja.
Commands & Instructions (Imperative Sentences),Tudangi tamu é ri ruang tamu.
Commands & Instructions (Imperative Sentences),Tulis-i laporan é ri buku.
Commands & Instructions (Imperative Sentences),Baca-i surat é riolo.
Commands & Instructions (Imperative Sentences),Simpan-i file é ri komputer.
Commands & Instructions (Imperative Sentences),Anta-i bale é ri dapur.
Commands & Instructions (Imperative Sentences),Tutup-i jendela é nasaba ujan.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Andi Makkasau mappammula usaha na ri Makassar.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Rapat é diadakan ri Kantor Gubernur Sulawesi Selatan.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Universitas Hasanuddin mappasitinaja mahasiswa baru.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Festival F8 Makassar dipammula ri bulan September.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",PT Semen Tonasa mappapole produksi na ri Pangkep.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ia lahir ri Bone ri tanggal 12 Mei 1995.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Masjid Raya Makassar mappammula salat Jumat jam 12.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Dinas Pendidikan Sulawesi Selatan mappalettu edaran resmi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Pantai Losari mappajokka wisatawan tiap hari.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bupati Wajo mappammula program pertanian anyar.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ia malomo ati nasaba lulus ujian.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),De'na senang ri hasil rapat é.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Saya bangga ri budaya Bugis.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ia marekko ati na nasaba masalah keluarga.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mappoji lao ri pelayanan é makessing.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Kecewa ku hasil pertandingan é.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ati ku mapaccing narekko mappoji guru.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ia makkutana ati ri kabar buruk é.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Kami malempu' ri keputusan é.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ia masseddi rasa syukur ri Dewata.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ia lao ri pasar melli bale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ia jokka ri pasar melli bale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ia melli bale ri pasar.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bale é dibeli ku ia ri pasar.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ri pasar ia melli bale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ia mappabelli bale ri pasar.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ia melli bale saba lapar.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Nasaba lapar, ia lao melli bale ri pasar."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ia melli bale ri pasar ri sore é.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ia lao ri pasar nasaba la melli bale.
