Category,Sentence (Swiss Standard German)
Grammar Core (Sentence Structures & Tenses),Ich werde morgen ins Kino gehen.
Grammar Core (Sentence Structures & Tenses),Gestern habe ich ein Buch gelesen.
Grammar Core (Sentence Structures & Tenses),"Wenn es regnet, bleibe ich zu Hause."
Grammar Core (Sentence Structures & Tenses),Könntest du mir bitte helfen?
Grammar Core (Sentence Structures & Tenses),Das Essen wurde von einem berühmten Koch zubereitet.
Grammar Core (Sentence Structures & Tenses),"Ich hätte gerne einen Kaffee, bitte."
Grammar Core (Sentence Structures & Tenses),"Er sagte, dass er morgen anrufen werde."
Grammar Core (Sentence Structures & Tenses),Wäre ich doch früher aufgestanden!
Grammar Core (Sentence Structures & Tenses),Die Stadt wurde 1848 gegründet.
Grammar Core (Sentence Structures & Tenses),"Hätte ich gewusst, dass du kommst, hätte ich Kuchen gemacht."
Conversational Data (Real-Life Dialogues & Exchanges),"Hey, wie geht's dir?"
Conversational Data (Real-Life Dialogues & Exchanges),"Mir geht’s gut, danke! Und dir?"
Conversational Data (Real-Life Dialogues & Exchanges),Können wir uns um 15 Uhr treffen?
Conversational Data (Real-Life Dialogues & Exchanges),"Ja klar, passt perfekt!"
Conversational Data (Real-Life Dialogues & Exchanges),Ich hätte gerne einen Cappuccino mit Hafermilch.
Conversational Data (Real-Life Dialogues & Exchanges),Wie war dein Wochenende?
Conversational Data (Real-Life Dialogues & Exchanges),Es war super! Ich war in den Bergen wandern.
Conversational Data (Real-Life Dialogues & Exchanges),Danke für deine Hilfe!
Conversational Data (Real-Life Dialogues & Exchanges),"Kein Problem, immer gerne!"
Conversational Data (Real-Life Dialogues & Exchanges),Hast du den neuen Film schon gesehen?
Code-Switching & Multilingualism,Ich habe gestern ein Meeting mit meinem Boss gehabt.
Code-Switching & Multilingualism,Kannst du mir den Laptop bringen?
Code-Switching & Multilingualism,Wir gehen heute Abend ins Cinema.
Code-Switching & Multilingualism,Ich muss das File noch updaten.
Code-Switching & Multilingualism,Das war ein echt cooles Event!
Code-Switching & Multilingualism,Hast du das neue Feature schon getestet?
Code-Switching & Multilingualism,Ich bestelle immer ein grande Latte.
Code-Switching & Multilingualism,Das Setup war total easy.
Code-Switching & Multilingualism,Ich habe ein gutes Feedback bekommen.
Code-Switching & Multilingualism,Wir haben ein neues Software-Update bekommen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Sehr geehrte Damen und Herren, ich danke Ihnen für Ihre Aufmerksamkeit."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bitte senden Sie uns die unterzeichneten Dokumente bis spätestens Freitag.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Gemäß unserer Vereinbarung wird die Zahlung bis Ende des Monats fällig.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Die Operation verlief ohne Komplikationen und der Patient erholt sich gut.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Diese Datenanalyse zeigt einen klaren Anstieg im letzten Quartal.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Im Anhang finden Sie die angeforderten Unterlagen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ich freue mich auf Ihre baldige Rückmeldung.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Unsere Firma legt großen Wert auf Nachhaltigkeit.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Die neue Datenschutzverordnung tritt nächste Woche in Kraft.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Könnten Sie mir bitte ein offizielles Angebot zusenden?
"Idioms, Proverbs & Cultural Expressions",Viele Köche verderben den Brei.
"Idioms, Proverbs & Cultural Expressions",Das ist nicht mein Bier.
"Idioms, Proverbs & Cultural Expressions",Aller Anfang ist schwer.
"Idioms, Proverbs & Cultural Expressions","Wer zuerst kommt, mahlt zuerst."
"Idioms, Proverbs & Cultural Expressions",Den Wald vor lauter Bäumen nicht sehen.
"Idioms, Proverbs & Cultural Expressions",Jetzt geht’s um die Wurst!
"Idioms, Proverbs & Cultural Expressions",Die Katze im Sack kaufen.
"Idioms, Proverbs & Cultural Expressions",Kleider machen Leute.
"Idioms, Proverbs & Cultural Expressions",Da liegt der Hund begraben.
"Idioms, Proverbs & Cultural Expressions","Wer im Glashaus sitzt, soll nicht mit Steinen werfen."
Question-Answer Pairs (FAQ & Contextual Understanding),Wie spät ist es? – Es ist halb drei.
Question-Answer Pairs (FAQ & Contextual Understanding),Wo ist die nächste Apotheke? – Gleich um die Ecke.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kann ich mit Karte zahlen? – Ja, natürlich."
Question-Answer Pairs (FAQ & Contextual Understanding),Wie lautet das WLAN-Passwort? – Es steht auf der Rückseite des Routers.
Question-Answer Pairs (FAQ & Contextual Understanding),Wie lange dauert die Fahrt nach Zürich? – Etwa eine Stunde.
Question-Answer Pairs (FAQ & Contextual Understanding),"Haben Sie eine Speisekarte? – Ja, bitte sehr."
Question-Answer Pairs (FAQ & Contextual Understanding),"Gibt es vegetarische Optionen? – Ja, wir haben einige vegane Gerichte."
Question-Answer Pairs (FAQ & Contextual Understanding),Wann öffnet das Museum? – Um 10 Uhr morgens.
Question-Answer Pairs (FAQ & Contextual Understanding),Was kostet ein Ticket? – 15 Franken pro Person.
Question-Answer Pairs (FAQ & Contextual Understanding),Wie kann ich Ihnen helfen? – Ich suche ein Geschenk für meine Mutter.
Commands & Instructions (Imperative Sentences),Bitte schalten Sie das Licht aus.
Commands & Instructions (Imperative Sentences),Lies dieses Buch bis morgen.
Commands & Instructions (Imperative Sentences),Geben Sie mir bitte Ihren Reisepass.
Commands & Instructions (Imperative Sentences),"Ruf mich an, wenn du da bist."
Commands & Instructions (Imperative Sentences),Öffne das Fenster!
Commands & Instructions (Imperative Sentences),Komm sofort hierher!
Commands & Instructions (Imperative Sentences),Folgen Sie mir bitte.
Commands & Instructions (Imperative Sentences),"Vergessen Sie nicht, die Tür abzuschließen."
