Category,Sentence
Grammar Core (Sentence Structures & Tenses),Ayer fui al mercado y compré frutas frescas.
Grammar Core (Sentence Structures & Tenses),Mañana iremos a la playa si el clima está bueno.
Grammar Core (Sentence Structures & Tenses),"Si tuviera más dinero, viajaría por todo el mundo."
Grammar Core (Sentence Structures & Tenses),El café fue servido por el camarero con rapidez.
Grammar Core (Sentence Structures & Tenses),"No he visto esa película, pero dicen que es excelente."
Grammar Core (Sentence Structures & Tenses),¿Cuánto tiempo llevas viviendo en Panamá?
Grammar Core (Sentence Structures & Tenses),"Cuando termine mis estudios, buscaré un buen trabajo."
Grammar Core (Sentence Structures & Tenses),Ojalá que puedas venir a la reunión esta noche.
Grammar Core (Sentence Structures & Tenses),No quiero salir hoy porque llueve mucho.
Grammar Core (Sentence Structures & Tenses),El profesor explicó la lección detalladamente ayer.
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Cómo estás? - Todo bien, gracias. ¿Y tú?"
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Me puedes ayudar con esto? - ¡Claro, dime qué necesitas!"
Conversational Data (Real-Life Dialogues & Exchanges),"- Oye, ¿quieres ir a comer algo? - Sí, vamos por un ceviche."
Conversational Data (Real-Life Dialogues & Exchanges),- ¡Feliz cumpleaños! - ¡Gracias! ¿Vienes a la fiesta?
Conversational Data (Real-Life Dialogues & Exchanges),"- Disculpa, ¿dónde queda la estación de buses? - A dos cuadras, a la derecha."
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Cómo estuvo tu día? - Fue largo, pero todo bien."
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Tienes cambio para un billete de veinte? - No, solo monedas."
Conversational Data (Real-Life Dialogues & Exchanges),- ¿Qué hiciste el fin de semana? - Fui a la playa con unos amigos.
Conversational Data (Real-Life Dialogues & Exchanges),- ¿Viste el partido anoche? - ¡Sí! Estuvo buenísimo.
Conversational Data (Real-Life Dialogues & Exchanges),- ¿A qué hora cierran las tiendas aquí? - A las ocho de la noche.
Code-Switching & Multilingualism,Voy a comprar el ticket para el show de esta noche.
Code-Switching & Multilingualism,El man del taxi me dijo que la tarifa era five dollars.
Code-Switching & Multilingualism,"Ella siempre dice 'bro', aunque no habla inglés bien."
Code-Switching & Multilingualism,Vamos a hacer un delivery en la tarde.
Code-Switching & Multilingualism,"Mami, préstame el charger para mi teléfono."
Code-Switching & Multilingualism,El meeting con el jefe es a las 3 pm.
Code-Switching & Multilingualism,¡Qué estrés! Tengo un deadline mañana.
Code-Switching & Multilingualism,El restaurante ofrece buffet los domingos.
Code-Switching & Multilingualism,Ese man tiene un flow muy cool.
