Category,Sentence (Bhojpuri)
Grammar Core,हम कल बाजार गइल रहीं।
Grammar Core,उ रउरा से पहिले आइल रहल।
Grammar Core,अगर बरखा होई त हम घर में रहीब।
Grammar Core,रउरा चिठ्ठी लिखतानी कि फोन करब?
Grammar Core,बचपन में हम रोज़ इहाँ आवत रहीं।
Grammar Core,तोहरे किताब टेबल पs राखल बा।
Grammar Core,हमनी के खेलब कि सिनेमा देखब?
Grammar Core,ओकरा के जानल ना गइल।
Grammar Core,रउरा हमके मदद करब?
Grammar Core,अगर समय मिलल त हम जरूर अइब।
Conversational Data,कइसन बानी? सब बढ़िया बा?
Conversational Data,"हाँ, हम ठीक बानी, रउरा का हाल बा?"
Conversational Data,आजका मौसम बड़ा सुहावन बा!
Conversational Data,का रउरा काल्हु पार्टी में जइब?
Conversational Data,"अरे ना, हमरा त बहुत काम बा!"
Conversational Data,"ठीक बा, फेरू मिलब!"
Conversational Data,चाय पीब कि कॉफी?
Conversational Data,"हमरा भूख लागल बा, कुछ खाई के मन बा!"
Conversational Data,"चल, चाट खाय चलीं!"
Conversational Data,रउरा कहाँ जा रहल बानी?
Code-Switching & Multilingualism,हम आज shopping करे बाजार गइल रहीं।
Code-Switching & Multilingualism,रउरा के पता बा कि यह meeting बहुत important बा।
Code-Switching & Multilingualism,Phone उठा के message कर दीं।
Code-Switching & Multilingualism,मेरा project कल submit करना है।
Code-Switching & Multilingualism,हमके एक laptop खरीदल बा।
Code-Switching & Multilingualism,"सुन, exam के preparation हो गइल?"
Code-Switching & Multilingualism,Dinner ready बा कि अबहिन cooking चल रहल बा?
Code-Switching & Multilingualism,Online class में assignment देल गइल बा।
Code-Switching & Multilingualism,"Battery low बा, charge लगाइ दीं।"
Code-Switching & Multilingualism,Weekend में movie चलल जाई?
Formal & Professional Speech,कृपया हमके एह बारे में अउरी जानकारी दिहीं।
Formal & Professional Speech,आज के मीटिंग १० बजे शुरू होई।
Formal & Professional Speech,हम ई रिपोर्ट काल्हु तक जमा कर देब।
Formal & Professional Speech,"डॉक्टर साहब, हमके बुखार बा।"
Formal & Professional Speech,अगला सम्मेलन पटना में होई।
Formal & Professional Speech,एग्रीमेंट के कॉपी हम भेज देले बानी।
Formal & Professional Speech,कृपया मेल के जवाब जल्दी दिहीं।
Formal & Professional Speech,हम अभ्यर्थन के पात्र बानी।
Formal & Professional Speech,आपका खाता सत्यापित हो गइल बा।
Formal & Professional Speech,भविष्य में एह गलती से बचे के प्रयास करब।
"Idioms, Proverbs & Cultural Expressions","जवन बोइब, तवन काटब।"
"Idioms, Proverbs & Cultural Expressions",ऊ दिन में तारा देखे लागल बा।
"Idioms, Proverbs & Cultural Expressions",अपना खेत में कुत्ता के रखवारी बा।
"Idioms, Proverbs & Cultural Expressions",ऊ लहटूरा के खेल खेलत बा।
"Idioms, Proverbs & Cultural Expressions",समय के मार केहू ना सह सकल।
"Idioms, Proverbs & Cultural Expressions","धन के गरमी जइसे आवेला, उहें जइसे जाला।"
"Idioms, Proverbs & Cultural Expressions",करत करत अभ्यास के जोगी होत।
"Idioms, Proverbs & Cultural Expressions",ऊ अन्हर में तीर मार रहल बा।
"Idioms, Proverbs & Cultural Expressions",छोटका मुँह बड़का बात!
"Idioms, Proverbs & Cultural Expressions",एतना पानी भरल बा कि नाव चल सके।
Question-Answer Pairs,रउरा कहाँ से बानी? | हम बनारस से बानी।
Question-Answer Pairs,कहवा जइब? | हम बजार जइब।
Question-Answer Pairs,आज तारीख का बा? | आज १६ मार्च बा।
Question-Answer Pairs,"केहू देखल बा? | हँ, ऊ ओहिजा खड़ा बा।"
Question-Answer Pairs,रउरा केतना भाई-बहिन बानी? | हम दू गो बानी।
Question-Answer Pairs,तहरा का चाहीं? | हमके चाय चाहीं।
