Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Nikah nitekiti mostlah wan axan nimosiyawia se achi.
Grammar Core (Sentence Structures & Tenses),Yalwah onikochki temprano porke semi onisiwiyaya.
Grammar Core (Sentence Structures & Tenses),Mostlah tiaskeh tianquis para tikowaskeh xochitl wan chiltepin.
Grammar Core (Sentence Structures & Tenses),"Tla tikpiyas tiempo, techpalehuis ika n tlapowalistli."
Grammar Core (Sentence Structures & Tenses),"Amo nikneki nimitzkwesos, san nikneki timomachtiskeh kwale."
Grammar Core (Sentence Structures & Tenses),N kalmeh mochihkeh ika kuawitl wan tepetl.
Grammar Core (Sentence Structures & Tenses),Nisiwatl kipaka n tilma wan konetl kimati keniw sekipewa.
Grammar Core (Sentence Structures & Tenses),"Tikittah n mixtli, wan niman pehua kiawi."
Grammar Core (Sentence Structures & Tenses),Onechilhuihkeh ma niyawi Huejutla para nitlapowas ika notata.
Grammar Core (Sentence Structures & Tenses),Ma timosewikan achi porke n ohtli katki wehka.
Conversational Data (Real-Life Dialogues & Exchanges),"—Tlen tikchiwa, nokni? —Nimochihchiwa para niyas escuela."
Conversational Data (Real-Life Dialogues & Exchanges),"—Kuali tonali, nana. —Kuali tonali, xikalaki wan ximosewi."
Conversational Data (Real-Life Dialogues & Exchanges),"—Kanih tias axan? —Nias ich tianquis, nikowas etl."
Conversational Data (Real-Life Dialogues & Exchanges),"—Titechpalehuis ika n bolsa? —Kema, nimitzpalehuis niman."
Conversational Data (Real-Life Dialogues & Exchanges),—Tikmati kanih kah n tepos? —Kah itenko n kali wehwey.
Conversational Data (Real-Life Dialogues & Exchanges),"—Amo nikkaki kwale. —Xinechilwi ok sepa, ika yolyamanik."
Conversational Data (Real-Life Dialogues & Exchanges),—Tlenon tikneki tikwas? —Nikneki tamali wan atoli.
Conversational Data (Real-Life Dialogues & Exchanges),"—Yowak tikochis? —Kema, porke mostlah nikpiya miak tikitl."
Conversational Data (Real-Life Dialogues & Exchanges),"—Tikittak n xochitl? —Kuali, semi chipawak motta."
Conversational Data (Real-Life Dialogues & Exchanges),"—Timoneki toyekan? —Amo, san nimosewia nikan."
Code-Switching & Multilingualism,"Axan nipiya meeting ika maestro, pero satepan nias ich tianquis."
Code-Switching & Multilingualism,"Nokonetsin kitoa homework, wan nikpalehuia ika n lectura."
Code-Switching & Multilingualism,"Para n proyecto, tikneki datos limpios wan se modelo kwale."
Code-Switching & Multilingualism,Mi teléfono amo kipiya señal nikah itich n tepetl.
Code-Switching & Multilingualism,N doctor onechilwi ma nikchiwa ejercicio cada mañana.
Code-Switching & Multilingualism,"Techsupport onechnankili tarde, pero problema yotikchiwkeh fix."
Code-Switching & Multilingualism,N estudiante okichiw n examen online wan niman okititlani.
