Categories,Sentences
Grammar Core,Mɛ kɔ́ akɔ́ anɔ́ ɔ̀.
Grammar Core,Ŋwà bɛ́ di abɛ́ blɔ̀.
Grammar Core,Ɔ́ kɔ́ɔ̀ sukùlɛ́ yè.
Grammar Core,Mɛ̀ n kɔ́ akɔ́ anɔ́.
Grammar Core,Ɔ̀ bé kɔ́ sukùlɛ́ bɛ́.
Grammar Core,Yà kɔ́ɔ̀ akɔ́ nà ànɔ́.
Grammar Core,Blɔ̀ nà diɛ̀ kɔ́ɔ̀ mɛ̀.
Grammar Core,Mɛ̀ wà di abɛ́.
Grammar Core,Ɔ̀ n bé di blɔ̀.
Grammar Core,Anɔ́ bé tɔ́ kɔ́ɔ̀.
Conversational Data,"A: Wà sù? B: Mɛ̀ sù kɛ́, wò nɔ̀?"
Conversational Data,A: Wà kɔ́ hɛn? B: Mɛ̀ kɔ́ akɔ́.
Conversational Data,A: Ŋwà bé yà? B: Ɔ̀ bé kɛ́.
Conversational Data,A: Wà di blɔ̀? B: Mɛ̀ di blɔ̀ nà.
Conversational Data,A: Su? B: Su kɛ́.
Conversational Data,"A: Wà bɛ́ kɔ́ sukùlɛ́? B: Yè, mɛ̀ bé kɔ́."
Conversational Data,A: Ɔ̀ bé hɛn? B: Ɔ̀ bé awlɛ́.
Conversational Data,A: Wà wà? B: Mɛ̀ wà nɔ̀.
Conversational Data,"A: Yà tɛ́? B: Yè, yà tɛ́ kɛ́."
Conversational Data,A: Wà di abɛ́? B: Mɛ̀ n di.
Code-Switching & Multilingualism,Mɛ̀ kɔ́ meeting anɔ́ ɔ̀.
Code-Switching & Multilingualism,Ɔ̀ bé préparer abɛ́ nà.
Code-Switching & Multilingualism,Yà kɔ́ marché nà cash.
Code-Switching & Multilingualism,Mɛ̀ n download file nɔ̀.
Code-Switching & Multilingualism,Ɔ̀ bé appeler ŋwà yè.
Code-Switching & Multilingualism,Anɔ́ bé confirmer rendez-vous.
Code-Switching & Multilingualism,Mɛ̀ kɔ́ bureau yè.
Code-Switching & Multilingualism,Ɔ̀ bé signer document nà.
Code-Switching & Multilingualism,Yà bé organiser fête nɔ̀.
Code-Switching & Multilingualism,Mɛ̀ bé envoyer message.
Formal & Professional Speech,"Mɛ̀ srɛ́ wò, ma kɛ́ adwuma nà."
Formal & Professional Speech,Ɔ̀ bé diɛ̀ asɛ̀ nà ɔman.
Formal & Professional Speech,Mɛ̀ kɔ́ asɔre yè srɛ́.
Formal & Professional Speech,Blɔ̀ bé fa nà sika.
Formal & Professional Speech,Mɛ̀ srɛ́ asɛ̀ kɛ́ nɔ̀.
Formal & Professional Speech,Ɔ̀ bé tɔ́ akɔ́ nà ɔman.
Formal & Professional Speech,Mɛ̀ bé di asɛ̀ fɛ́.
Formal & Professional Speech,Yà bé kɔ́ hopital yè.
Formal & Professional Speech,Ɔ̀ bé kɔ́ tribunal yè.
Formal & Professional Speech,"Mɛ̀ srɛ́ wò, ma di akɛ́."
"Idioms, Proverbs & Cultural Expressions",Anɔ́ kɔ́ nà wura bɔ̀.
"Idioms, Proverbs & Cultural Expressions",Blɔ̀ di nà sika kɔ́.
"Idioms, Proverbs & Cultural Expressions",Wà di abɛ́ nà ɔ̀.
"Idioms, Proverbs & Cultural Expressions",Ŋwà bé tɔ́ kɔ́ɔ̀ su.
"Idioms, Proverbs & Cultural Expressions",Ɔ̀ bé di nà yà kɔ́.
"Idioms, Proverbs & Cultural Expressions",Mɛ̀ bé yà nà kɛ́.
"Idioms, Proverbs & Cultural Expressions",Anɔ́ bé kɔ́ nà su kɛ́.
"Idioms, Proverbs & Cultural Expressions",Yà di blɔ̀ nà anɔ́.
"Idioms, Proverbs & Cultural Expressions",Ɔ̀ bé fa nà wura.
"Idioms, Proverbs & Cultural Expressions",Mɛ̀ di su nà yà.
Question-Answer Pairs,Wà kɔ́ hɛn? Mɛ̀ kɔ́ akɔ́.
Question-Answer Pairs,Ŋwà bé hɛn? Ɔ̀ bé awlɛ́.
Question-Answer Pairs,Wà di hɛn? Mɛ̀ di abɛ́.
Question-Answer Pairs,Sukùlɛ́ bé hɛn? Ɔ̀ bé Bouaké.
Question-Answer Pairs,Wà srɛ́ hɛn? Mɛ̀ srɛ́ sika.
Question-Answer Pairs,Ŋwà tɛ́? Ɔ̀ tɛ́ kɛ́.
Question-Answer Pairs,Wà wà hɛn? Mɛ̀ wà awlɛ́.
Question-Answer Pairs,Blɔ̀ bé hɛn? Ɔ̀ bé nà sika.
Question-Answer Pairs,Wà kɔ́ yè? Mɛ̀ kɔ́ sukùlɛ́.
Question-Answer Pairs,Ɔ̀ bé di hɛn? Ɔ̀ bé di blɔ̀.
Commands & Instructions,Kɔ́ akɔ́!
Commands & Instructions,Di abɛ́!
Commands & Instructions,Fa blɔ̀ ma mɛ̀!
Commands & Instructions,Kɔ́ sukùlɛ́!
Commands & Instructions,Ma sika nɔ̀!
Commands & Instructions,Tɔ́ akɔ́!
Commands & Instructions,Srɛ́ wò!
Commands & Instructions,Kɛ́ adwuma!
Commands & Instructions,Yà kɔ́!
Commands & Instructions,Fa su ma ɔ̀!
Named Entity Recognition (NER) Data,Ɔ̀ bé Bouaké anɔ́ ɔ̀.
Named Entity Recognition (NER) Data,Mɛ̀ kɔ́ Abidjan yè.
Named Entity Recognition (NER) Data,Yà bé Sakassou nɔ̀.
Named Entity Recognition (NER) Data,Ɔ̀ bé kɔ́ Côte d’Ivoire.
Named Entity Recognition (NER) Data,Mɛ̀ bé kɔ́ Université Félix Houphouët-Boigny.
Named Entity Recognition (NER) Data,Ɔ̀ bé Kofi anɔ́ ɔ̀.
Named Entity Recognition (NER) Data,Yà bé Ama nɔ̀.
Named Entity Recognition (NER) Data,Mɛ̀ bé kɔ́ Bandama yè.
Named Entity Recognition (NER) Data,Ɔ̀ bé 2026 nɔ̀.
Named Entity Recognition (NER) Data,Mɛ̀ bé kɔ́ ONU nɔ̀.
Sentiment Analysis Data,Mɛ̀ di blɔ̀ fɛ́.
Sentiment Analysis Data,Ɔ̀ bé kɛ́ kɛ́.
Sentiment Analysis Data,Mɛ̀ n di abɛ́.
Sentiment Analysis Data,Yà bé kɛ́ nɔ̀.
Sentiment Analysis Data,Ɔ̀ bé di asɛ̀ fɛ́.
Sentiment Analysis Data,Mɛ̀ bé yà kɛ́.
Sentiment Analysis Data,Ɔ̀ bé su kɛ́.
Sentiment Analysis Data,Mɛ̀ bé di blɔ̀ nà fɛ́.
Sentiment Analysis Data,Yà bé tɛ́ kɛ́.
Sentiment Analysis Data,Ɔ̀ bé wà kɛ́.
Paraphrased & Augmented Sentences,Mɛ̀ kɔ́ akɔ́ nà anɔ́.
Paraphrased & Augmented Sentences,Anɔ́ ɔ̀ mɛ̀ kɔ́ akɔ́.
Paraphrased & Augmented Sentences,Mɛ̀ di abɛ́ nɔ̀.
Paraphrased & Augmented Sentences,Abɛ́ mɛ̀ di nɔ̀.
Paraphrased & Augmented Sentences,Ɔ̀ bé kɔ́ sukùlɛ́ nɔ̀.
Paraphrased & Augmented Sentences,Sukùlɛ́ ɔ̀ bé kɔ́.
Paraphrased & Augmented Sentences,Mɛ̀ srɛ́ sika nɔ̀.
Paraphrased & Augmented Sentences,Sika mɛ̀ srɛ́.
Paraphrased & Augmented Sentences,Ɔ̀ bé di blɔ̀ fɛ́.
Paraphrased & Augmented Sentences,Blɔ̀ ɔ̀ bé di fɛ́.
