Categories,Sentences
Grammar Core,মই আজি বই পড়িছোঁ।
Grammar Core,তুমি কাল বিদ্যালয়ত গইছিলা।
Grammar Core,সে আগলি বছৰ নতুন ঘৰ বানাব।
Grammar Core,"আমরা যদি সময় পাইতাম, তেন্তে সহায় করিতাম।"
Grammar Core,মই কামটো সম্পূর্ণ নকৰোঁ।
Grammar Core,চিঠিখন শিক্ষকদ্বারা লিখা হৈছিল।
Grammar Core,তুমি এতিয়া কি কৰিছা?
Grammar Core,তারা গাঁওত উৎসৱ উদযাপন কৰি আছে।
Grammar Core,মই আগতে এই কথা শুনিছিলোঁ।
Grammar Core,সে কেতিয়াবা সত্য কথা নকয়।
Conversational Data,তুমি কেতিয়া আহিলা? মই বহুত সময় ধৰি অপেক্ষা কৰিছোঁ।
Conversational Data,আজিৰ বজাৰ দাম কেনেকুৱা আছিল?
Conversational Data,মই ভাবিছিলোঁ তুমি মোক ফোন কৰিবা।
Conversational Data,"চল, একেলগে চাহ খাবলৈ যাওঁ।"
Conversational Data,তুমি কেনেকুৱা আছা এতিয়া?
Conversational Data,মোৰ মত মতে এইটো ভাল সিদ্ধান্ত।
Conversational Data,আজি ৰাতি ছবি চাবা নেকি?
Conversational Data,তুমি কিয় দেৰী কৰিলে?
Conversational Data,"ঠিক আছে, পাছত কথা পাতিম।"
Conversational Data,মই তোমাৰ লগত একমত নহোঁ।
Code-Switching & Multilingualism,মই আজিৰ meeting-ত উপস্থিত আছিলোঁ।
Code-Switching & Multilingualism,তুমি report-টো কালিৰ ভিতৰত জমা দিবা।
Code-Switching & Multilingualism,এই project-টো বহুত challenging।
Code-Switching & Multilingualism,মই online class লৈ আছোঁ।
Code-Switching & Multilingualism,তারা office-ত late হৈ গল।
Code-Switching & Multilingualism,এই idea-টো practical নহয়।
Code-Switching & Multilingualism,মই file-টো upload কৰি দিলোঁ।
Code-Switching & Multilingualism,তুমি feedback দিয়া নেকি?
Code-Switching & Multilingualism,আমরা team-এ মিলি কাম কৰিছোঁ।
Code-Switching & Multilingualism,এই system-টো upgrade কৰিব লাগিব।
Formal & Professional Speech,আপোনাৰ আবেদনপত্ৰ গৃহীত কৰা হৈছে।
Formal & Professional Speech,এই চুক্তিখন আইন অনুসাৰে বৈধ।
Formal & Professional Speech,ৰোগীৰ অৱস্থা এতিয়া স্থিৰ আছে।
Formal & Professional Speech,সভাৰ সিদ্ধান্ত অনুসাৰে পৰিবর্তন কৰা হ'ব।
Formal & Professional Speech,প্ৰযুক্তিগত সমস্যাৰ বাবে সেৱা বন্ধ আছিল।
Formal & Professional Speech,আপোনাৰ সহযোগিতাৰ বাবে ধন্যবাদ জনাইছোঁ।
Formal & Professional Speech,এই প্ৰতিবেদনখন যথাযথ পৰ্যালোচনা কৰা হৈছে।
Formal & Professional Speech,অনুগ্ৰহ কৰি নিৰ্দিষ্ট সময়ত উপস্থিত থাকিব।
Formal & Professional Speech,সংস্থাটোৱে নতুন নীতি ঘোষণা কৰিলে।
Formal & Professional Speech,অভিযোগটো তদন্তৰ অধীনত আছে।
"Idioms, Proverbs & Cultural Expressions",হাতৰ পাখি থাকিলে উৰিব পাৰি।
"Idioms, Proverbs & Cultural Expressions",চোখে দেখা পাহাৰ নাছিলে।
"Idioms, Proverbs & Cultural Expressions",মাথাত আকাশ ভাঙি পৰিল।
"Idioms, Proverbs & Cultural Expressions",ধৈৰ্য্য ধৰা মানে জয়ৰ অর্ধেক।
"Idioms, Proverbs & Cultural Expressions",বতাহত দিয়া কথা উৰি যায়।
"Idioms, Proverbs & Cultural Expressions",মুখে মধু অন্তৰে বিষ।
"Idioms, Proverbs & Cultural Expressions",যাৰ লাঠি তাৰ ভৈঁসী।
"Idioms, Proverbs & Cultural Expressions",পানীত থাকি কুম্ভীৰৰ লগত বৈৰী নহয়।
