Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mi na lo kasuwa yau domin na sayi hatsi ga gida.
Grammar Core (Sentence Structures & Tenses),"Mi lo kasuwa jiya, amma ruwan sama ya dawo da ni da wuri."
Grammar Core (Sentence Structures & Tenses),Mi za lo kasuwa gobe idan hanya ta yi kyau.
Grammar Core (Sentence Structures & Tenses),Mi ba lo kasuwa ba saboda aiki ya yi yawa a gida.
Grammar Core (Sentence Structures & Tenses),"Idan uba ya kira ni, mi za dawo da sauri."
Grammar Core (Sentence Structures & Tenses),Abinci an dafa shi kafin yara suka dawo daga gona.
Grammar Core (Sentence Structures & Tenses),Muna karanta littafi a ƙarƙashin itacen doka.
Grammar Core (Sentence Structures & Tenses),Sun gama aikin gona tun kafin rana ta faɗi.
Grammar Core (Sentence Structures & Tenses),Ke na son ki koya sabon waƙa ta Gwari.
Grammar Core (Sentence Structures & Tenses),Ba za mu manta da maganar dattawa ba.
Conversational Data (Real-Life Dialogues & Exchanges),"Agbowolona, lafiya lau, kai fa kana zaune lafiya?"
Conversational Data (Real-Life Dialogues & Exchanges),"Hagyifye, mi tashi da wuri domin mu je gona tare."
Conversational Data (Real-Life Dialogues & Exchanges),"Ma'abei, shiga gida ka huta kafin mu fara magana."
Conversational Data (Real-Life Dialogues & Exchanges),Yau kasuwa ta cika sosai; me ka saya a can?
Conversational Data (Real-Life Dialogues & Exchanges),"Na sayi dawa da gyaɗa, amma ban samu zuma ba."
Conversational Data (Real-Life Dialogues & Exchanges),Ka ji labarin bikin suna da za a yi a Minna?
Conversational Data (Real-Life Dialogues & Exchanges),"Eh, zan je idan aikin makaranta ya ƙare da wuri."
Conversational Data (Real-Life Dialogues & Exchanges),Yara sun tambayi kaka ya ba su tatsuniya kafin barci.
Conversational Data (Real-Life Dialogues & Exchanges),"Kaka ya ce su zauna shiru, sannan ya fara labarin kura."
Conversational Data (Real-Life Dialogues & Exchanges),"Sai'nsu, Allah ya ba mu lafiya har gari ya waye."
Code-Switching & Multilingualism,Mi send sakon WhatsApp ga Musa bayan taron ƙauye.
Code-Switching & Multilingualism,Amina ta ce meeting zai fara da ƙarfe goma a gidan hakimi.
Code-Switching & Multilingualism,"Yaro ya rubuta homework ɗinsa, sannan ya tafi wasa da abokai."
Code-Switching & Multilingualism,Direba ya ce fuel ya ƙare kusa da hanyar Bosso.
Code-Switching & Multilingualism,Malama ta yi explain darasin lissafi cikin Gwari domin kowa ya gane.
Code-Switching & Multilingualism,Mun je office ɗin lafiya domin ɗaukar takardar rijista.
Code-Switching & Multilingualism,Ka charge waya kafin network ya ɓace a kauye.
Code-Switching & Multilingualism,Fatima ta ce price ɗin gero ya tashi a kasuwar Sabon Gari.
Code-Switching & Multilingualism,"Doctor ya rubuta prescription, amma ya yi magana da marar lafiya cikin Gwari."
Code-Switching & Multilingualism,Team ɗin matasa ya shirya cleanup a bakin rafi ranar Asabar.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Da fatan za ku gabatar da rahoton aikin kafin ƙarshen mako.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kamfani zai biya ma'aikata bayan an tabbatar da bayanan asusun banki.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Likita ya nemi marar lafiya ya sha magani sau biyu a rana.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Alƙali ya saurari shaidu kafin ya bayyana hukunci a kotu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Injiniya ya duba tsarin gada domin tabbatar da tsaro.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Malami ya rubuta sakamakon jarrabawa cikin kundin makaranta.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ma'aikacin banki ya bayyana sharuddan rancen kasuwanci a hankali.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kwamitin lafiya ya nemi jama'a su tsaftace rijiyoyin ruwa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mai gudanarwa ya aika da wasiƙar gayyata ga shugabannin unguwa.
