Category,Sentence
Grammar Core (Sentence Structures & Tenses),J’vas au magasin demain.
Grammar Core (Sentence Structures & Tenses),Y’avait ben du monde au centre d’achats hier.
Grammar Core (Sentence Structures & Tenses),"Si j’avais su, j’aurais pas venu."
Grammar Core (Sentence Structures & Tenses),On va-t-y pêcher ou ben non on reste icitte?
Grammar Core (Sentence Structures & Tenses),"C’t’été, on va prendre des vacances au Cap-Breton."
Grammar Core (Sentence Structures & Tenses),Elle m’a dit qu’elle pouvait pas venir à cause de la tempête.
Grammar Core (Sentence Structures & Tenses),Faudrait que tu parles à ton boss avant de décider ça.
Grammar Core (Sentence Structures & Tenses),J’suis après travailler su’ mon projet.
Grammar Core (Sentence Structures & Tenses),Les enfants sont ben excités parce qu’y a pas d’école demain.
Grammar Core (Sentence Structures & Tenses),Ça fait longtemps que j’ai pas mangé une poutine comme ça!
Conversational Data (Real-Life Dialogues & Exchanges),Allô! Quoi d’neuf aujourd’hui?
Conversational Data (Real-Life Dialogues & Exchanges),R’gardons ça ensemble pour voir c’qu’on peut faire.
Conversational Data (Real-Life Dialogues & Exchanges),T’as entendu parler du festival acadien c’t’année?
Conversational Data (Real-Life Dialogues & Exchanges),"Viens donc chez-nous, on va prendre un café!"
Conversational Data (Real-Life Dialogues & Exchanges),"Excuse-moi, peux-tu m’aider avec ça?"
Conversational Data (Real-Life Dialogues & Exchanges),C’est où qu’on se rencontre tantôt?
Conversational Data (Real-Life Dialogues & Exchanges),Hey! Ça fait longtemps qu’on s’est vu!
Conversational Data (Real-Life Dialogues & Exchanges),Tu veux-tu qu’on prenne une marche après souper?
Conversational Data (Real-Life Dialogues & Exchanges),J’ai oublié ma clé! Peux-tu m’ouvrir la porte?
Conversational Data (Real-Life Dialogues & Exchanges),T’as-tu déjà mangé du fricot acadien?
Code-Switching & Multilingualism,Je vais au store acheter du lait.
Code-Switching & Multilingualism,On chill-tu ensemble c’t’après-midi?
Code-Switching & Multilingualism,Mon char est parked devant la maison.
Code-Switching & Multilingualism,Il faut que je call mon boss pour lui dire.
Code-Switching & Multilingualism,T’as-tu downloadé l’application déjà?
Code-Switching & Multilingualism,"Hier soir, c’était full cool au party."
Code-Switching & Multilingualism,J’peux-tu borrow ton chargeur?
Code-Switching & Multilingualism,On va écouter Netflix après souper.
Code-Switching & Multilingualism,Le road trip était insane!
Code-Switching & Multilingualism,J’aime ben ça chatter en ligne.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Veuillez consulter les termes et conditions avant de signer.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Selon le diagnostic, le patient devra suivre un traitement."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La réunion est prévue pour 10h dans la salle de conférence.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nous devons respecter les normes de confidentialité.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ce rapport analyse l’impact économique de la pêche.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Merci d’envoyer votre candidature avant la date limite.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nous allons discuter des prévisions budgétaires.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Toute transaction doit être enregistrée dans le système.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Les règlements municipaux interdisent le stationnement ici.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Veuillez patienter, un représentant sera avec vous sous peu."
"Idioms, Proverbs & Cultural Expressions",T’as le beurre pis l’argent du beurre!
"Idioms, Proverbs & Cultural Expressions",Quand les poules auront des dents.
"Idioms, Proverbs & Cultural Expressions",C’est pas la mer à boire!
"Idioms, Proverbs & Cultural Expressions",Parler à travers son chapeau.
"Idioms, Proverbs & Cultural Expressions",Mieux vaut tard que jamais.
"Idioms, Proverbs & Cultural Expressions",Être dans le jus!
"Idioms, Proverbs & Cultural Expressions",Mettre de l’eau dans son vin.
"Idioms, Proverbs & Cultural Expressions",Tomber en amour.
"Idioms, Proverbs & Cultural Expressions",Courir après sa queue.
"Idioms, Proverbs & Cultural Expressions",Avoir le cœur sur la main.
Question-Answer Pairs (FAQ & Contextual Understanding),Où c’est qu’on peut trouver du bon poisson frais ici?
Question-Answer Pairs (FAQ & Contextual Understanding),Pourquoi le ciel est bleu?
Question-Answer Pairs (FAQ & Contextual Understanding),Combien de temps ça prend pour aller à Moncton?
Question-Answer Pairs (FAQ & Contextual Understanding),"Comment ça marche, ce truc-là?"
Question-Answer Pairs (FAQ & Contextual Understanding),Pourquoi est-ce qu’on dit ‘fricot’ au lieu de ‘ragoût’ en Acadie?
Question-Answer Pairs (FAQ & Contextual Understanding),Qu’est-ce qui rend l’Acadie unique?
Question-Answer Pairs (FAQ & Contextual Understanding),Qui a fondé la première université acadienne?
Question-Answer Pairs (FAQ & Contextual Understanding),Quelle est la meilleure saison pour visiter les Îles-de-la-Madeleine?
Question-Answer Pairs (FAQ & Contextual Understanding),Peux-tu me raconter une légende acadienne?
Question-Answer Pairs (FAQ & Contextual Understanding),Comment je peux améliorer mon accent acadien?
Commands & Instructions (Imperative Sentences),"Passe-moi le sel, s’il te plaît."
Commands & Instructions (Imperative Sentences),"Ouvre la porte, y fait frette!"
Commands & Instructions (Imperative Sentences),Éteins la lumière avant de partir.
Commands & Instructions (Imperative Sentences),"Ferme la fenêtre, le vent rentre!"
Commands & Instructions (Imperative Sentences),Dis-moi la vérité.
Commands & Instructions (Imperative Sentences),Appelle-moi quand t’arrives.
Commands & Instructions (Imperative Sentences),"Viens icitte, j’ai quelque chose à te montrer."
Commands & Instructions (Imperative Sentences),"Prends ton temps, y’a pas d’pressé."
Commands & Instructions (Imperative Sentences),Fais attention sur la route!
Commands & Instructions (Imperative Sentences),Laisse-moi tranquille un peu!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Moncton est la plus grande ville du Nouveau-Brunswick.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Évangéline et Gabriel sont des personnages célèbres de la littérature acadienne.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Le Grand Dérangement a eu lieu en 1755.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",La mer des Sables est située à l’Île-du-Prince-Édouard.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Le festival acadien de Caraquet attire des milliers de visiteurs.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Louisiane a une grande communauté cadienne.
