Category,Sentence (Latvian)
Grammar Core (Sentence Structures & Tenses),Es vakar lasīju grāmatu.
Grammar Core (Sentence Structures & Tenses),Rīt mēs dosimies uz koncertu.
Grammar Core (Sentence Structures & Tenses),"Ja būtu laiks, es būtu nācis."
Grammar Core (Sentence Structures & Tenses),Šis romāns tika uzrakstīts 19. gadsimtā.
Grammar Core (Sentence Structures & Tenses),Es neesmu redzējis šo filmu.
Grammar Core (Sentence Structures & Tenses),Viņš raksta vēstuli draugam.
Grammar Core (Sentence Structures & Tenses),Vai tu biji skolā vakar?
Grammar Core (Sentence Structures & Tenses),"Bērni būtu priecīgi, ja snigtu sniegs."
Grammar Core (Sentence Structures & Tenses),Automašīna tika salabota pirms nedēļas.
Grammar Core (Sentence Structures & Tenses),Es šobrīd mācos programmēšanu.
Conversational Data (Real-Life Dialogues & Exchanges),Čau! Kā tev šodien iet?
Conversational Data (Real-Life Dialogues & Exchanges),Labdien! Vai jūs varētu palīdzēt?
Conversational Data (Real-Life Dialogues & Exchanges),"Paldies par palīdzību, tas bija ļoti noderīgi."
Conversational Data (Real-Life Dialogues & Exchanges),Kur tu vēlies doties šovakar?
Conversational Data (Real-Life Dialogues & Exchanges),"Es domāju, ka mums vajadzētu pasūtīt picu."
Conversational Data (Real-Life Dialogues & Exchanges),Vai tev ir kādi plāni šajā nedēļas nogalē?
Conversational Data (Real-Life Dialogues & Exchanges),"Atvaino, es kavēšu par desmit minūtēm."
Conversational Data (Real-Life Dialogues & Exchanges),Tas izklausās interesanti! Pastāsti vairāk.
Conversational Data (Real-Life Dialogues & Exchanges),"Es nesaprotu, vai vari paskaidrot vēlreiz?"
Conversational Data (Real-Life Dialogues & Exchanges),Man patīk tavs jaunais krekls! Kur tu to nopirki?
Code-Switching & Multilingualism,"Es eju uz veikalu, vai tu gribi kaut ko nopirkt from there?"
Code-Switching & Multilingualism,Mēs runājām par project deadline un kā to izpildīt.
