Categories,Sentences
Grammar Core (Sentence Structures & Tenses),मैं स्कूल जा रया हां।
Grammar Core (Sentence Structures & Tenses),तू किता पढ़्या सै?
Grammar Core (Sentence Structures & Tenses),ओ घर नां गी।
Grammar Core (Sentence Structures & Tenses),मैं खाना खाधो सै।
Grammar Core (Sentence Structures & Tenses),उह पाणी पी रई सी।
Grammar Core (Sentence Structures & Tenses),"अगर मैं तिक्के आं, तां मैं मदद करां।"
Grammar Core (Sentence Structures & Tenses),कम्म पूरा करन दे बाद मैं आराम करां।
Grammar Core (Sentence Structures & Tenses),बच्चे किताबां पढ़ रए सैं।
Grammar Core (Sentence Structures & Tenses),ओ फल खा लिया हां।
Grammar Core (Sentence Structures & Tenses),उह तिक्के नां जाई।
Conversational Data (Real-Life Dialogues & Exchanges),राम: तू किथे चालो सै? सीता: मैं बजार चालो सै।
Conversational Data (Real-Life Dialogues & Exchanges),"मां: खाना खाधा? बेटा: हां मां, खाधो सै।"
Conversational Data (Real-Life Dialogues & Exchanges),शेफ: सूप कैसो लाग्यो? ग्राहक: बहुत स्वादिष्ट सै।
Conversational Data (Real-Life Dialogues & Exchanges),"दोस्त 1: कल मैच देख्या? दोस्त 2: हां, खूब मजा आयो।"
Conversational Data (Real-Life Dialogues & Exchanges),टीचर: होमवर्क क्यों नां कीतो? छात्र: बिजली चली गी सी।
Conversational Data (Real-Life Dialogues & Exchanges),"भाई: चलो चलिए, देर हो री सै।"
Conversational Data (Real-Life Dialogues & Exchanges),वेटर: चाय या कॉफी? ग्राहक: चाय दे दो।
Conversational Data (Real-Life Dialogues & Exchanges),"मां: बाहर ठंड सै, जैकेट पाई ल्यो।"
Conversational Data (Real-Life Dialogues & Exchanges),दोस्त: आज मूड खराब सै।
Conversational Data (Real-Life Dialogues & Exchanges),ड्राइवर: ट्रैफिक बहुत भारी सै।
Code-Switching & Multilingualism,मैं English सिख रया हां पर Mahasu Pahari में बात करन पसंद करां।
Code-Switching & Multilingualism,तू movie देखी Netflix ते?
Code-Switching & Multilingualism,मैंने doctor नूं call कीतो आज।
Code-Switching & Multilingualism,"Exam बहुत tough सै, but मैं try करां।"
Code-Switching & Multilingualism,"मैं Shimla में रहता हां, but Delhi भी जांदा हां।"
Code-Switching & Multilingualism,"ओ बोल रई सी, ‘Let’s go yaar!’"
Code-Switching & Multilingualism,तू dinner plan cancel कर दिया क्यों?
Code-Switching & Multilingualism,"मैं अभी office में हां, but जल्दी आउंगा।"
Code-Switching & Multilingualism,"वो बोल्यो, ‘Scene set कर लो!’"
Code-Switching & Multilingualism,"Homework tough सै, help चाहिए।"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","प्रिय ग्राहक, कृपया अपना बिल समय पर जमा कराएं।"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","डॉक्टर साहब, मरीज की हालत अब ठीक सै।"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",यह अनुबंध अगले महीने समाप्त होवेगो।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",कंपनी नई नीति लागू कर री सै।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",कृपया दरवाजा धीरे बंद करें।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",यह रिपोर्ट सचिव को दे दो।
