Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Эпӗ иртнӗ кун шкулта ӗҫлерӗм.
Grammar Core (Sentence Structures & Tenses),Эпӗ халӗ шкулта ӗҫлетӗп.
Grammar Core (Sentence Structures & Tenses),Эпӗ ирӗк пулсан шкулта ӗҫлерӗмччӗ.
Grammar Core (Sentence Structures & Tenses),Вӑл ирӗн килет.
Grammar Core (Sentence Structures & Tenses),Вӗсем килес кун килӗҫ.
Grammar Core (Sentence Structures & Tenses),Книга вулакӑнчӗ.
Grammar Core (Sentence Structures & Tenses),Пӗрле ӗҫлени тивӗҫлӗ пулнӑ.
Grammar Core (Sentence Structures & Tenses),"Ан кай, эп сана кӗтетӗп."
Grammar Core (Sentence Structures & Tenses),Вӑл ӗҫе тунӑ мар.
Grammar Core (Sentence Structures & Tenses),Шкул хупӑнӑ пулать.
Conversational Data (Real-Life Dialogues & Exchanges),"— Салам! Хӑшӗн пурӑнатӑн? — Сывӑ, эпӗ Чебоксарта пурӑнатӑп."
Conversational Data (Real-Life Dialogues & Exchanges),— Эсӗ мӗн тӑватӑн? — Эпӗ проект ҫине ӗҫлетӗп.
Conversational Data (Real-Life Dialogues & Exchanges),"— Кун паян мӗнле? — Паян сивӗ, анчах хӗвел ҫутатать."
Conversational Data (Real-Life Dialogues & Exchanges),"— Эсӗ кинора пултӑн-и? — Ҫук, вӑхӑт пулмарӗ."
Conversational Data (Real-Life Dialogues & Exchanges),— Кафера пыратпӑр-и? — Шутласа пӑхар.
Conversational Data (Real-Life Dialogues & Exchanges),"— Телефонна пар, шӑпӑртласа калаҫар."
Conversational Data (Real-Life Dialogues & Exchanges),— Вӗренӗвӗ мӗнле пырать? — Хӑйне май тӑрать.
Conversational Data (Real-Life Dialogues & Exchanges),— Ку проекте хӑшӗн ӗҫлет? — Пирӗн ушкӑн.
Conversational Data (Real-Life Dialogues & Exchanges),"— Паян каҫхи планӑр пур-и? — Пур, туссемпе тӗл пулатпӑр."
Conversational Data (Real-Life Dialogues & Exchanges),"— Сана пулӑшу кирлӗ-и? — Эйе, пӗр кӑна минут."
Code-Switching & Multilingualism,"Эпӗ meeting-а каятӑп, анчах каялла ир килетӗп."
Code-Switching & Multilingualism,Ку проект deadline-сӗ иртсе каять.
Code-Switching & Multilingualism,Вӑл online вӗренет.
Code-Switching & Multilingualism,Пирӗн team хӑйне май ӗҫлет.
Code-Switching & Multilingualism,Эпӗ документ-ӑн финал версийне парӑп.
Code-Switching & Multilingualism,"Zoom-а пырса, discussion тӑвӑп."
Code-Switching & Multilingualism,Email-не ятне тӗрӗс ӑнлан.
Code-Switching & Multilingualism,Report-ра статистика сахал.
Code-Switching & Multilingualism,Feedback-и мӗнле?
Code-Switching & Multilingualism,Ку стартап Чебоксарта уҫӑлнӑ.
Formal & Professional Speech,Шухӑшлӑ шӑпшӑнпа контракт подписать тӑвӑп.
Formal & Professional Speech,Пациентӑн халӑхӗ стабилнӑ.
Formal & Professional Speech,Заявление иртнӗ эрне ҫырӑлнӑ.
Formal & Professional Speech,Суд уҫӑлӑвӗ ирӗн ирттерӗлчӗ.
Formal & Professional Speech,Проект бюджете тӗрӗс шутланӑ.
Formal & Professional Speech,Инженер системӑн дефектне тупрӗ.
Formal & Professional Speech,Директормен тӗл пулу ытла важнӑ.
Formal & Professional Speech,Документсем архивра упранать.
Formal & Professional Speech,Конференци Чебоксарта ирттерӗлчӗ.
Formal & Professional Speech,Техникӑн инструкцияне тӗпчевлӗ вула.
"Idioms, Proverbs & Cultural Expressions",Вӑхӑт — алтынран та хаклӑ.
"Idioms, Proverbs & Cultural Expressions",Чӑн сӑмах ҫул тӑвать.
"Idioms, Proverbs & Cultural Expressions",Кӗске ҫул — шӑвӑн ҫул.
"Idioms, Proverbs & Cultural Expressions",Хӑракан сӑмах — хӑракан ӗҫ.
"Idioms, Proverbs & Cultural Expressions",Пӗчӗк шыв та ташлатать.
"Idioms, Proverbs & Cultural Expressions","Сӑмахӗпе мар, ӗҫӗпе палӑрт."
"Idioms, Proverbs & Cultural Expressions",Тус пурри — пурӑнӑҫ хакӗ.
"Idioms, Proverbs & Cultural Expressions",Пӗр шӑмӑ та сӑнсӑр мар.
"Idioms, Proverbs & Cultural Expressions","Хӗвел тухсан, тӗнче ӳсать."
"Idioms, Proverbs & Cultural Expressions",Ҫӗр чӑннине ҫӳллӗ калать.
Question-Answer Pairs (FAQ & Contextual Understanding),Чӑваш Республикаӑн столицӗ хӑшӗ?
Question-Answer Pairs (FAQ & Contextual Understanding),Чӑваш чӗлхи хӑш группаӑна кӗрет?
Question-Answer Pairs (FAQ & Contextual Understanding),Пӗр эрнере мӗнчӗ кун пур?
Question-Answer Pairs (FAQ & Contextual Understanding),Килӗшӳ мӗнле тӑвӑлать?
Question-Answer Pairs (FAQ & Contextual Understanding),Чӑвашсен националь костюмӗ мӗнле?
