Category,Old English Sentence
Grammar Core,Ic eom gōd.
Grammar Core,Ic wæs gōd.
Grammar Core,Ic beo gōd.
Grammar Core,Ic hæfde gōd weorc.
Grammar Core,Ic hæbbe gōdne freond.
Grammar Core,Se hlāford bið strang.
Grammar Core,Se cyning wæs rīce.
Grammar Core,Se mann sceolde bēon smylde.
Grammar Core,Hēo næfde gold.
Grammar Core,Ic ne eom slǣpende.
Conversational Data,Hwæt secgst þū?
Conversational Data,Ic geseo þē!
Conversational Data,Hū gǣð hit þē?
Conversational Data,Ic mæg þē gehyran.
Conversational Data,Beo þū gesund!
Conversational Data,Cwyst þū soð?
Conversational Data,Ic forgife þē.
Conversational Data,Gief mē þæt hlāf.
Conversational Data,Wille þū drincan?
Conversational Data,Hēr is min frēond.
Code-Switching & Multilingualism,Ic cōm from Rome.
Code-Switching & Multilingualism,Se dæg is 'beautiful'.
Code-Switching & Multilingualism,Ic leornige 'science'.
Code-Switching & Multilingualism,Þū bist mīn 'friend'.
Code-Switching & Multilingualism,Ic cōm æt Paris.
Code-Switching & Multilingualism,Hē sprecð in Latin.
Code-Switching & Multilingualism,Hīe clipiað mec 'teacher'.
Code-Switching & Multilingualism,Þis is 'good'.
Code-Switching & Multilingualism,Eadweard is a king.
Code-Switching & Multilingualism,Þū bist leornere.
Formal & Professional Speech,Se læce sēoþ his wunda.
Formal & Professional Speech,"Ic bebeode ðe, rihthweorþ."
Formal & Professional Speech,Æghwæt hæfð stǣnen wræt.
Formal & Professional Speech,Þū scealt cunnan wǣr.
Formal & Professional Speech,Hit is mīn giefu.
Formal & Professional Speech,Mæg ic cunnan þone ræd?
Formal & Professional Speech,Sē hlaford hæfð wald.
Formal & Professional Speech,Hwæt sind geond þā lond?
Formal & Professional Speech,Ic hæbbe luflic bearn.
Formal & Professional Speech,Heo is folcfruma.
"Idioms, Proverbs & Cultural Expressions",Ne drinc þū eal þæt beor!
"Idioms, Proverbs & Cultural Expressions",Þæt eart þū eal swilce leo.
"Idioms, Proverbs & Cultural Expressions",Nis sǣ betera þonne gold.
"Idioms, Proverbs & Cultural Expressions","Hwelc mon freond, þæt mon bēo."
"Idioms, Proverbs & Cultural Expressions",Ne cweð þū be ōðrum.
"Idioms, Proverbs & Cultural Expressions",Se hlæder mot habban lange tunge.
"Idioms, Proverbs & Cultural Expressions","Hwæt, for nǣnig mon!"
"Idioms, Proverbs & Cultural Expressions",Gē bedieð ēow folce!
"Idioms, Proverbs & Cultural Expressions",Se blæd nis giefu.
"Idioms, Proverbs & Cultural Expressions",Þæt is on hand.
Question-Answer Pairs,Hwæt is þīn nama?
Question-Answer Pairs,Mīn nama is Ælfred.
Question-Answer Pairs,Hwǣr is sē cyning?
Question-Answer Pairs,Sē cyning is in his healle.
Question-Answer Pairs,Hwā is þēod?
Question-Answer Pairs,Sē mann is hlaford.
Question-Answer Pairs,Hwī cwest þū þæt?
Question-Answer Pairs,Ic cweð hit soð.
Question-Answer Pairs,Hū fægr is se mōna?
Question-Answer Pairs,He is wlitig.
Commands & Instructions,Onbīd hēr.
Commands & Instructions,Secg mē þæt.
Commands & Instructions,Drinc þis wæter.
Commands & Instructions,Fōr gān!
Commands & Instructions,Ne wyrce yfel.
Commands & Instructions,Lufa þīn frēond.
Commands & Instructions,Hlyst þēs rǣd.
Commands & Instructions,Gief mē þone hlāf.
Commands & Instructions,Gān mid mē.
Commands & Instructions,Sitt hēr.
Named Entity Recognition (NER) Data,Ælfred wæs cyning.
Named Entity Recognition (NER) Data,Beowulf wæs æþeling.
Named Entity Recognition (NER) Data,Lundenburg is in Englalond.
Named Entity Recognition (NER) Data,Þū bist in Wessex.
Named Entity Recognition (NER) Data,Cæsar wæs ealdor.
Named Entity Recognition (NER) Data,Hē com æt Francland.
Named Entity Recognition (NER) Data,Sēo mægð is in Norðweg.
Named Entity Recognition (NER) Data,Ic eom of Rōme.
Named Entity Recognition (NER) Data,Þæt is in Cantwarabyrig.
Named Entity Recognition (NER) Data,Hēo bēo in Mierce.
Sentiment Analysis Data,Ic eom swīðe blīðe.
Sentiment Analysis Data,Hēo is sorgfull.
Sentiment Analysis Data,Hwelc fæger dæg!
Sentiment Analysis Data,Ic ne eom swīðe blīðe.
Sentiment Analysis Data,Þæt wæs micel wōp.
Sentiment Analysis Data,Þis is gōd spell.
Sentiment Analysis Data,Nis hit wynsum spell.
Sentiment Analysis Data,Min heorte is geþyldig.
Sentiment Analysis Data,Hwelc smylde tid!
Sentiment Analysis Data,Ic forhtige.
Paraphrased & Augmented Sentences,Se mon is strang.
Paraphrased & Augmented Sentences,Se mon hæfð miht.
Paraphrased & Augmented Sentences,Se mon ne bēo untrum.
Paraphrased & Augmented Sentences,Þæt wæs hlūd sweg.
Paraphrased & Augmented Sentences,Þæt wæs mǣre hlyd.
Paraphrased & Augmented Sentences,Se cyning bēo rice.
Paraphrased & Augmented Sentences,Sē hlaford hæfð land.
Paraphrased & Augmented Sentences,Hwelc is þīn giefu?
Paraphrased & Augmented Sentences,Hwæt is þē giefen?
Paraphrased & Augmented Sentences,Hē bēo mīnum hlāforde gelīc.
